# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          A1d2_reverse         -              501    1442     960      20     960       7    1491    -           0 1087.1   5.1  -
Moraxellaceae_Moraxella                          -          A1d2_reverse         -              487    1426     960      19     960       5    1446    -           0 1025.1   5.1  -
Moraxellaceae_Acinetobacter                      -          A1d2_reverse         -              497    1438     960      20     960       7    1463    -    1.5e-275  915.5   5.3  -
Moraxellaceae_Alkanindiges                       -          A1d2_reverse         -              487    1390     960      55     960      50    1396    -    1.2e-268  892.5   5.8  -
Pseudomonadaceae_Pseudomonas                     -          A1d2_reverse         -              509    1423     960      45     960      24    1502    -    7.7e-268  889.8   5.6  -
Thiotrichaceae_Thiothrix                         -          A1d2_reverse         -              456    1371     960      45     960      25    1417    -    9.1e-260  863.0   5.7  -
Methylococcaceae_Methylococcus                   -          A1d2_reverse         -              509    1423     960      46     960      26    1482    -    5.1e-257  853.9   5.7  -
Halomonadaceae_Halomonas                         -          A1d2_reverse         -              504    1442     960      21     960       6    1463    -    1.5e-256  852.3   5.2  -
Moraxellaceae_Paraperlucidibaca                  -          A1d2_reverse         -              499    1413     960      45     960      24    1460    -    7.3e-255  846.7   5.7  -
Shewanellaceae_Shewanella                        -          A1d2_reverse         -              509    1447     958      21     960       6    1483    -      1e-254  846.2   5.3  -
Microbulbiferaceae_Microbulbifer                 -          A1d2_reverse         -              498    1413     960      44     960      23    1480    -    3.9e-254  844.5   5.6  -
Alcanivoracaceae_Alcanivorax                     -          A1d2_reverse         -              528    1463     954      22     960       7    1505    -    4.4e-254  844.0   5.2  -
Alteromonadaceae_Marinobacterium                 -          A1d2_reverse         -              505    1420     960      44     960      22    1465    -    5.3e-254  843.9   5.6  -
Oceanospirillaceae_Marinomonas                   -          A1d2_reverse         -              507    1421     960      43     960      22    1467    -    3.6e-251  834.3   5.7  -
Halieaceae_Halioglobus                           -          A1d2_reverse         -              497    1414     960      42     960      32    1433    -    5.7e-251  833.9   5.8  -
Legionellaceae_Legionella                        -          A1d2_reverse         -              502    1420     960      42     960      21    1446    -    7.7e-251  833.5   5.6  -
Cellvibrionaceae_Cellvibrio                      -          A1d2_reverse         -              518    1428     960      49     960      33    1505    -      1e-250  833.1   5.8  -
Methylococcaceae_Methylomonas                    -          A1d2_reverse         -              515    1421     960      50     960      33    1475    -    1.9e-250  832.1   6.1  -
