# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_D04_026_2018_2 -               38     896      22     879      11     879    1492    +           0 1121.6  21.0  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_D04_026_2018_2 -               28     886      22     879       7     879    1485    +           0 1099.3  21.1  -
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_D04_026_2018_2 -               28     886      22     879       9     879    1504    +           0 1040.7  21.0  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_D04_026_2018_2 -               28     888      22     879       7     879    1507    +    4.3e-306 1016.4  21.1  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_D04_026_2018_2 -               28     888      22     879       8     879    1483    +    2.8e-302 1003.7  21.1  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_D04_026_2018_2 -               48     905      22     879       6     879    1544    +    4.8e-302 1003.1  21.2  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               27     890      21     879       5     879    1476    +    1.3e-301 1001.4  21.2  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_D04_026_2018_2 -               35     896      22     879       8     879    1503    +    3.1e-301 1000.2  21.0  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_D04_026_2018_2 -               27     887      21     879       7     879    1476    +    2.1e-298  991.0  21.2  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_D04_026_2018_2 -               19     881      22     879       9     879    1481    +    2.6e-298  990.6  20.9  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -               29     885      22     875      10     879    1495    +    5.2e-293  973.1  20.9  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               28     902      22     879       7     879    1508    +      3e-291  967.3  21.1  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_D04_026_2018_2 -               28     883      22     878       7     879    1473    +    3.3e-291  967.1  21.1  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               28     888      22     879      11     879    1505    +      9e-291  965.5  20.8  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -               28     904      22     879       8     879    1519    +    1.3e-289  962.0  21.0  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_D04_026_2018_2 -               12     872      22     878      15     879    1458    +    2.4e-289  961.1  20.9  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_D04_026_2018_2 -               27     887      21     878       6     879    1479    +    7.8e-288  955.8  21.4  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -                9     865      22     879      17     879    1439    +    5.6e-287  953.0  21.0  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -               12     884      22     879      16     879    1469    +    7.1e-287  952.8  21.0  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_D04_026_2018_2 -               55     919      22     879      11     879    1492    +    6.9e-285  946.0  20.9  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_D04_026_2018_2 -               20     880      22     879       8     879    1476    +    1.7e-284  944.9  21.1  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_D04_026_2018_2 -               28     900      22     879       6     879    1482    +    3.9e-283  940.5  21.0  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_D04_026_2018_2 -               48     909      22     879      11     879    1547    +    5.8e-283  939.8  21.2  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_D04_026_2018_2 -               35     896      22     879      11     879    1497    +    2.2e-282  937.8  21.1  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_D04_026_2018_2 -               31     895      22     879       9     879    1525    +    6.6e-282  936.2  20.7  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -               20     893      21     879       5     879    1472    +    3.9e-281  933.9  21.3  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -               17     894      21     879       7     879    1470    +    4.1e-281  933.9  21.1  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_D04_026_2018_2 -               37     896      22     879       9     879    1484    +    9.3e-281  932.4  20.7  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_D04_026_2018_2 -               45     919      22     879       8     879    1524    +    1.2e-280  932.2  20.9  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               26     900      22     879      10     879    1471    +    2.2e-279  928.1  21.0  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_D04_026_2018_2 -               28     898      22     879       8     879    1472    +    1.7e-278  925.0  21.0  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_D04_026_2018_2 -               28     897      22     879       7     879    1502    +    3.3e-277  920.7  20.9  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_D04_026_2018_2 -               29     904      21     879       5     879    1511    +    6.2e-277  919.9  21.2  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_D04_026_2018_2 -               47     917      22     879       8     879    1520    +      3e-276  917.7  21.0  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_D04_026_2018_2 -               42     904      22     879       8     879    1527    +    1.5e-274  912.0  21.1  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_D04_026_2018_2 -                9     886      22     879      16     879    1478    +    2.6e-274  911.2  21.0  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_D04_026_2018_2 -               20     881      23     879       6     879    1453    +    5.9e-274  909.8  21.3  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -               28     904      22     879       9     879    1490    +    1.1e-273  909.1  20.9  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_D04_026_2018_2 -               48     917      22     879      11     879    1553    +    2.9e-273  907.8  21.5  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               47     906      22     878      11     879    1512    +    8.8e-273  905.9  20.8  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_D04_026_2018_2 -               35     911      22     879      11     879    1506    +    1.4e-271  902.3  21.0  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_D04_026_2018_2 -               28     904      22     879       7     879    1520    +    2.5e-271  901.3  21.2  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_D04_026_2018_2 -               14     874      22     879      13     879    1443    +    5.5e-271  900.1  21.0  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_D04_026_2018_2 -               28     905      22     879      11     879    1511    +    4.3e-270  897.2  20.9  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_D04_026_2018_2 -               30     898      22     879       9     879    1513    +    5.9e-270  896.5  21.0  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_D04_026_2018_2 -               39     899      22     878      10     879    1537    +    1.7e-269  895.2  21.0  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_D04_026_2018_2 -               30     879      22     879      10     879    1483    +    4.6e-269  893.7  21.0  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_D04_026_2018_2 -               18     878      21     879       8     879    1461    +    6.7e-269  893.1  21.1  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_D04_026_2018_2 -               48     907      22     878      11     879    1407    +    7.7e-269  893.0  21.0  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_D04_026_2018_2 -               28     890      22     879      11     879    1501    +    2.4e-268  891.5  21.0  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               19     893      22     879       8     879    1492    +    2.4e-267  888.1  21.5  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_D04_026_2018_2 -               15     891      22     879      14     879    1491    +    3.3e-267  887.5  20.7  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_D04_026_2018_2 -               11     885      23     879      17     879    1480    +    1.2e-266  885.8  20.8  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_D04_026_2018_2 -               27     870      22     876       8     879    1486    +    1.3e-266  885.6  21.7  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_D04_026_2018_2 -               48     918      22     878       7     879    1555    +    1.8e-266  885.0  21.4  -
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_D04_026_2018_2 -               41     911      22     879      11     879    1526    +    2.4e-266  884.8  21.2  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               34     892      22     879       6     879    1493    +    5.5e-265  879.8  21.2  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_D04_026_2018_2 -               28     885      22     878       7     879    1503    +      1e-264  879.3  21.1  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_D04_026_2018_2 -               15     873      22     878      15     879    1421    +    4.3e-264  877.5  21.0  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_D04_026_2018_2 -                3     880      18     879      16     879    1520    +    7.8e-263  873.2  21.2  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_D04_026_2018_2 -               53     874      62     878      32     879    1440    +    8.1e-262  869.9  20.8  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_D04_026_2018_2 -               48     930      22     879      11     879    1558    +    4.3e-261  867.4  20.9  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_D04_026_2018_2 -               31     890      21     878       7     879    1482    +    1.9e-260  865.4  20.8  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_D04_026_2018_2 -               28     905      22     879      12     879    1500    +    4.7e-260  864.0  21.0  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_D04_026_2018_2 -               16     876      22     879      13     879    1494    +    8.6e-259  859.7  20.9  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_D04_026_2018_2 -               52     928      22     878       6     879    1505    +    4.8e-258  857.2  21.3  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_D04_026_2018_2 -               33     897      22     878       7     879    1518    +    2.8e-257  854.7  21.2  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_D04_026_2018_2 -               53     875      63     879      43     879    1462    +    3.6e-257  854.2  21.1  -
