# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          LKAP-Gut2_C05_043.seq -               27    1101       5    1077       2    1082    1483    +           0 1343.6  20.7  -
Ferrimonadaceae           -          LKAP-Gut2_C05_043.seq -               27    1112       5    1081       1    1082    1475    +           0 1255.1  20.7  -
Aeromonadaceae            -          LKAP-Gut2_C05_043.seq -               39    1116       5    1081       2    1082    1496    +           0 1228.8  20.7  -
Moritellaceae             -          LKAP-Gut2_C05_043.seq -               42    1116       5    1077       3    1082    1501    +           0 1225.8  20.8  -
Alteromonadales           -          LKAP-Gut2_C05_043.seq -               28    1100       6    1077       2    1082    1468    +           0 1216.5  20.8  -
Gammaproteobacteria       -          LKAP-Gut2_C05_043.seq -               27    1098       5    1077       2    1082    1481    +           0 1194.2  20.6  -
Pseudoalteromonadaceae    -          LKAP-Gut2_C05_043.seq -               27    1095       5    1077       2    1082    1469    +           0 1193.2  20.1  -
Alteromonadaceae          -          LKAP-Gut2_C05_043.seq -               27    1098       5    1077       2    1082    1468    +           0 1188.9  20.8  -
Vibrionaceae              -          LKAP-Gut2_C05_043.seq -               27    1109       5    1077       2    1082    1474    +           0 1185.4  20.7  -
Oceanospirillaceae        -          LKAP-Gut2_C05_043.seq -               28    1100       6    1077       2    1082    1467    +           0 1173.2  20.5  -
Yersiniaceae              -          LKAP-Gut2_C05_043.seq -               27    1102       5    1081       2    1082    1473    +           0 1168.6  20.8  -
Enterobacteriaceae        -          LKAP-Gut2_C05_043.seq -               27    1102       5    1081       2    1082    1465    +           0 1163.8  20.7  -
Erwiniaceae               -          LKAP-Gut2_C05_043.seq -               23    1097       6    1081       2    1082    1483    +           0 1161.7  20.8  -
Pectobacteriaceae         -          LKAP-Gut2_C05_043.seq -               24    1099       5    1081       2    1082    1477    +           0 1156.0  20.8  -
Colwelliaceae             -          LKAP-Gut2_C05_043.seq -               27    1100       5    1077       3    1082    1467    +           0 1149.9  20.9  -
Cellvibrionaceae          -          LKAP-Gut2_C05_043.seq -               27    1098       5    1077       2    1082    1472    +           0 1142.3  20.7  -
Hafniaceae                -          LKAP-Gut2_C05_043.seq -               21    1096       5    1081       2    1082    1459    +           0 1133.3  20.8  -
Morganellaceae            -          LKAP-Gut2_C05_043.seq -               30    1105       5    1081       2    1082    1487    +           0 1131.5  20.8  -
Oceanospirillales         -          LKAP-Gut2_C05_043.seq -               33    1104       5    1077       3    1082    1489    +           0 1129.9  20.8  -
Hahellaceae               -          LKAP-Gut2_C05_043.seq -               27    1098       5    1078       1    1082    1473    +           0 1129.8  20.5  -
Pseudomonadaceae          -          LKAP-Gut2_C05_043.seq -               34    1103       5    1077       2    1082    1491    +           0 1126.7  20.5  -
Psychromonadaceae         -          LKAP-Gut2_C05_043.seq -               27    1099       5    1077       2    1082    1467    +           0 1126.6  20.7  -
Budviciaceae              -          LKAP-Gut2_C05_043.seq -               17    1092       5    1081       2    1082    1483    +           0 1122.7  20.8  -
Idiomarinaceae            -          LKAP-Gut2_C05_043.seq -               27    1100       5    1077       2    1082    1466    +           0 1121.6  20.7  -
Litoricolaceae            -          LKAP-Gut2_C05_043.seq -               35    1105       5    1077       2    1082    1474    +           0 1120.9  20.8  -
Spongiibacteraceae        -          LKAP-Gut2_C05_043.seq -               30    1096       5    1077       2    1082    1462    +           0 1113.9  20.4  -
Alcanivoracaceae          -          LKAP-Gut2_C05_043.seq -               47    1118       5    1077       2    1082    1504    +           0 1111.6  20.7  -
Chromatiaceae             -          LKAP-Gut2_C05_043.seq -               27    1088       5    1077       2    1082    1455    +           0 1111.3  20.6  -
Methylococcaceae          -          LKAP-Gut2_C05_043.seq -               41    1106       5    1077       3    1082    1481    +           0 1110.0  20.4  -
Halomonadaceae            -          LKAP-Gut2_C05_043.seq -               27    1098       5    1077       2    1082    1466    +           0 1104.8  20.7  -
Piscirickettsiaceae       -          LKAP-Gut2_C05_043.seq -               29    1102       5    1077       3    1082    1466    +           0 1104.8  20.8  -
Thioalkalispiraceae       -          LKAP-Gut2_C05_043.seq -               41    1117       7    1077       2    1082    1479    +           0 1091.5  20.9  -
Halieaceae                -          LKAP-Gut2_C05_043.seq -               35    1099       5    1077       2    1082    1484    +           0 1090.3  20.6  -
Moraxellaceae             -          LKAP-Gut2_C05_043.seq -               24    1090       5    1077       2    1082    1468    +           0 1087.8  20.6  -
Lysobacteraceae           -          LKAP-Gut2_C05_043.seq -               28    1101       5    1077       2    1082    1484    +           0 1081.9  20.8  -
Ectothiorhodospiraceae    -          LKAP-Gut2_C05_043.seq -               34    1105       5    1077       2    1082    1463    +           0 1080.1  20.5  -
Celerinatantimonadaceae   -          LKAP-Gut2_C05_043.seq -               22    1106       5    1077       2    1082    1433    +           0 1077.6  21.1  -
Pasteurellaceae           -          LKAP-Gut2_C05_043.seq -               28    1103       6    1081       3    1082    1422    +           0 1070.8  20.9  -
Orbaceae                  -          LKAP-Gut2_C05_043.seq -               54    1126       5    1081       3    1082    1539    +           0 1065.4  20.3  -
Succinivibrionaceae       -          LKAP-Gut2_C05_043.seq -               30    1079       5    1081       2    1082    1473    +           0 1062.7  21.4  -
Kangiellaceae             -          LKAP-Gut2_C05_043.seq -               36    1111       5    1077       2    1082    1479    +           0 1061.4  20.7  -
Halothiobacillaceae       -          LKAP-Gut2_C05_043.seq -               44    1117       5    1077       3    1082    1500    +           0 1058.8  20.9  -
Microbulbiferaceae        -          LKAP-Gut2_C05_043.seq -               27    1092       5    1077       2    1082    1480    +           0 1056.2  20.4  -
