# target name                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Hyphomonadaceae                  -          LKAP.g-Gut1_H10_066.seq -               27    1083       6    1057       3    1058    1399    +           0 1141.5  13.9  -
Unclassified_Alphaproteobacteria -          LKAP.g-Gut1_H10_066.seq -               27    1082       6    1057       2    1058    1412    +           0 1097.1  14.0  -
Unclassified_Rhizobiales         -          LKAP.g-Gut1_H10_066.seq -               38    1090       7    1057       3    1058    1437    +           0 1087.6  13.9  -
Aurantimonadaceae                -          LKAP.g-Gut1_H10_066.seq -               44    1092       6    1056       2    1058    1444    +           0 1082.7  13.9  -
Brucellaceae                     -          LKAP.g-Gut1_H10_066.seq -               33    1083       7    1056       3    1058    1412    +           0 1071.5  13.9  -
Caulobacteraceae                 -          LKAP.g-Gut1_H10_066.seq -               27    1077       6    1057       3    1058    1418    +           0 1063.3  13.9  -
Beijerinckiaceae                 -          LKAP.g-Gut1_H10_066.seq -               40    1094       6    1057       3    1058    1421    +           0 1061.3  13.8  -
Sneathiellaceae                  -          LKAP.g-Gut1_H10_066.seq -               32    1097       6    1057       3    1058    1427    +           0 1046.3  14.0  -
Kordiimonadaceae                 -          LKAP.g-Gut1_H10_066.seq -               28    1092       7    1057       3    1058    1423    +           0 1027.2  13.7  -
Bartonellaceae                   -          LKAP.g-Gut1_H10_066.seq -               28    1082       7    1057       3    1058    1410    +      3e-308 1020.3  13.6  -
Parvularculaceae                 -          LKAP.g-Gut1_H10_066.seq -               47    1100       6    1056       3    1058    1429    +    3.9e-308 1020.2  13.8  -
Erythrobacteraceae               -          LKAP.g-Gut1_H10_066.seq -               32    1082      10    1057       2    1058    1433    +      4e-308 1020.0  13.7  -
Cohaesibacteraceae               -          LKAP.g-Gut1_H10_066.seq -               50    1101       8    1057       1    1058    1416    +    1.1e-303 1005.3  13.6  -
Chelatococcaceae                 -          LKAP.g-Gut1_H10_066.seq -               41    1092       8    1057       2    1058    1439    +      6e-300  993.0  13.7  -
Kiloniellaceae                   -          LKAP.g-Gut1_H10_066.seq -               53    1110      12    1057       4    1058    1450    +    1.1e-289  958.6  13.8  -
Anaplasmataceae                  -          LKAP.g-Gut1_H10_066.seq -               88    1110      34    1056      14    1057    1438    +    2.8e-289  957.6  13.8  -
Unclassified_Thiotrichales       -          LKAP.g-Gut1_H10_066.seq -               93    1152      33    1057      13    1058    1517    +    4.8e-281  930.0  13.9  -
Unclassified_Oceanospirillales   -          LKAP.g-Gut1_H10_066.seq -               32    1136       6    1057       3    1058    1483    +    3.3e-278  920.5  13.9  -
Kangiellaceae                    -          LKAP.g-Gut1_H10_066.seq -               70    1147      21    1057       2    1058    1479    +      4e-273  903.8  13.7  -
Rickettsiaceae                   -          LKAP.g-Gut1_H10_066.seq -               70    1096      34    1057      14    1058    1430    +    8.2e-271  896.3  13.4  -
Spongiibacteraceae               -          LKAP.g-Gut1_H10_066.seq -               61    1134      24    1057       5    1058    1462    +    8.8e-271  895.9  14.0  -
Litoricolaceae                   -          LKAP.g-Gut1_H10_066.seq -               75    1142      29    1057       8    1058    1474    +    1.5e-267  885.5  14.2  -
Alcanivoracaceae                 -          LKAP.g-Gut1_H10_066.seq -               86    1155      28    1057       8    1058    1504    +    4.1e-264  873.8  14.1  -
Thioalkalispiraceae              -          LKAP.g-Gut1_H10_066.seq -               80    1153      27    1057       5    1058    1478    +    4.6e-264  873.7  13.9  -
Microbulbiferaceae               -          LKAP.g-Gut1_H10_066.seq -               28    1130       7    1057       2    1058    1478    +    1.4e-263  872.4  13.9  -
Halieaceae                       -          LKAP.g-Gut1_H10_066.seq -               35    1137       6    1057       3    1058    1484    +    3.3e-262  867.6  13.9  -
Geobacteraceae                   -          LKAP.g-Gut1_H10_066.seq -               43    1158      13    1057       4    1058    1485    +    6.1e-262  866.7  13.9  -
Unclassified_Deltaproteobacteria -          LKAP.g-Gut1_H10_066.seq -               50    1172      12    1057       4    1058    1518    +    6.9e-262  866.7  14.0  -
Desulfuromonadaceae              -          LKAP.g-Gut1_H10_066.seq -               52    1170      12    1057       4    1058    1519    +    1.1e-261  865.9  13.9  -
Desulfobulbaceae                 -          LKAP.g-Gut1_H10_066.seq -               35    1153      13    1057       4    1058    1482    +    1.1e-260  862.6  14.0  -
Bdellovibrionaceae               -          LKAP.g-Gut1_H10_066.seq -               23    1103       6    1056       3    1058    1430    +    9.1e-260  859.6  14.0  -
Unclassified_Alteromonadales     -          LKAP.g-Gut1_H10_066.seq -               59    1137      19    1057       3    1058    1467    +    1.2e-259  859.0  13.8  -
Nautiliaceae                     -          LKAP.g-Gut1_H10_066.seq -               56    1106      24    1056       5    1057    1428    +    5.9e-259  857.2  14.0  -
Syntrophaceae                    -          LKAP.g-Gut1_H10_066.seq -               80    1168      28    1057       8    1058    1556    +    1.4e-258  855.6  14.0  -
Thermoleophilaceae               -          LKAP.g-Gut1_H10_066.seq -               22    1143       8    1057       3    1058    1486    +    9.3e-258  852.8  14.0  -
Halothiobacillaceae              -          LKAP.g-Gut1_H10_066.seq -               79    1154      22    1057       4    1058    1501    +    4.3e-257  850.6  14.0  -
Desulfohalobiaceae               -          LKAP.g-Gut1_H10_066.seq -               31    1166       6    1057       3    1058    1510    +    2.1e-256  848.4  13.9  -
Idiomarinaceae                   -          LKAP.g-Gut1_H10_066.seq -               33    1138      11    1057       2    1058    1466    +    6.8e-256  846.5  13.7  -
Coxiellaceae                     -          LKAP.g-Gut1_H10_066.seq -               62    1143      22    1057       4    1058    1473    +    7.2e-256  846.7  13.9  -
Nevskiaceae                      -          LKAP.g-Gut1_H10_066.seq -               37    1127       7    1055       3    1058    1470    +    2.6e-255  845.1  13.8  -
Acidiferrobacteraceae            -          LKAP.g-Gut1_H10_066.seq -               54    1128      23    1057       5    1058    1456    +    2.8e-255  844.8  13.9  -
Saccharospirillaceae             -          LKAP.g-Gut1_H10_066.seq -               69    1130      30    1057      10    1058    1468    +    1.2e-254  842.5  14.1  -
Colwelliaceae                    -          LKAP.g-Gut1_H10_066.seq -               67    1136      28    1057       8    1058    1465    +    2.2e-254  841.8  14.0  -
