# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          B1i_reverse          -              390    1448    1090      23    1102       4    1491    -           0 1248.3  12.6  -
Cellvibrionaceae          -          B1i_reverse          -              385    1443    1089      23    1103       5    1472    -           0 1181.7  12.7  -
Oceanospirillaceae        -          B1i_reverse          -              385    1449    1093      19    1102       5    1467    -           0 1154.9  12.7  -
Alteromonadaceae          -          B1i_reverse          -              383    1441    1093      24    1102       6    1468    -           0 1149.6  12.7  -
Alcanivoracaceae          -          B1i_reverse          -              401    1459    1094      26    1103       7    1504    -           0 1148.6  12.6  -
Microbulbiferaceae        -          B1i_reverse          -              376    1451    1094       8    1103       4    1480    -           0 1148.0  12.6  -
Oceanospirillales         -          B1i_reverse          -              387    1448    1094      24    1103       6    1489    -           0 1146.3  12.8  -
Gammaproteobacteria       -          B1i_reverse          -              385    1437    1090      30    1102       9    1481    -           0 1145.7  12.7  -
Hahellaceae               -          B1i_reverse          -              385    1443    1089      22    1103       5    1473    -           0 1145.2  12.7  -
Spongiibacteraceae        -          B1i_reverse          -              380    1438    1094      26    1103       7    1462    -           0 1132.0  12.7  -
Thermoleophilaceae        -          B1i_reverse          -              385    1445    1090      35    1103      15    1494    -           0 1128.1  13.0  -
Thioalkalispiraceae       -          B1i_reverse          -              400    1457    1093      28    1103       8    1479    -           0 1110.5  12.6  -
Alteromonadales           -          B1i_reverse          -              383    1444    1094      24    1103       6    1468    -           0 1109.2  12.8  -
Methylococcaceae          -          B1i_reverse          -              393    1443    1089      32    1102      12    1481    -           0 1107.5  12.9  -
Piscirickettsiaceae       -          B1i_reverse          -              389    1442    1089      26    1102       9    1466    -           0 1099.9  12.8  -
Chromatiaceae             -          B1i_reverse          -              375    1431    1089      25    1102       6    1455    -           0 1099.1  12.8  -
