# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Listeriaceae                     -          LKAP-TSAKG2_F04_022_2018_2 -               14     886      23     891      12     891    1448    +    1.3e-293  971.7  21.8  -
Sporolactobacillaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               24     897      20     891       7     891    1503    +    1.7e-288  954.6  21.9  -
Aerococcaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               24     903      20     891       7     891    1474    +    5.7e-286  946.2  21.9  -
Heliobacteriaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               46     888      24     891      11     891    1502    +    3.8e-233  771.2  22.9  -
Geobacteraceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               26     911      16     891       8     891    1485    +    1.1e-225  746.3  21.9  -
Acidaminococcaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               36     911      24     891       7     891    1506    +    1.8e-225  745.6  22.0  -
Deferribacteraceae               -          LKAP-TSAKG2_F04_022_2018_2 -               25     900      16     891       8     891    1514    +      3e-224  741.5  21.9  -
Thermoleophilaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               22     887      24     890      12     891    1486    +    1.2e-222  736.2  21.9  -
Desulfuromonadaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               35     922      15     891       7     891    1519    +    4.1e-221  731.2  21.8  -
Unclassified_Deltaproteobacteria -          LKAP-TSAKG2_F04_022_2018_2 -               45     922      24     891       8     891    1518    +    4.2e-218  721.3  21.9  -
Natranaerobiaceae                -          LKAP-TSAKG2_F04_022_2018_2 -                8     864      25     891      19     891    1426    +      6e-218  720.7  22.6  -
Symbiobacteriaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               13     894      17     891       7     891    1487    +    3.1e-217  718.7  21.7  -
Unclassified_Acidobacteria       -          LKAP-TSAKG2_F04_022_2018_2 -               49     921      24     891      10     891    1505    +    7.4e-215  711.0  21.6  -
Syntrophaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               35     921      16     891       8     891    1556    +    4.4e-214  707.9  21.8  -
Rubrobacteraceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               15     892      13     890       5     891    1494    +    1.9e-213  705.8  22.1  -
Desulfohalobiaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               33     916      24     890       9     891    1510    +    1.5e-211  699.5  21.6  -
Thermodesulfobiaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               45     891      24     891      10     891    1524    +    2.9e-211  698.5  23.0  -
Caldicoprobacteraceae            -          LKAP-TSAKG2_F04_022_2018_2 -               41     899      23     891       8     891    1531    +    5.6e-211  697.6  23.3  -
Entomoplasmataceae               -          LKAP-TSAKG2_F04_022_2018_2 -               32     886      21     891      13     891    1498    +    1.5e-210  696.4  22.4  -
Thermolithobacteraceae           -          LKAP-TSAKG2_F04_022_2018_2 -               49     935      24     891       8     891    1546    +    8.2e-210  693.6  22.0  -
Anaeroplasmataceae               -          LKAP-TSAKG2_F04_022_2018_2 -               51     886      20     891       9     891    1453    +    1.3e-208  689.9  23.0  -
Desulfonatronaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               25     900      23     891       7     891    1495    +      7e-208  687.3  22.4  -
Halanaerobiaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               95     923      63     891      43     891    1506    +      2e-207  685.7  21.6  -
Desulfobulbaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               15     903      13     891       6     891    1482    +      7e-207  684.0  21.8  -
Solirubrobacteraceae             -          LKAP-TSAKG2_F04_022_2018_2 -               13     878      24     891      15     891    1443    +    1.4e-205  679.6  22.2  -
Bdellovibrionaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               13     858      15     890       7     891    1430    +    2.2e-205  679.1  22.7  -
Acholeplasmataceae               -          LKAP-TSAKG2_F04_022_2018_2 -               16     870      20     891      10     891    1440    +    6.1e-205  677.6  21.9  -
Unclassified_Alphaproteobacteria -          LKAP-TSAKG2_F04_022_2018_2 -               29     834      24     891      12     891    1412    +    3.3e-204  675.5  22.7  -
Conexibacteraceae                -          LKAP-TSAKG2_F04_022_2018_2 -               44     915      20     891       8     891    1536    +      4e-204  674.7  22.7  -
Hyphomonadaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               29     831      24     890      12     891    1399    +    6.3e-204  674.6  22.9  -
Halothiobacillaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               40     908      21     891       7     891    1501    +    7.5e-204  673.9  21.5  -
Acidimicrobiaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               37     888      15     891       8     891    1463    +    2.1e-203  672.7  23.1  -
Unclassified_Calditrichaeota     -          LKAP-TSAKG2_F04_022_2018_2 -               24     907      15     891       8     891    1483    +    9.8e-203  670.5  22.2  -
Leptospiraceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               23     862      19     891       9     891    1433    +    1.5e-202  669.7  22.3  -
Defluviitaleaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               13     859      18     891       7     891    1413    +    2.9e-202  668.9  23.3  -
Nitrospiraceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               35     875      24     891       9     891    1480    +    4.7e-202  668.1  23.1  -
Unclassified_Oceanospirillales   -          LKAP-TSAKG2_F04_022_2018_2 -               34     887      24     889      14     891    1483    +    1.5e-201  666.1  21.3  -
Haliangiaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               45     920      24     891      11     891    1507    +    2.3e-201  665.9  22.0  -
Kineosporiaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               23     873      13     891       6     891    1463    +    2.5e-201  665.8  23.4  -
Thermodesulfobacteriaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               29     900      24     891      11     891    1498    +    2.6e-201  665.8  22.3  -
Polyangiaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               48     919      24     891      10     891    1550    +    3.3e-201  665.3  21.9  -
Caulobacteraceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               29     832      24     891      13     891    1418    +    5.8e-201  664.6  23.8  -
Parviterribacteraceae            -          LKAP-TSAKG2_F04_022_2018_2 -               16     880      14     891       7     891    1456    +    1.7e-200  662.9  22.2  -
Spongiibacteraceae               -          LKAP-TSAKG2_F04_022_2018_2 -               31     885      23     889      10     891    1462    +    2.3e-200  662.3  21.7  -
Sneathiellaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               34     847      24     891      17     891    1427    +    2.9e-200  662.2  22.4  -
Chrysiogenaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               77     888      67     891      45     891    1513    +    1.6e-199  659.7  21.1  -
Desulfarculaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               79     917      64     891      39     891    1516    +    4.3e-199  658.3  21.7  -
Desulfomicrobiaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               39     904      24     890       8     891    1495    +    5.6e-199  657.9  21.4  -
Nakamurellaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               15     866      13     891       6     891    1462    +    8.2e-199  657.3  22.5  -
Bacteriovoracaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               25     897      21     890       6     891    1473    +    1.3e-198  656.6  21.6  -
Frankiaceae                      -          LKAP-TSAKG2_F04_022_2018_2 -               36     879      13     891       7     891    1499    +    1.4e-198  656.7  23.5  -
Kangiellaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               38     901      24     890      10     891    1479    +    8.4e-198  653.9  21.6  -
Unclassified_Thiotrichales       -          LKAP-TSAKG2_F04_022_2018_2 -               87     907      58     891      37     891    1517    +    1.1e-197  653.5  21.2  -
Patulibacteraceae                -          LKAP-TSAKG2_F04_022_2018_2 -               49     900      24     891       8     891    1494    +    1.1e-197  653.4  22.6  -
Bogoriellaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               16     877      14     891       5     891    1472    +    1.2e-197  653.4  23.1  -
Alcanivoracaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               49     907      24     889      13     891    1504    +    3.2e-197  651.8  21.7  -
Cellulomonadaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               19     872      13     890       6     891    1461    +    4.4e-197  651.7  23.3  -
Dermatophilaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               21     874      14     891       7     891    1481    +    6.9e-197  650.9  23.2  -
Cryptosporangiaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               16     863      14     891       7     891    1470    +    5.7e-196  648.0  23.8  -
Glycomycetaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               22     888      13     891       6     891    1497    +    5.8e-196  648.1  22.6  -
Unclassified_Rhizobiales         -          LKAP-TSAKG2_F04_022_2018_2 -               40     842      25     891       9     891    1437    +    7.3e-196  647.7  22.9  -
Coxiellaceae                     -          LKAP-TSAKG2_F04_022_2018_2 -               29     895      24     890      14     891    1473    +    7.3e-196  647.5  21.8  -
Desulfurellaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               30     909      22     891       9     891    1537    +    7.5e-196  647.5  22.4  -
Sanguibacteraceae                -          LKAP-TSAKG2_F04_022_2018_2 -               33     887      14     891       6     891    1483    +    1.1e-195  646.9  23.3  -
Halieaceae                       -          LKAP-TSAKG2_F04_022_2018_2 -               37     888      24     889      17     891    1484    +    9.3e-195  643.8  21.6  -
Litoricolaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               35     894      23     889      12     891    1474    +    1.7e-194  643.1  21.8  -
Nannocystaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               43     897      24     891      13     891    1487    +    3.9e-194  641.9  22.6  -
Unclassified_Alteromonadales     -          LKAP-TSAKG2_F04_022_2018_2 -               29     888      24     889      10     891    1467    +    4.3e-194  641.4  21.9  -
Myxococcaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               43     914      24     891       8     891    1517    +    7.7e-194  640.8  22.3  -
Thioalkalispiraceae              -          LKAP-TSAKG2_F04_022_2018_2 -               41     907      23     891       7     891    1478    +    2.6e-193  638.9  22.4  -
Unclassified_Actinomycetales     -          LKAP-TSAKG2_F04_022_2018_2 -               37     902      15     891       8     891    1533    +    3.7e-193  638.6  22.4  -
Cystobacteraceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               29     898      24     891       8     891    1491    +    4.1e-193  638.4  22.4  -
Beijerinckiaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               42     845      24     891      17     891    1421    +    4.8e-193  638.2  23.0  -
Holophagaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               77     906      68     891      48     891    1502    +      6e-193  638.1  22.1  -
Dehalococcoidaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               29     856      24     891      11     891    1437    +      8e-193  637.9  22.6  -
Sporichthyaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               15     865      13     891       7     891    1472    +      1e-192  637.3  23.4  -
Nevskiaceae                      -          LKAP-TSAKG2_F04_022_2018_2 -               38     884      24     891      11     891    1470    +    1.1e-192  637.3  21.7  -
Nautiliaceae                     -          LKAP-TSAKG2_F04_022_2018_2 -               18     857      16     891       8     891    1428    +    1.3e-192  637.0  23.0  -
Anaerolineaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               24     865      20     891       9     891    1428    +    3.6e-192  635.8  23.1  -
Dietziaceae                      -          LKAP-TSAKG2_F04_022_2018_2 -                7     856      14     891       8     891    1453    +    3.8e-192  635.2  23.3  -
Acidiferrobacteraceae            -          LKAP-TSAKG2_F04_022_2018_2 -               29     881      24     891      13     891    1456    +    1.3e-191  633.6  22.2  -
Unclassified_Micrococcales       -          LKAP-TSAKG2_F04_022_2018_2 -               16     868      14     891       7     891    1475    +    1.8e-191  633.1  23.8  -
Jiangellaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               22     876      14     891       5     891    1501    +      4e-191  631.8  22.4  -
Beutenbergiaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               15     871      13     891       7     891    1473    +      1e-190  630.5  23.4  -
Demequinaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               15     871      13     891       7     891    1480    +    1.6e-190  629.9  23.3  -
Unclassified_Corynebacterineae   -          LKAP-TSAKG2_F04_022_2018_2 -               16     866      14     890       8     891    1475    +    2.1e-190  629.6  23.0  -
Dermacoccaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               13     866      16     891       6     891    1454    +    8.3e-190  627.4  23.0  -
Atopobacteriaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               33     870      24     891      12     891    1441    +    1.2e-189  627.1  22.9  -
Thermotogaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               35     908      15     891       8     891    1544    +    1.7e-189  626.6  22.4  -
Eggerthellaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               36     867      24     891       9     891    1449    +      2e-189  626.4  23.6  -
Saccharospirillaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               30     881      24     889       9     891    1468    +    5.6e-189  624.6  21.5  -
Catenulisporaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               16     865      14     891       7     891    1460    +    2.2e-188  622.8  23.4  -
Aurantimonadaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               46     848      24     891      11     891    1444    +    2.8e-188  622.7  22.7  -
Segniliparaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               33     866      24     890       8     891    1462    +    2.9e-188  622.5  22.9  -
Balneolaceae                     -          LKAP-TSAKG2_F04_022_2018_2 -               27     884      22     891       5     891    1463    +    5.6e-188  621.4  22.2  -
Rhodothermaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               29     880      24     891      15     891    1457    +    7.3e-188  621.0  21.8  -
Tsukamurellaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               35     885      14     891       6     891    1495    +    8.3e-188  620.9  23.0  -
Dermabacteraceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               21     877      13     891       6     891    1470    +    8.8e-188  620.6  23.1  -
Oscillatoriales                  -          LKAP-TSAKG2_F04_022_2018_2 -               24     836      22     891       8     891    1445    +    1.3e-187  620.4  23.9  -
Actinospicaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -                5     842      24     891      20     891    1424    +    2.6e-187  619.2  22.3  -
Unclassified_Frankiales          -          LKAP-TSAKG2_F04_022_2018_2 -               23     873      14     891       7     891    1425    +    6.2e-187  618.1  23.6  -
Chelatococcaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               66     843      64     891      42     891    1439    +    1.5e-186  617.0  22.8  -
Thermithiobacillaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               14     869      24     891      17     891    1419    +      5e-186  615.0  22.7  -
Unclassified_Streptosporangineae -          LKAP-TSAKG2_F04_022_2018_2 -                7     838      24     891      19     891    1443    +    9.3e-186  614.0  23.4  -
Rickettsiaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               25     845      23     891       9     891    1430    +    1.3e-185  613.7  22.5  -
Microbulbiferaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               28     881      23     889      13     891    1478    +    1.5e-185  613.5  21.7  -
Arenicellaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               29     884      24     891       8     891    1488    +    4.5e-185  611.8  21.9  -
Erythrobacteraceae               -          LKAP-TSAKG2_F04_022_2018_2 -               53     833      62     891      41     891    1433    +    9.7e-185  610.8  21.8  -
Iamiaceae                        -          LKAP-TSAKG2_F04_022_2018_2 -               72     874      62     891      40     891    1480    +    1.4e-184  610.5  22.6  -
Anaplasmataceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               40     861      24     891      13     891    1438    +    1.4e-184  610.4  22.8  -
Brucellaceae                     -          LKAP-TSAKG2_F04_022_2018_2 -               34     835      24     891      13     891    1412    +    2.4e-184  609.7  23.5  -
Succinivibrionaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               28     865      21     889      14     891    1474    +    3.2e-184  608.9  22.9  -
Pyrinomonadaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               49     927      24     891       9     891    1526    +    3.3e-184  608.8  21.9  -
Desulfurobacteriaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               79     914      66     891      44     891    1498    +    5.4e-184  608.6  22.1  -
Salinisphaeraceae                -          LKAP-TSAKG2_F04_022_2018_2 -               14     877      21     891      11     891    1432    +    1.6e-183  606.7  21.5  -
Idiomarinaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               28     889      23     889      10     891    1466    +    2.2e-183  605.9  21.3  -
Actinopolysporaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               20     891      17     891       6     891    1486    +    5.6e-183  604.9  22.8  -
Ruaniaceae                       -          LKAP-TSAKG2_F04_022_2018_2 -               40     902      14     891       7     891    1531    +    9.7e-183  603.9  22.7  -
Rarobacteraceae                  -          LKAP-TSAKG2_F04_022_2018_2 -                6     856      15     891      11     891    1464    +    1.1e-182  603.8  23.0  -
Puniceicoccaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               39     904      24     891      15     891    1485    +    2.3e-182  602.7  22.0  -
Wenzhouxiangellaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               29     895      24     891       7     891    1472    +    3.4e-182  602.1  22.1  -
Oscillospiraceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               29     881      24     891       6     891    1453    +    1.5e-181  599.7  22.7  -
Caldilineaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               36     871      24     891       9     891    1434    +    1.7e-181  600.0  23.5  -
Halobacteriovoracaceae           -          LKAP-TSAKG2_F04_022_2018_2 -               29     903      24     891      13     891    1480    +    2.2e-181  599.5  21.7  -
Dictyoglomaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               51     911      24     891      11     891    1541    +    2.4e-181  599.5  23.1  -
Parvularculaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               49     852      24     891      14     891    1429    +    3.2e-181  599.4  23.5  -
Cardiobacteriaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               26     891      16     890       8     891    1462    +    3.5e-181  599.1  21.8  -
Sulfuricellaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               18     887      16     891       8     891    1462    +    3.2e-180  595.7  22.2  -
Stigonematales                   -          LKAP-TSAKG2_F04_022_2018_2 -               49     859      24     891       9     891    1450    +    3.9e-180  595.6  23.6  -
Bernardetiaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               27     883      23     891      13     891    1484    +    4.2e-180  595.3  21.3  -
Aeromonadaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               41     902      24     889      14     891    1496    +    4.5e-180  594.9  21.8  -
Bartonellaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               29     833      24     891      11     891    1410    +    4.6e-180  595.3  22.7  -
Phormidiaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               49     858      24     891      10     891    1483    +    4.7e-180  595.5  23.3  -
Acidobacteriaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               44     868      22     891       8     891    1463    +    7.3e-180  594.5  22.7  -
Bryobacteraceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               48     866      24     891       9     891    1416    +      1e-179  594.2  23.2  -
Granulosicoccaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               29     891      24     891       9     891    1471    +    2.3e-179  592.9  22.1  -
Sutterellaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               18     887      16     891       7     891    1487    +    3.1e-179  592.2  22.0  -
Persicobacteraceae               -          LKAP-TSAKG2_F04_022_2018_2 -               27     880      23     891       9     891    1448    +    9.2e-179  591.0  22.7  -
Unclassified_Cytophagales        -          LKAP-TSAKG2_F04_022_2018_2 -               29     879      24     891      13     891    1444    +    1.1e-178  590.7  22.3  -
Jonesiaceae                      -          LKAP-TSAKG2_F04_022_2018_2 -               35     906      14     891       6     891    1513    +    1.2e-178  590.6  22.3  -
Cohaesibacteraceae               -          LKAP-TSAKG2_F04_022_2018_2 -               74     852      63     891      42     891    1416    +    2.5e-178  589.6  22.5  -
Hydrogenophilaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               29     885      24     891       8     891    1462    +    5.2e-178  588.6  22.0  -
Acidithiobacillaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               28     881      24     891      12     891    1457    +    5.5e-178  588.2  23.1  -
Aquificaceae                     -          LKAP-TSAKG2_F04_022_2018_2 -               29     906      24     891       8     891    1491    +    5.5e-178  588.5  22.2  -
Chroococcales                    -          LKAP-TSAKG2_F04_022_2018_2 -               41     850      24     891       6     891    1444    +    1.3e-177  586.9  23.6  -
Salinibacteraceae                -          LKAP-TSAKG2_F04_022_2018_2 -               54     910      24     891      17     891    1497    +    5.9e-177  585.0  22.6  -
Colwelliaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               29     887      24     889      14     891    1465    +    1.9e-176  583.2  21.4  -
Moritellaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               44     905      24     889      13     891    1501    +    2.7e-176  582.6  21.5  -
Gemmatimonadaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               79     891      65     891      45     891    1525    +    2.9e-176  582.7  22.4  -
Mesoaciditogaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               37     904      24     891       9     891    1517    +      6e-176  581.6  22.5  -
Methylothermaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               50     909      24     889       9     891    1491    +    1.6e-175  580.1  22.3  -
Methylophilaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -                8     871      23     891      17     891    1430    +    1.9e-175  579.8  22.0  -
Kordiimonadaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               29     843      24     891      17     891    1423    +    1.9e-175  580.1  22.9  -
Fervidobacteriaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               24     917      14     891       7     891    1515    +    4.3e-175  578.7  22.6  -
Psychromonadaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               29     888      24     889      12     891    1467    +    4.4e-175  578.7  21.6  -
Francisellaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               34     891      22     891       8     891    1509    +    5.1e-174  575.1  22.4  -
Ferrimonadaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               29     898      24     889       8     891    1475    +    5.6e-174  574.7  21.7  -
Nitrosomonadaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               18     888      16     891       7     891    1463    +    6.6e-174  574.9  21.4  -
Rubricoccaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               31     888      22     891       6     891    1451    +    2.7e-173  572.8  21.8  -
Sphaerobacteraceae               -          LKAP-TSAKG2_F04_022_2018_2 -               84     882      66     891      46     891    1531    +    4.6e-173  572.0  23.6  -
Rubritaleaceae                   -          LKAP-TSAKG2_F04_022_2018_2 -               29     883      24     890       7     891    1452    +    8.8e-172  567.6  21.8  -
Zoogloeaceae                     -          LKAP-TSAKG2_F04_022_2018_2 -               25     892      16     891       8     891    1474    +    4.9e-171  565.2  22.7  -
Chlorobiaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               87     892      68     891      47     891    1457    +    7.3e-171  564.6  21.7  -
Thiobacilliaceae                 -          LKAP-TSAKG2_F04_022_2018_2 -               37     904      16     891       7     891    1517    +    1.3e-170  563.9  22.2  -
Prochlorococcaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               23     840      14     891       7     891    1465    +    4.3e-170  562.2  23.9  -
Opitutaceae                      -          LKAP-TSAKG2_F04_022_2018_2 -               29     907      24     891      13     891    1481    +    5.8e-170  561.7  21.9  -
Hydrogenothermaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               79     860      66     891      45     891    1447    +    2.4e-169  559.9  22.6  -
Coriobacteriaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               42     871      24     891      14     891    1461    +    5.1e-169  559.1  23.4  -
Petrotogaceae                    -          LKAP-TSAKG2_F04_022_2018_2 -               32     884      15     891       8     891    1481    +    9.4e-169  558.0  22.7  -
Akkermansiaceae                  -          LKAP-TSAKG2_F04_022_2018_2 -               29     862      24     890      15     891    1441    +    1.4e-168  557.4  22.0  -
Hafniaceae                       -          LKAP-TSAKG2_F04_022_2018_2 -               22     882      23     889       7     891    1459    +      2e-168  556.5  21.5  -
Blastocatellaceae                -          LKAP-TSAKG2_F04_022_2018_2 -               49     889      24     891      12     891    1485    +    2.7e-168  556.0  23.2  -
