# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_H04_018_2018_2 -               18     854      14     848       5     848    1491    +           0 1031.8  15.3  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_H04_018_2018_2 -               11     840      15     848       6     848    1446    +    7.4e-272  903.0  15.4  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_H04_018_2018_2 -               19     858      15     848       5     848    1465    +    2.9e-246  818.1  15.3  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_H04_018_2018_2 -               24     857      19     848       4     848    1463    +    2.4e-244  811.7  15.3  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_H04_018_2018_2 -               18     856      14     848       5     848    1478    +    5.5e-244  810.5  15.3  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_H04_018_2018_2 -               14     850      14     848       5     848    1463    +    3.5e-241  801.4  15.2  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_H04_018_2018_2 -               27     856      21     848       7     848    1480    +    2.1e-239  795.4  15.2  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_H04_018_2018_2 -               34     862      21     848       6     848    1502    +    2.2e-239  795.3  15.2  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_H04_018_2018_2 -               18     856      14     848       5     848    1461    +    9.4e-238  789.9  15.4  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_H04_018_2018_2 -               18     858      14     848       5     848    1467    +    6.9e-237  786.8  15.6  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_H04_018_2018_2 -               29     868      13     848       4     848    1516    +      1e-234  779.7  15.3  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_H04_018_2018_2 -               19     856      15     848       6     848    1463    +    1.6e-234  779.1  15.3  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_H04_018_2018_2 -               37     878      13     848       3     848    1504    +    6.6e-234  777.0  15.3  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_H04_018_2018_2 -               39     863      21     848       8     848    1482    +      7e-234  777.0  15.5  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_H04_018_2018_2 -               27     856      21     848       5     848    1471    +    2.7e-233  775.0  15.2  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_H04_018_2018_2 -               27     851      21     848       6     848    1480    +    3.1e-233  775.1  15.5  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_H04_018_2018_2 -               25     860      17     848       6     848    1461    +      4e-233  774.4  15.3  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_H04_018_2018_2 -               19     858      15     848       6     848    1484    +    7.2e-233  773.6  15.2  -
