# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Litoricolaceae                   -          B1b1_forward         -               12     558       7     551       4     571    1474    +    9.3e-147  485.3  12.4  -
Spongiibacteraceae               -          B1b1_forward         -                7     548       7     550       4     567    1462    +    2.1e-146  483.8  12.7  -
Unclassified_Oceanospirillales   -          B1b1_forward         -                8     551       6     551       3     572    1483    +    6.8e-142  468.8  12.2  -
Alcanivoracaceae                 -          B1b1_forward         -               24     569       7     550       3     571    1504    +    1.5e-141  467.7  12.4  -
Unclassified_Alteromonadales     -          B1b1_forward         -                4     552       7     551       5     573    1467    +    2.5e-139  460.3  12.6  -
Aeromonadaceae                   -          B1b1_forward         -               16     567       7     552       3     573    1496    +    2.9e-139  460.1  12.5  -
Halieaceae                       -          B1b1_forward         -               12     551       7     550       3     568    1484    +    8.9e-139  458.6  12.3  -
Kangiellaceae                    -          B1b1_forward         -               13     562       7     550       4     572    1479    +    3.8e-137  453.2  12.6  -
Thioalkalispiraceae              -          B1b1_forward         -               16     567       7     551       3     572    1478    +    1.6e-136  451.1  12.3  -
Microbulbiferaceae               -          B1b1_forward         -                4     544       7     550       5     568    1478    +      1e-134  445.4  12.6  -
Ferrimonadaceae                  -          B1b1_forward         -                4     562       7     551       5     571    1475    +    4.2e-134  443.0  12.8  -
Granulosicoccaceae               -          B1b1_forward         -                4     584       7     583       5     596    1471    +    2.8e-132  437.3  11.7  -
Thermoleophilaceae               -          B1b1_forward         -                2     547      12     550      11     572    1486    +    3.6e-132  436.7  12.4  -
Idiomarinaceae                   -          B1b1_forward         -                4     551       7     550       5     568    1466    +    5.1e-132  436.1  12.8  -
Moritellaceae                    -          B1b1_forward         -               19     568       7     550       3     571    1501    +    8.4e-132  435.4  12.5  -
Colwelliaceae                    -          B1b1_forward         -                4     550       7     550       5     572    1465    +    1.4e-131  435.0  12.8  -
Saccharospirillaceae             -          B1b1_forward         -                5     544       7     550       4     572    1468    +    1.7e-131  434.5  13.0  -
Acidiferrobacteraceae            -          B1b1_forward         -                4     541       7     550       5     571    1456    +    2.1e-131  434.4  13.4  -
Halothiobacillaceae              -          B1b1_forward         -               21     568       7     550       3     571    1501    +    2.1e-128  424.2  12.6  -
Cardiobacteriaceae               -          B1b1_forward         -               12     556       7     552       3     572    1462    +    9.3e-128  422.5  12.7  -
Succinivibrionaceae              -          B1b1_forward         -                7     532       7     551       4     571    1474    +    1.3e-127  421.6  13.9  -
Arenicellaceae                   -          B1b1_forward         -                4     547       7     551       4     572    1488    +    1.7e-126  418.1  12.1  -
Psychromonadaceae                -          B1b1_forward         -                4     552       7     551       5     572    1467    +    6.5e-126  416.1  12.7  -
Coxiellaceae                     -          B1b1_forward         -                4     558       7     550       4     567    1473    +    1.1e-125  415.3  12.8  -
Celerinatantimonadaceae          -          B1b1_forward         -                1     556       9     550       9     570    1433    +    1.4e-125  415.1  12.6  -
Unclassified_Thiotrichales       -          B1b1_forward         -               23     562       5     547       2     567    1517    +    1.4e-122  404.9  12.4  -
Nevskiaceae                      -          B1b1_forward         -               13     545       7     550       3     570    1470    +      4e-121  400.5  12.4  -
Wenzhouxiangellaceae             -          B1b1_forward         -                4     553       7     549       4     564    1472    +    2.6e-120  397.4  12.7  -
Budviciaceae                     -          B1b1_forward         -                1     543      14     552      14     575    1483    +    9.5e-120  395.6  12.2  -
Unclassified_Alphaproteobacteria -          B1b1_forward         -                3     498       6     552       5     573    1412    +    1.1e-118  392.5  11.8  -
Orbaceae                         -          B1b1_forward         -               31     571       7     547       3     565    1538    +    2.5e-118  390.8  12.5  -
Sulfuricellaceae                 -          B1b1_forward         -                4     546       7     549       4     570    1462    +    5.9e-118  389.7  12.9  -
Zoogloeaceae                     -          B1b1_forward         -               11     552       7     550       3     570    1474    +    1.9e-117  388.0  13.2  -
Unclassified_Rhizobiales         -          B1b1_forward         -               13     506       6     552       3     568    1437    +    2.4e-117  387.8  11.6  -
Hafniaceae                       -          B1b1_forward         -                1     547      10     552      10     575    1459    +    8.4e-116  382.4  12.4  -
