# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Oceanospirillales   -          LKAP-TSAKG2_B05_045_2018_2 -               33     989      22     980      10     990    1483    +           0 1023.3  19.1  -
Alcanivoracaceae                 -          LKAP-TSAKG2_B05_045_2018_2 -               48    1010      22     981      10     989    1504    +    1.4e-301  997.9  18.5  -
Kangiellaceae                    -          LKAP-TSAKG2_B05_045_2018_2 -               37    1003      22     981      10     990    1479    +    5.7e-301  995.9  18.6  -
Thioalkalispiraceae              -          LKAP-TSAKG2_B05_045_2018_2 -               41    1010      22     983       8     990    1478    +    1.1e-297  985.0  18.7  -
Spongiibacteraceae               -          LKAP-TSAKG2_B05_045_2018_2 -               30     987      21     980       9     988    1462    +    3.3e-296  980.1  18.4  -
Halieaceae                       -          LKAP-TSAKG2_B05_045_2018_2 -               36     994      22     984      11     990    1484    +    1.1e-293  971.8  18.8  -
Saccharospirillaceae             -          LKAP-TSAKG2_B05_045_2018_2 -               29     984      22     981       9     989    1468    +    2.6e-293  970.6  18.9  -
Microbulbiferaceae               -          LKAP-TSAKG2_B05_045_2018_2 -               27     985      21     982      10     990    1478    +    7.9e-292  965.9  18.8  -
Litoricolaceae                   -          LKAP-TSAKG2_B05_045_2018_2 -               36     998      22     982      10     989    1474    +    2.3e-291  964.3  18.5  -
Halothiobacillaceae              -          LKAP-TSAKG2_B05_045_2018_2 -               45    1015      22     987       9     990    1501    +    1.2e-288  955.1  18.8  -
Granulosicoccaceae               -          LKAP-TSAKG2_B05_045_2018_2 -               28     972      22     961      10     981    1471    +    5.1e-288  953.2  18.4  -
Unclassified_Alteromonadales     -          LKAP-TSAKG2_B05_045_2018_2 -               28     991      22     981       9     989    1467    +    9.5e-288  952.0  18.6  -
Nevskiaceae                      -          LKAP-TSAKG2_B05_045_2018_2 -               37     994      22     990      11     990    1470    +    9.7e-287  949.2  19.4  -
Wenzhouxiangellaceae             -          LKAP-TSAKG2_B05_045_2018_2 -               27     996      21     981       8     989    1472    +    1.9e-282  934.5  18.5  -
