# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          F0117_LKAP-FHGF1_A12_096 -               20     871       6     855       1     855    1483    +           0 1032.0  20.3  -
Ferrimonadaceae           -          F0117_LKAP-FHGF1_A12_096 -               19     879       5     855       1     855    1475    +    7.1e-290  959.8  20.0  -
Aeromonadaceae            -          F0117_LKAP-FHGF1_A12_096 -               30     883       4     855       1     855    1496    +    8.5e-290  959.5  20.0  -
Moritellaceae             -          F0117_LKAP-FHGF1_A12_096 -               42     886      11     855       1     855    1501    +    1.2e-275  912.8  20.5  -
Pseudoalteromonadaceae    -          F0117_LKAP-FHGF1_A12_096 -               19     865       5     855       1     855    1469    +    4.5e-275  910.9  20.0  -
Alteromonadales           -          F0117_LKAP-FHGF1_A12_096 -               21     870       7     855       1     855    1468    +      8e-275  909.8  20.2  -
Alteromonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               19     868       5     855       1     855    1468    +    7.6e-273  903.5  20.7  -
Gammaproteobacteria       -          F0117_LKAP-FHGF1_A12_096 -               27     868      11     855       1     855    1481    +    1.4e-272  902.5  20.3  -
Vibrionaceae              -          F0117_LKAP-FHGF1_A12_096 -               19     878       5     854       1     855    1474    +    1.5e-271  899.2  20.1  -
Colwelliaceae             -          F0117_LKAP-FHGF1_A12_096 -               27     870      11     855       1     855    1467    +    1.1e-264  876.6  20.2  -
Cellvibrionaceae          -          F0117_LKAP-FHGF1_A12_096 -               19     867       5     854       1     855    1472    +    1.6e-264  876.0  20.5  -
Pectobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               16     866       5     855       1     855    1477    +    1.7e-262  869.3  20.1  -
Psychromonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               23     869       9     855       1     855    1467    +    1.7e-262  869.3  20.1  -
