# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          A1d2_forward         -                3     900       3     900       1     900    1491    +           0 1141.7  18.0  -
Moraxellaceae_Moraxella                          -          A1d2_forward         -                1     886       9     900       9     900    1446    +    6.2e-304 1009.3  18.1  -
Alteromonadaceae_Marinobacterium                 -          A1d2_forward         -                3     904       3     900       1     900    1465    +      1e-278  925.7  18.1  -
Alteromonadaceae_Marinobacter                    -          A1d2_forward         -                3     902       3     900       1     900    1478    +    2.2e-278  924.6  18.1  -
Halomonadaceae_Halomonas                         -          A1d2_forward         -                3     903       3     900       1     900    1463    +    3.8e-278  923.8  18.0  -
Pseudomonadaceae_Pseudomonas                     -          A1d2_forward         -               10     908       3     900       1     900    1502    +    2.3e-275  914.6  18.0  -
Halomonadaceae_Chromohalobacter                  -          A1d2_forward         -                2     902       2     900       1     900    1480    +    8.8e-274  909.4  18.0  -
Moraxellaceae_Acinetobacter                      -          A1d2_forward         -                1     896       5     900       5     900    1463    +    1.2e-270  899.2  18.0  -
Oceanospirillaceae_Marinomonas                   -          A1d2_forward         -                3     904       3     900       1     900    1467    +    3.4e-270  897.3  18.4  -
Oceanospirillaceae_Amphritea                     -          A1d2_forward         -                2     902       2     900       1     900    1463    +      7e-269  893.1  18.0  -
Alcanivoracaceae_Pseudohongiella                 -          A1d2_forward         -                3     902       3     900       1     900    1461    +    1.7e-268  891.8  18.1  -
Oceanospirillaceae_Marinospirillum               -          A1d2_forward         -                3     896       3     900       1     900    1451    +    3.4e-267  887.6  18.2  -
Halomonadaceae_Salinicola                        -          A1d2_forward         -                3     902       3     900       1     900    1471    +    4.8e-267  887.0  18.0  -
Methylococcaceae_Methylococcus                   -          A1d2_forward         -               14     909       2     900       1     900    1482    +    1.8e-266  885.1  18.2  -
Halomonadaceae_Cobetia                           -          A1d2_forward         -               14     914       2     900       1     900    1516    +      2e-266  884.9  18.0  -
Halomonadaceae_Kushneria                         -          A1d2_forward         -                6     906       2     900       1     900    1461    +    4.3e-266  883.7  18.0  -
Microbulbiferaceae_Microbulbifer                 -          A1d2_forward         -                3     897       3     900       1     900    1480    +      1e-265  882.8  18.2  -
Spongiibacteraceae_Sinobacterium                 -          A1d2_forward         -               23     924       3     900       1     900    1504    +    1.4e-264  878.8  18.0  -
Oceanospirillaceae_Neptunomonas                  -          A1d2_forward         -                2     904       2     900       1     900    1484    +    1.4e-264  878.8  18.0  -
Oceanospirillaceae_Reinekea                      -          A1d2_forward         -               12     906       2     900       1     900    1512    +      2e-264  878.3  18.2  -
Halomonadaceae_Larsenimonas                      -          A1d2_forward         -               23     923       2     900       1     900    1495    +    2.5e-264  878.0  18.1  -
Alcanivoracaceae_Alcanivorax                     -          A1d2_forward         -               22     923       2     900       1     900    1505    +    6.7e-264  876.5  18.1  -
Hahellaceae_Hahella                              -          A1d2_forward         -               30     928       3     900       1     900    1539    +    7.3e-264  876.5  18.1  -
