# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               27    1030      19    1027       4    1031    1474    +           0 1118.8  20.5  -
Alteromonadales           -          LKAP-GUTHK2_E01_007_2017_1 -               27    1021      19    1027       4    1031    1468    +    4.6e-299  990.4  20.6  -
Ferrimonadaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               15    1030       9    1027       3    1031    1475    +    6.1e-297  983.5  20.7  -
Enterobacteriaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               27    1020      19    1027       4    1031    1465    +    1.4e-296  982.6  20.5  -
Shewanellaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27    1022      19    1027       4    1031    1483    +    1.9e-295  978.7  20.6  -
Aeromonadaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               33    1025      15    1017       3    1029    1496    +      1e-294  976.1  20.6  -
Erwiniaceae               -          LKAP-GUTHK2_E01_007_2017_1 -               22    1015      19    1027       4    1031    1483    +    1.2e-293  972.8  20.5  -
Gammaproteobacteria       -          LKAP-GUTHK2_E01_007_2017_1 -               27    1019      19    1027       4    1031    1481    +      9e-293  969.7  20.6  -
Pectobacteriaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               24    1017      19    1027       4    1031    1477    +    1.1e-291  966.3  20.6  -
Hafniaceae                -          LKAP-GUTHK2_E01_007_2017_1 -               20    1014      18    1027       4    1031    1459    +    1.8e-291  965.5  20.6  -
Yersiniaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               27    1020      19    1027       4    1031    1473    +    1.2e-290  962.8  20.6  -
Morganellaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               30    1023      19    1027       4    1031    1487    +    2.5e-290  962.0  20.4  -
Alteromonadaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               27    1019      19    1027       4    1031    1468    +    1.1e-289  959.6  20.8  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_E01_007_2017_1 -               27    1016      19    1027       4    1031    1469    +    3.2e-289  958.0  19.8  -
Oceanospirillaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               27    1021      19    1027       4    1031    1467    +    7.3e-282  933.6  20.6  -
Budviciaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               17    1010      19    1027       7    1031    1483    +    3.2e-281  931.6  20.6  -
Idiomarinaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               26    1021      18    1027       3    1031    1466    +    8.3e-281  930.0  20.6  -
Colwelliaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               27    1021      19    1027       5    1031    1467    +    3.5e-280  928.2  20.6  -
