# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Halothiobacillaceae              -          A1d_forward          -               21     929       5     929       2     952    1501    +    8.5e-195  644.3  27.6  -
Thioalkalispiraceae              -          A1d_forward          -               16     928       5     929       2     951    1478    +    2.3e-190  629.5  27.4  -
Alcanivoracaceae                 -          A1d_forward          -               24    1012       5    1019       2    1039    1504    +    4.5e-189  625.2  23.9  -
Unclassified_Oceanospirillales   -          A1d_forward          -                9     995       5    1022       2    1042    1483    +    3.3e-187  619.0  22.8  -
Coxiellaceae                     -          A1d_forward          -                4     995       5    1015       3    1030    1473    +    1.3e-186  617.2  23.5  -
Nevskiaceae                      -          A1d_forward          -               13     983       5    1015       2    1035    1470    +    4.4e-186  615.8  23.7  -
Hydrogenophilaceae               -          A1d_forward          -                4    1008       5    1057       3    1077    1462    +    4.6e-186  615.7  21.9  -
Litoricolaceae                   -          A1d_forward          -               12     917       5     929       3     950    1474    +    5.4e-183  605.4  27.6  -
Kangiellaceae                    -          A1d_forward          -               13     922       5     928       3     952    1479    +    1.2e-182  604.1  27.4  -
Cardiobacteriaceae               -          A1d_forward          -               12     913       5     929       2     952    1462    +    1.1e-181  601.2  27.8  -
Sulfuricellaceae                 -          A1d_forward          -                4     911       5     932       3     981    1462    +    1.8e-180  597.0  25.5  -
Sutterellaceae                   -          A1d_forward          -                4     931       5     960       3    1014    1487    +      7e-180  594.8  24.3  -
Granulosicoccaceae               -          A1d_forward          -                4     912       5     929       3     951    1471    +    7.6e-180  594.9  28.2  -
Acidiferrobacteraceae            -          A1d_forward          -                4     902       5     929       3     952    1456    +    2.9e-178  589.7  28.0  -
Spongiibacteraceae               -          A1d_forward          -                7     907       5     928       2     952    1462    +    5.9e-178  588.4  27.3  -
Zoogloeaceae                     -          A1d_forward          -               11     916       5     932       2     980    1474    +    8.5e-178  588.0  26.4  -
Unclassified_Alteromonadales     -          A1d_forward          -                4     996       5    1022       3    1042    1467    +    2.1e-177  586.5  23.4  -
Halieaceae                       -          A1d_forward          -               12     994       5    1020       2    1040    1484    +    5.7e-176  581.9  23.4  -
Aeromonadaceae                   -          A1d_forward          -               16     923       5     927       2     952    1496    +    5.1e-175  578.6  27.2  -
Thermoleophilaceae               -          A1d_forward          -                2     909      10     929       9     950    1486    +    1.4e-174  577.3  26.2  -
Nitrosomonadaceae                -          A1d_forward          -                4     989       5    1017       3    1038    1463    +    1.6e-174  577.4  22.9  -
