# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_F01_055.seq -               27    1048       5    1017       2    1017    1402    +           0 1236.1  13.9  -
Hyphomonadaceae           -          LKAP-Gut2_F01_055.seq -               27    1045       5    1017       2    1017    1400    +           0 1111.8  13.9  -
Rhizobiaceae              -          LKAP-Gut2_F01_055.seq -               27    1042       5    1017       2    1017    1422    +           0 1094.2  14.2  -
Hyphomicrobiaceae         -          LKAP-Gut2_F01_055.seq -               27    1045       5    1017       2    1017    1427    +           0 1090.9  14.0  -
Rhodobiaceae              -          LKAP-Gut2_F01_055.seq -               38    1055       6    1017       2    1017    1440    +           0 1091.0  14.1  -
Methylocystaceae          -          LKAP-Gut2_F01_055.seq -               38    1053       5    1017       3    1017    1424    +           0 1089.9  14.1  -
Phyllobacteriaceae        -          LKAP-Gut2_F01_055.seq -               27    1044       5    1017       2    1017    1424    +           0 1088.5  14.1  -
Alphaproteobacteria       -          LKAP-Gut2_F01_055.seq -               27    1045       5    1017       2    1017    1409    +           0 1073.0  13.9  -
Rhizobiales               -          LKAP-Gut2_F01_055.seq -               37    1053       5    1016       2    1017    1438    +           0 1069.3  14.2  -
Aurantimonadaceae         -          LKAP-Gut2_F01_055.seq -               44    1057       5    1016       2    1017    1442    +           0 1061.5  14.2  -
Rhodospirillaceae         -          LKAP-Gut2_F01_055.seq -               29    1051       5    1017       2    1017    1429    +           0 1061.3  13.9  -
Xanthobacteraceae         -          LKAP-Gut2_F01_055.seq -               27    1042       5    1017       3    1017    1415    +           0 1048.0  14.4  -
Brucellaceae              -          LKAP-Gut2_F01_055.seq -               33    1047       6    1017       3    1017    1411    +           0 1047.7  14.3  -
Caulobacteraceae          -          LKAP-Gut2_F01_055.seq -               27    1041       5    1017       2    1017    1415    +           0 1042.7  14.1  -
Beijerinckiaceae          -          LKAP-Gut2_F01_055.seq -               40    1058       5    1017       2    1017    1421    +           0 1039.3  14.0  -
Bradyrhizobiaceae         -          LKAP-Gut2_F01_055.seq -               33    1045      10    1017       3    1017    1428    +           0 1027.2  13.9  -
Sneathiellaceae           -          LKAP-Gut2_F01_055.seq -               33    1060       6    1017       3    1017    1427    +    3.2e-308 1021.2  14.2  -
Methylobacteriaceae       -          LKAP-Gut2_F01_055.seq -               27    1043       5    1017       2    1017    1426    +    6.1e-307 1016.9  13.9  -
Parvularculaceae          -          LKAP-Gut2_F01_055.seq -               47    1051       5    1005       3    1017    1428    +    2.3e-303 1005.4  14.5  -
Kordiimonadaceae          -          LKAP-Gut2_F01_055.seq -               28    1056       6    1017       2    1017    1421    +    2.9e-303 1004.9  13.8  -
Sphingomonadaceae         -          LKAP-Gut2_F01_055.seq -               34    1053       5    1017       2    1017    1434    +    4.5e-303 1004.4  13.7  -
Bartonellaceae            -          LKAP-Gut2_F01_055.seq -               28    1045       6    1016       2    1017    1410    +    9.1e-302  999.8  13.9  -
Cohaesibacteraceae        -          LKAP-Gut2_F01_055.seq -               44    1063       2    1016       1    1017    1425    +    2.8e-299  991.6  13.8  -
