# target name                    accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Hyphomonadaceae                  -          LKAP-Gut2_E02_008.seq -               27    1095       4    1070       2    1076    1399    +           0 1143.3  16.2  -
Aurantimonadaceae                -          LKAP-Gut2_E02_008.seq -               44    1110       4    1075       1    1076    1444    +           0 1111.6  16.2  -
Unclassified_Rhizobiales         -          LKAP-Gut2_E02_008.seq -               39    1107       6    1075       2    1076    1437    +           0 1098.4  16.4  -
Unclassified_Alphaproteobacteria -          LKAP-Gut2_E02_008.seq -               27    1095       4    1071       2    1076    1412    +           0 1095.6  16.3  -
Caulobacteraceae                 -          LKAP-Gut2_E02_008.seq -               27    1090       4    1071       2    1076    1418    +           0 1074.1  16.2  -
Brucellaceae                     -          LKAP-Gut2_E02_008.seq -               33    1101       5    1075       2    1076    1412    +           0 1072.0  16.4  -
Beijerinckiaceae                 -          LKAP-Gut2_E02_008.seq -               40    1111       4    1075       2    1076    1421    +           0 1058.1  16.5  -
Parvularculaceae                 -          LKAP-Gut2_E02_008.seq -               47    1115       4    1072       2    1076    1429    +           0 1040.0  16.4  -
Cohaesibacteraceae               -          LKAP-Gut2_E02_008.seq -               51    1115       7    1072       1    1076    1416    +           0 1037.6  16.3  -
Erythrobacteraceae               -          LKAP-Gut2_E02_008.seq -               32    1096       8    1072       1    1076    1433    +           0 1028.7  16.2  -
Sneathiellaceae                  -          LKAP-Gut2_E02_008.seq -               33    1110       5    1071       2    1076    1427    +           0 1028.5  16.3  -
Bartonellaceae                   -          LKAP-Gut2_E02_008.seq -               28    1099       5    1075       2    1076    1410    +           0 1024.5  16.4  -
Chelatococcaceae                 -          LKAP-Gut2_E02_008.seq -               41    1109       6    1075       1    1076    1439    +    7.3e-306 1012.6  16.5  -
Kordiimonadaceae                 -          LKAP-Gut2_E02_008.seq -               28    1106       5    1072       2    1076    1423    +    1.4e-304 1008.3  16.3  -
Anaplasmataceae                  -          LKAP-Gut2_E02_008.seq -               84    1124      28    1071      10    1076    1438    +    6.6e-288  953.1  15.8  -
Kiloniellaceae                   -          LKAP-Gut2_E02_008.seq -               53    1124      10    1072       2    1076    1450    +    7.2e-284  939.4  16.1  -
Unclassified_Oceanospirillales   -          LKAP-Gut2_E02_008.seq -               33    1151       5    1070       2    1076    1483    +    1.2e-278  922.0  16.1  -
Kangiellaceae                    -          LKAP-Gut2_E02_008.seq -               77    1159      26    1069       6    1076    1479    +    2.4e-275  911.2  15.8  -
Spongiibacteraceae               -          LKAP-Gut2_E02_008.seq -               63    1146      24    1069       4    1076    1462    +    2.7e-274  907.6  16.0  -
Unclassified_Thiotrichales       -          LKAP-Gut2_E02_008.seq -               91    1167      29    1070       9    1076    1517    +    1.1e-273  905.7  16.0  -
Litoricolaceae                   -          LKAP-Gut2_E02_008.seq -               61    1157      14    1070       4    1076    1474    +    1.3e-271  898.9  16.0  -
Thioalkalispiraceae              -          LKAP-Gut2_E02_008.seq -               85    1165      28    1069       7    1076    1478    +    5.4e-269  890.0  16.0  -
Microbulbiferaceae               -          LKAP-Gut2_E02_008.seq -               29    1142       6    1069       2    1076    1478    +    9.1e-269  889.6  16.2  -
Alcanivoracaceae                 -          LKAP-Gut2_E02_008.seq -               81    1167      22    1069       6    1076    1504    +      1e-268  889.1  16.0  -
Rickettsiaceae                   -          LKAP-Gut2_E02_008.seq -               67    1110      29    1072       9    1076    1430    +    1.6e-268  888.7  15.6  -
Halieaceae                       -          LKAP-Gut2_E02_008.seq -               35    1149       4    1069       2    1076    1484    +    1.1e-266  882.5  16.2  -
Thermoleophilaceae               -          LKAP-Gut2_E02_008.seq -               48    1155      21    1069       3    1076    1486    +    4.1e-266  880.5  16.0  -
Nautiliaceae                     -          LKAP-Gut2_E02_008.seq -               71    1123      27    1072       7    1076    1428    +    1.1e-263  872.9  16.0  -
Desulfuromonadaceae              -          LKAP-Gut2_E02_008.seq -               52    1173      10    1060       3    1076    1519    +    4.2e-263  870.7  15.9  -
Halothiobacillaceae              -          LKAP-Gut2_E02_008.seq -               77    1170      18    1071       3    1076    1501    +    1.1e-260  862.5  16.0  -
Geobacteraceae                   -          LKAP-Gut2_E02_008.seq -               66    1162      22    1061       3    1076    1485    +    1.8e-260  861.9  15.7  -
Saccharospirillaceae             -          LKAP-Gut2_E02_008.seq -               69    1142      28    1069       8    1076    1468    +    2.1e-260  861.6  15.8  -
Unclassified_Alteromonadales     -          LKAP-Gut2_E02_008.seq -               69    1153      27    1071       7    1076    1467    +    1.4e-259  858.8  15.9  -
Desulfohalobiaceae               -          LKAP-Gut2_E02_008.seq -               31    1182       4    1071       2    1075    1510    +    5.5e-259  857.0  15.9  -
Coxiellaceae                     -          LKAP-Gut2_E02_008.seq -               70    1160      26    1072       6    1076    1473    +    2.3e-258  855.0  16.0  -
Bdellovibrionaceae               -          LKAP-Gut2_E02_008.seq -               23    1117       4    1071       2    1076    1430    +    4.5e-257  850.7  16.1  -
Unclassified_Deltaproteobacteria -          LKAP-Gut2_E02_008.seq -               49    1176       9    1059       2    1076    1518    +    6.1e-257  850.4  15.9  -
Acidiferrobacteraceae            -          LKAP-Gut2_E02_008.seq -               59    1140      26    1069       5    1076    1456    +    8.3e-257  849.9  16.0  -
Syntrophaceae                    -          LKAP-Gut2_E02_008.seq -               85    1168      31    1056      11    1076    1556    +      5e-254  840.6  15.5  -
Heliobacteriaceae                -          LKAP-Gut2_E02_008.seq -               85    1148      29    1070       8    1076    1502    +    7.2e-254  840.2  15.7  -
Idiomarinaceae                   -          LKAP-Gut2_E02_008.seq -               70    1153      28    1070       8    1076    1466    +    3.4e-253  837.6  15.8  -
Unclassified_Acidobacteria       -          LKAP-Gut2_E02_008.seq -               47    1182       4    1071       2    1076    1505    +    6.8e-253  837.3  16.1  -
Desulfobulbaceae                 -          LKAP-Gut2_E02_008.seq -               34    1164      10    1068       3    1076    1482    +    5.3e-252  833.8  15.9  -
Arenicellaceae                   -          LKAP-Gut2_E02_008.seq -               33    1142       9    1069       2    1076    1488    +    9.5e-252  833.1  15.9  -
Cardiobacteriaceae               -          LKAP-Gut2_E02_008.seq -               57    1149      11    1068       4    1076    1462    +    9.6e-252  833.3  16.0  -
Ferrimonadaceae                  -          LKAP-Gut2_E02_008.seq -               80    1159      28    1069       8    1076    1475    +    3.3e-251  831.0  16.0  -
Nevskiaceae                      -          LKAP-Gut2_E02_008.seq -               37    1141       5    1069       2    1076    1470    +    6.8e-251  830.5  16.1  -
Wenzhouxiangellaceae             -          LKAP-Gut2_E02_008.seq -               72    1153      30    1069      13    1076    1472    +      7e-251  830.0  15.8  -
Granulosicoccaceae               -          LKAP-Gut2_E02_008.seq -               60    1150      20    1069       5    1076    1471    +    1.2e-250  829.5  16.0  -
Colwelliaceae                    -          LKAP-Gut2_E02_008.seq -               69    1148      28    1069       8    1076    1465    +      5e-250  827.4  15.7  -
Sporolactobacillaceae            -          LKAP-Gut2_E02_008.seq -               33    1156       9    1069       2    1076    1503    +    8.5e-250  826.6  16.2  -
Desulfomicrobiaceae              -          LKAP-Gut2_E02_008.seq -               44    1167      10    1071       2    1076    1495    +    2.5e-249  825.1  15.8  -
Deferribacteraceae               -          LKAP-Gut2_E02_008.seq -               52    1168      16    1072       3    1076    1514    +    3.1e-249  824.6  16.1  -
Natranaerobiaceae                -          LKAP-Gut2_E02_008.seq -                4    1121       2    1069       1    1076    1426    +    1.5e-248  822.4  15.8  -
Salinisphaeraceae                -          LKAP-Gut2_E02_008.seq -               21    1134       9    1069       2    1076    1432    +    1.7e-248  822.3  16.0  -
Thermithiobacillaceae            -          LKAP-Gut2_E02_008.seq -               19    1130      10    1069       2    1076    1419    +    2.8e-248  821.5  16.2  -
Aeromonadaceae                   -          LKAP-Gut2_E02_008.seq -               82    1166      26    1070       6    1076    1496    +    2.9e-248  821.2  16.0  -
