# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Enterovibrio                        -          LKAP-GutHK_E11_087   -               27     939      18     936       5     936    1499    +           0 1139.2  25.7  -
Vibrionaceae_Grimontia                           -          LKAP-GutHK_E11_087   -               27     945      18     936       5     936    1493    +           0 1117.0  26.3  -
Vibrionaceae_Photobacterium                      -          LKAP-GutHK_E11_087   -               27     945      18     936       4     936    1487    +           0 1105.3  26.3  -
Vibrionaceae_Vibrio                              -          LKAP-GutHK_E11_087   -               27     945      18     936       4     936    1466    +           0 1102.1  26.3  -
Vibrionaceae_Aliivibrio                          -          LKAP-GutHK_E11_087   -               51     959      18     936       4     936    1474    +    5.8e-308 1023.0  25.0  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GutHK_E11_087   -               21     945      14     936       2     936    1475    +    8.9e-306 1015.2  26.6  -
Vibrionaceae_Salinivibrio                        -          LKAP-GutHK_E11_087   -               46     967      18     936       4     936    1502    +      9e-306 1015.0  26.0  -
Erwiniaceae_Erwinia                              -          LKAP-GutHK_E11_087   -               28     935      19     936       5     936    1495    +    2.3e-301 1001.0  25.7  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GutHK_E11_087   -               35     943      18     936       4     936    1499    +    1.1e-300  998.6  25.6  -
Yersiniaceae_Serratia                            -          LKAP-GutHK_E11_087   -               31     939      18     936       5     936    1491    +    1.2e-300  998.5  26.0  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GutHK_E11_087   -               25     931      18     936       5     936    1476    +    3.2e-298  990.4  25.5  -
Pectobacteriaceae_Brenneria                      -          LKAP-GutHK_E11_087   -                5     913      18     936      15     936    1457    +    4.1e-298  990.0  25.4  -
Erwiniaceae_Pantoea                              -          LKAP-GutHK_E11_087   -                5     872      68     936      64     936    1416    +    1.2e-297  988.5  24.6  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GutHK_E11_087   -               20     927      18     935       4     936    1471    +    1.2e-297  988.6  26.7  -
Enterobacteriaceae_Gibbsiella                    -          LKAP-GutHK_E11_087   -               29     897      67     936      47     936    1396    +    1.7e-297  988.1  24.9  -
Shewanellaceae_Shewanella                        -          LKAP-GutHK_E11_087   -               27     937      18     936       4     936    1483    +    2.8e-297  987.3  25.5  -
