# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Lysobacteraceae           -          A1d_reverse          -              388    1453    1101      20    1117       4    1484    -           0 1173.0  10.4  -
Rhodanobacteraceae        -          A1d_reverse          -              386    1455    1103      18    1117       4    1473    -           0 1067.5  10.6  -
Pseudomonadaceae          -          A1d_reverse          -              393    1448    1099      25    1116       5    1491    -    1.9e-304 1008.6  10.6  -
Gammaproteobacteria       -          A1d_reverse          -              386    1444    1101      24    1115       4    1481    -    9.3e-304 1006.3  10.9  -
Halothiobacillaceae       -          A1d_reverse          -              404    1468    1101      20    1116       5    1500    -    2.8e-303 1004.8  10.4  -
Thiotrichaceae            -          A1d_reverse          -              369    1406    1099      20    1114       6    1421    -    3.9e-301  997.7  10.2  -
Methylococcaceae          -          A1d_reverse          -              395    1457    1099      20    1115       4    1481    -    2.6e-294  975.1  10.5  -
Ectothiorhodospiraceae    -          A1d_reverse          -              394    1448    1097      25    1115      14    1463    -    1.2e-293  973.1  10.7  -
Nevskiaceae               -          A1d_reverse          -              381    1438    1102      25    1116       5    1470    -    1.1e-292  969.9  10.4  -
Piscirickettsiaceae       -          A1d_reverse          -              393    1446    1097      24    1114       6    1466    -      1e-291  966.4  10.6  -
Alteromonadaceae          -          A1d_reverse          -              386    1447    1101      21    1115       5    1468    -      2e-290  962.1  10.7  -
Chromatiaceae             -          A1d_reverse          -              374    1434    1102      24    1116       6    1455    -    6.1e-289  957.4  10.8  -
Oceanospirillales         -          A1d_reverse          -              392    1458    1100      17    1115       4    1489    -    1.3e-287  952.8  10.7  -
Moraxellaceae             -          A1d_reverse          -              382    1435    1097      25    1115       5    1468    -    8.9e-286  947.0  10.7  -
Chromobacteriaceae        -          A1d_reverse          -              380    1441    1101      20    1115       5    1460    -    2.7e-285  945.4  10.6  -
Cellvibrionaceae          -          A1d_reverse          -              386    1444    1100      24    1115       6    1472    -      9e-284  940.2  10.5  -
Thioalkalispiraceae       -          A1d_reverse          -              405    1467    1099      21    1115       7    1479    -    2.2e-283  938.8  10.6  -
Alcanivoracaceae          -          A1d_reverse          -              403    1471    1103      17    1116       4    1504    -    2.4e-283  938.6  11.2  -
Oceanospirillaceae        -          A1d_reverse          -              388    1450    1101      22    1115       6    1467    -    9.7e-283  936.7  10.7  -
Alteromonadales           -          A1d_reverse          -              387    1453    1101      18    1116       5    1468    -    4.3e-282  934.3  10.6  -
Acidiferrobacteraceae     -          A1d_reverse          -              375    1432    1104      26    1117      17    1454    -    4.7e-282  934.6  10.3  -
Spongiibacteraceae        -          A1d_reverse          -              384    1446    1101      21    1116       6    1462    -    2.2e-281  932.1  10.6  -
Kangiellaceae             -          A1d_reverse          -              398    1449    1101      25    1115       5    1479    -    3.9e-281  931.4  10.0  -
Hahellaceae               -          A1d_reverse          -              385    1449    1101      19    1115       4    1473    -    1.3e-280  929.7  10.6  -
Thermoleophilaceae        -          A1d_reverse          -              386    1458    1101      26    1118       6    1494    -    2.7e-279  925.3  10.7  -
Wenzhouxiangellaceae      -          A1d_reverse          -              389    1449    1101      25    1116       6    1472    -    6.1e-278  920.7  10.5  -
Coxiellaceae              -          A1d_reverse          -              395    1451    1101      26    1116       8    1475    -    4.4e-275  911.4  10.4  -
Halieaceae                -          A1d_reverse          -              385    1448    1103      22    1116       4    1484    -    3.4e-274  908.4  10.5  -
Aeromonadaceae            -          A1d_reverse          -              399    1458    1103      25    1116       5    1496    -    3.9e-274  908.0  10.6  -
Pseudoalteromonadaceae    -          A1d_reverse          -              381    1447    1103      19    1116       4    1469    -    8.5e-274  907.0  10.7  -
Rhodocyclaceae            -          A1d_reverse          -              384    1441    1100      25    1113       5    1484    -    1.3e-273  906.5  10.6  -
Neisseriaceae             -          A1d_reverse          -              394    1460    1108      21    1116       6    1477    -    1.4e-272  903.1  10.5  -
Granulosicoccaceae        -          A1d_reverse          -              389    1453    1099      19    1115       6    1471    -    1.8e-272  902.8  10.4  -
