# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Idiomarinaceae                   -          C0807_LKAP-FHGF1_F02_006 -               23     578       6     555       2     555    1466    +    3.2e-180  594.8  13.5  -
Unclassified_Alteromonadales     -          C0807_LKAP-FHGF1_F02_006 -               24     578       7     555       2     555    1467    +    2.9e-175  578.3  13.5  -
Colwelliaceae                    -          C0807_LKAP-FHGF1_F02_006 -               21     577       6     555       1     555    1465    +    5.8e-173  571.0  13.7  -
Psychromonadaceae                -          C0807_LKAP-FHGF1_F02_006 -               24     578       7     555       1     555    1467    +    1.6e-167  553.0  13.6  -
Moritellaceae                    -          C0807_LKAP-FHGF1_F02_006 -               35     595       5     555       1     555    1501    +    4.2e-165  544.7  13.6  -
Ferrimonadaceae                  -          C0807_LKAP-FHGF1_F02_006 -               23     588       6     555       2     555    1475    +    1.2e-163  539.9  13.4  -
Aeromonadaceae                   -          C0807_LKAP-FHGF1_F02_006 -               36     592       7     555       2     555    1496    +    9.7e-161  530.2  13.4  -
Budviciaceae                     -          C0807_LKAP-FHGF1_F02_006 -               14     568       7     555       2     555    1483    +    2.8e-160  528.9  13.5  -
Unclassified_Oceanospirillales   -          C0807_LKAP-FHGF1_F02_006 -               29     577       7     555       1     555    1483    +    1.5e-158  523.0  13.8  -
Celerinatantimonadaceae          -          C0807_LKAP-FHGF1_F02_006 -               19     583       7     555       2     555    1433    +    1.9e-158  523.0  13.5  -
Hafniaceae                       -          C0807_LKAP-FHGF1_F02_006 -               18     572       7     555       1     555    1459    +    7.8e-157  517.4  13.6  -
Orbaceae                         -          C0807_LKAP-FHGF1_F02_006 -               48     601       6     555       1     555    1538    +    4.6e-156  514.8  13.7  -
Litoricolaceae                   -          C0807_LKAP-FHGF1_F02_006 -               31     584       6     555       1     555    1474    +    6.1e-156  514.6  13.7  -
Saccharospirillaceae             -          C0807_LKAP-FHGF1_F02_006 -               25     571       7     555       2     555    1468    +    1.3e-155  513.4  13.6  -
Halothiobacillaceae              -          C0807_LKAP-FHGF1_F02_006 -               40     595       6     555       2     555    1501    +      4e-155  511.7  13.4  -
Succinivibrionaceae              -          C0807_LKAP-FHGF1_F02_006 -               27     558       7     555       2     555    1474    +    1.7e-154  509.6  14.3  -
Thioalkalispiraceae              -          C0807_LKAP-FHGF1_F02_006 -               37     593       7     555       2     555    1478    +    1.1e-153  506.9  13.3  -
Thorselliaceae                   -          C0807_LKAP-FHGF1_F02_006 -                1     547      11     555      11     555    1419    +    1.1e-153  507.0  13.7  -
Coxiellaceae                     -          C0807_LKAP-FHGF1_F02_006 -               24     585       7     555       2     555    1473    +    4.1e-153  505.2  13.5  -
Kangiellaceae                    -          C0807_LKAP-FHGF1_F02_006 -               33     589       7     555       2     555    1479    +    5.6e-153  504.6  13.4  -
Unclassified_Thiotrichales       -          C0807_LKAP-FHGF1_F02_006 -               45     592       7     555       3     555    1517    +    1.3e-151  500.1  13.4  -
Cardiobacteriaceae               -          C0807_LKAP-FHGF1_F02_006 -               32     581       7     555       3     555    1462    +    6.9e-151  498.1  13.6  -
Granulosicoccaceae               -          C0807_LKAP-FHGF1_F02_006 -               24     578       7     555       2     555    1471    +    3.1e-148  489.0  13.4  -
Microbulbiferaceae               -          C0807_LKAP-FHGF1_F02_006 -               24     571       7     555       2     555    1478    +    6.2e-148  488.1  13.5  -
Halieaceae                       -          C0807_LKAP-FHGF1_F02_006 -               32     578       7     555       2     555    1484    +    4.2e-147  485.2  13.6  -
Spongiibacteraceae               -          C0807_LKAP-FHGF1_F02_006 -               26     575       6     555       2     555    1462    +    2.1e-146  482.7  13.4  -
Alcanivoracaceae                 -          C0807_LKAP-FHGF1_F02_006 -               44     596       7     555       2     555    1504    +      1e-144  477.1  13.5  -
