# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Microbulbiferaceae               -          B1g1_forward         -                7     412       7     409       3     423    1478    +     2.4e-95  313.6  10.7  -
Alcanivoracaceae                 -          B1g1_forward         -               27     437       7     409       3     425    1504    +     8.2e-95  311.5  10.5  -
Aeromonadaceae                   -          B1g1_forward         -               19     432       7     408       3     428    1496    +     3.2e-94  309.5  10.5  -
Unclassified_Alteromonadales     -          B1g1_forward         -                7     418       7     408       3     421    1467    +     1.7e-92  303.8  10.4  -
Unclassified_Oceanospirillales   -          B1g1_forward         -               10     418       5     409       1     422    1483    +     4.6e-92  302.3  10.6  -
Halieaceae                       -          B1g1_forward         -               15     419       7     409       3     423    1484    +     4.6e-92  302.5  10.3  -
Litoricolaceae                   -          B1g1_forward         -               15     425       7     409       3     420    1474    +     7.7e-92  301.9  10.5  -
Thioalkalispiraceae              -          B1g1_forward         -               19     433       7     408       3     420    1478    +     1.9e-90  297.1  10.2  -
Spongiibacteraceae               -          B1g1_forward         -               10     416       7     409       3     429    1462    +     1.5e-89  294.0  10.7  -
Thermoleophilaceae               -          B1g1_forward         -                2     415       9     409       8     421    1486    +     2.1e-88  290.4  10.0  -
Ferrimonadaceae                  -          B1g1_forward         -                7     426       7     406       3     419    1475    +     3.7e-88  289.4  10.2  -
Acidiferrobacteraceae            -          B1g1_forward         -                7     409       7     408       4     428    1456    +     1.3e-87  287.9  10.3  -
Granulosicoccaceae               -          B1g1_forward         -                7     418       7     408       4     420    1471    +     1.5e-86  284.4  10.1  -
Idiomarinaceae                   -          B1g1_forward         -                7     416       7     406       3     418    1466    +       2e-86  283.7  10.1  -
Halothiobacillaceae              -          B1g1_forward         -               24     431       7     404       3     417    1501    +     2.4e-86  283.5  10.0  -
Nevskiaceae                      -          B1g1_forward         -               16     414       7     409       3     413    1470    +     3.5e-86  283.4   9.9  -
Zoogloeaceae                     -          B1g1_forward         -               14     420       7     409       3     414    1474    +     8.1e-86  281.9  10.1  -
Moritellaceae                    -          B1g1_forward         -               22     434       7     407       3     423    1501    +       9e-86  281.6  10.4  -
Cardiobacteriaceae               -          B1g1_forward         -               15     420       7     406       3     417    1462    +       1e-85  281.8  10.1  -
Colwelliaceae                    -          B1g1_forward         -                7     417       7     408       3     420    1465    +     1.4e-84  277.9  10.3  -
Sulfuricellaceae                 -          B1g1_forward         -                7     414       7     408       3     413    1462    +     2.4e-83  273.7  10.0  -
Psychromonadaceae                -          B1g1_forward         -                7     419       7     409       3     424    1467    +     6.9e-83  272.2  10.5  -
Succinivibrionaceae              -          B1g1_forward         -               10     416       7     409       3     419    1474    +     1.4e-81  267.7   9.9  -
Celerinatantimonadaceae          -          B1g1_forward         -                2     415       7     405       6     418    1433    +     4.9e-81  266.1   9.9  -
Salinisphaeraceae                -          B1g1_forward         -                2     405      14     409      13     414    1432    +     7.1e-80  262.3   9.1  -
Budviciaceae                     -          B1g1_forward         -                1     408      11     408      11     420    1483    +     8.4e-80  261.9   9.8  -
Spirillaceae                     -          B1g1_forward         -               23     424       7     404       3     411    1447    +     3.8e-79  260.1   9.8  -
Hydrogenophilaceae               -          B1g1_forward         -                7     413       7     409       3     419    1462    +     6.7e-79  259.2  10.3  -
Hafniaceae                       -          B1g1_forward         -                2     413       8     409       7     420    1459    +     1.1e-78  258.1  10.1  -
