# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae_Pseudomonas                     -          B2b1_reverse         -              475    1431    1008      43    1031      23    1502    -           0 1120.0   7.8  -
Pseudomonadaceae_Azomonas                        -          B2b1_reverse         -              451    1408    1010      44    1031      24    1453    -           0 1111.0   7.8  -
Pseudomonadaceae_Azotobacter                     -          B2b1_reverse         -              464    1426    1019      44    1039      24    1473    -           0 1068.1   7.7  -
Alteromonadaceae_Marinobacterium                 -          B2b1_reverse         -              444    1440    1041      30    1063      11    1465    -    2.4e-307 1021.0   7.4  -
Cellvibrionaceae_Gilvimarinus                    -          B2b1_reverse         -              458    1415    1010      44    1035      24    1445    -    4.3e-306 1016.8   7.7  -
Cellvibrionaceae_Cellvibrio                      -          B2b1_reverse         -              481    1439    1011      44    1047      24    1505    -      5e-305 1013.4   7.5  -
Microbulbiferaceae_Microbulbifer                 -          B2b1_reverse         -              463    1422    1009      41    1033      20    1480    -    9.2e-305 1012.6   7.8  -
Alteromonadaceae_Marinobacter                    -          B2b1_reverse         -              469    1423    1008      44    1029      24    1478    -    7.3e-304 1009.4   7.8  -
Thermoleophilaceae_Thermoleophilum               -          B2b1_reverse         -              472    1439    1006      42    1030      22    1494    -    8.3e-303 1005.9   7.6  -
Cellvibrionaceae_Eionea                          -          B2b1_reverse         -              429    1422    1051      44    1072      23    1469    -    2.6e-300  997.6   7.3  -
Cellvibrionaceae_Simiduia                        -          B2b1_reverse         -              462    1424    1015      44    1057      24    1463    -    3.8e-300  997.1   7.4  -
Alcanivoracaceae_Alcanivorax                     -          B2b1_reverse         -              489    1445    1008      44    1029      24    1505    -    1.3e-299  995.3   7.6  -
Oceanospirillaceae_Marinospirillum               -          B2b1_reverse         -              474    1417     995      45    1028      25    1451    -      1e-298  992.5   7.8  -
Cellvibrionaceae_Pseudomaricurvus                -          B2b1_reverse         -              448    1418    1027      43    1055      23    1490    -    1.1e-298  992.1   7.5  -
Oceanospirillaceae_Neptunomonas                  -          B2b1_reverse         -              437    1426    1048      44    1069      24    1484    -    1.4e-298  991.9   7.3  -
