# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_A07_063_2018_2 -               37    1018      17     999      11    1000    1526    +           0 1241.2  29.3  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_A07_063_2018_2 -                7     979      16     988      12     994    1469    +           0 1039.8  29.1  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_A07_063_2018_2 -               22     997      17     990      12     998    1471    +           0 1036.4  28.9  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_A07_063_2018_2 -               23    1004      16     993      10     999    1519    +           0 1035.7  28.9  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_A07_063_2018_2 -               23    1003      16     994       9     999    1508    +           0 1027.9  29.0  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_A07_063_2018_2 -               39    1019      16     993      10     998    1524    +           0 1026.2  28.8  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_A07_063_2018_2 -               44    1017      17     993      12     997    1553    +    3.5e-307 1020.4  29.6  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_A07_063_2018_2 -               44    1018      17     992       8     997    1555    +    5.3e-307 1019.6  28.9  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_A07_063_2018_2 -               25     988      17     992      11     996    1495    +    1.2e-306 1018.6  27.4  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_A07_063_2018_2 -               22     990      15     994       9     999    1479    +    5.3e-305 1012.9  27.6  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_A07_063_2018_2 -               23    1000      16     993       9     998    1482    +      7e-305 1012.7  28.9  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_A07_063_2018_2 -               12     993      15     992       8     999    1470    +      1e-304 1012.3  28.9  -
