# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_E08_56.seq -               27    1101       7    1074       3    1074    1402    +           0 1269.6  16.2  -
Hyphomonadaceae           -          LKAP-Gut2_E08_56.seq -               27    1099       7    1074       3    1074    1400    +           0 1158.9  16.2  -
Hyphomicrobiaceae         -          LKAP-Gut2_E08_56.seq -               27    1097       7    1074       3    1074    1427    +           0 1133.3  16.2  -
Rhodobiaceae              -          LKAP-Gut2_E08_56.seq -               37    1107       7    1074       3    1074    1440    +           0 1129.4  16.1  -
Rhizobiaceae              -          LKAP-Gut2_E08_56.seq -               27    1093       7    1072       3    1074    1422    +           0 1122.6  16.0  -
Methylocystaceae          -          LKAP-Gut2_E08_56.seq -               38    1105       7    1073       4    1074    1424    +           0 1122.3  16.3  -
Aurantimonadaceae         -          LKAP-Gut2_E08_56.seq -               44    1110       7    1073       4    1074    1442    +           0 1115.2  15.9  -
Phyllobacteriaceae        -          LKAP-Gut2_E08_56.seq -               27    1096       7    1073       3    1074    1424    +           0 1113.9  16.1  -
Alphaproteobacteria       -          LKAP-Gut2_E08_56.seq -               27    1097       7    1074       3    1074    1409    +           0 1110.0  16.1  -
Rhizobiales               -          LKAP-Gut2_E08_56.seq -               37    1105       7    1072       3    1074    1438    +           0 1108.3  16.0  -
Rhodospirillaceae         -          LKAP-Gut2_E08_56.seq -               29    1104       7    1074       3    1074    1429    +           0 1095.4  16.2  -
Caulobacteraceae          -          LKAP-Gut2_E08_56.seq -               27    1093       7    1074       3    1074    1415    +           0 1080.9  16.3  -
Brucellaceae              -          LKAP-Gut2_E08_56.seq -               33    1099       8    1073       4    1074    1411    +           0 1077.4  16.3  -
Xanthobacteraceae         -          LKAP-Gut2_E08_56.seq -               27    1094       7    1073       4    1074    1415    +           0 1076.1  16.2  -
Beijerinckiaceae          -          LKAP-Gut2_E08_56.seq -               40    1110       7    1073       3    1074    1421    +           0 1064.3  16.0  -
Methylobacteriaceae       -          LKAP-Gut2_E08_56.seq -               27    1094       7    1072       3    1074    1426    +           0 1063.5  16.1  -
Bradyrhizobiaceae         -          LKAP-Gut2_E08_56.seq -               29    1096       9    1072       3    1074    1428    +           0 1054.1  15.7  -
Cohaesibacteraceae        -          LKAP-Gut2_E08_56.seq -               43    1116       3    1074       1    1074    1425    +           0 1052.1  16.2  -
Parvularculaceae          -          LKAP-Gut2_E08_56.seq -               47    1116       7    1074       4    1074    1428    +           0 1052.1  16.3  -
Sneathiellaceae           -          LKAP-Gut2_E08_56.seq -               32    1113       7    1074       4    1074    1427    +           0 1040.6  16.3  -
Erythrobacteraceae        -          LKAP-Gut2_E08_56.seq -               28    1099       7    1074       3    1074    1433    +           0 1036.6  16.2  -
Bartonellaceae            -          LKAP-Gut2_E08_56.seq -               27    1096       7    1071       3    1074    1410    +           0 1030.7  16.0  -
Sphingomonadaceae         -          LKAP-Gut2_E08_56.seq -               34    1105       7    1074       3    1074    1434    +           0 1029.7  16.1  -
