# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Hafniaceae                       -          B123_forward         -                1     687      16     702      16     712    1459    +    7.9e-215  710.0  18.3  -
Budviciaceae                     -          B123_forward         -                1     683      20     702      20     712    1483    +    4.6e-211  697.6  18.2  -
Aeromonadaceae                   -          B123_forward         -               14     707      11     702       3     712    1496    +    1.9e-194  642.3  17.7  -
Idiomarinaceae                   -          B123_forward         -                2     678      11     687      10     704    1466    +    8.3e-190  627.0  17.6  -
Unclassified_Alteromonadales     -          B123_forward         -                2     693      11     702      10     710    1467    +    9.1e-189  623.5  17.9  -
Moritellaceae                    -          B123_forward         -               16     710      10     702       2     709    1501    +    3.8e-188  621.6  17.5  -
Ferrimonadaceae                  -          B123_forward         -                2     703      11     702      10     712    1475    +    3.3e-185  611.7  17.9  -
Psychromonadaceae                -          B123_forward         -                2     693      11     702      10     710    1467    +    1.1e-184  610.2  18.0  -
Colwelliaceae                    -          B123_forward         -                2     677      11     687      10     699    1465    +      8e-184  607.4  17.4  -
Orbaceae                         -          B123_forward         -               29     716      11     702       2     708    1538    +    6.9e-182  600.8  17.2  -
Thorselliaceae                   -          B123_forward         -                1     662      37     702      37     714    1419    +      2e-178  589.4  16.9  -
Succinivibrionaceae              -          B123_forward         -                5     673      11     702       8     708    1474    +    2.6e-178  589.0  17.4  -
Unclassified_Oceanospirillales   -          B123_forward         -                6     691      10     701       4     708    1483    +    2.6e-177  585.6  16.9  -
Alcanivoracaceae                 -          B123_forward         -               22     711      11     702       3     713    1504    +    4.2e-175  578.3  17.6  -
Halothiobacillaceae              -          B123_forward         -               19     695      11     687       3     704    1501    +    8.7e-174  574.0  17.3  -
Litoricolaceae                   -          B123_forward         -               10     684      11     687       5     703    1474    +    3.5e-173  572.2  17.2  -
Halieaceae                       -          B123_forward         -               10     693      11     702       4     713    1484    +    1.9e-170  563.0  17.4  -
Celerinatantimonadaceae          -          B123_forward         -                2     698      16     702      15     711    1433    +    2.4e-170  562.8  18.3  -
Spongiibacteraceae               -          B123_forward         -                5     685      11     697       7     704    1462    +    3.6e-170  562.0  17.4  -
Thioalkalispiraceae              -          B123_forward         -               14     707      11     701       4     710    1478    +    5.5e-170  561.4  17.8  -
Cardiobacteriaceae               -          B123_forward         -               10     680      11     686       5     702    1462    +      1e-167  554.2  17.2  -
Microbulbiferaceae               -          B123_forward         -                2     668      11     684      10     692    1478    +    1.2e-166  550.6  16.8  -
Kangiellaceae                    -          B123_forward         -               11     701      11     699       4     705    1479    +      6e-165  544.7  17.7  -
Granulosicoccaceae               -          B123_forward         -                2     689      11     698      10     703    1471    +    1.2e-163  540.6  17.9  -
Saccharospirillaceae             -          B123_forward         -                3     676      11     692       9     703    1468    +      5e-163  538.4  17.6  -
Nevskiaceae                      -          B123_forward         -               11     685      11     700       4     712    1470    +    2.4e-158  523.3  16.7  -
Thermoleophilaceae               -          B123_forward         -                2     673      18     686      17     706    1486    +    2.6e-157  519.4  17.2  -
Coxiellaceae                     -          B123_forward         -                2     684      11     686      10     701    1473    +    1.1e-154  510.8  17.4  -
Sutterellaceae                   -          B123_forward         -                2     675      11     686      10     707    1487    +    1.1e-153  507.2  17.3  -
Arenicellaceae                   -          B123_forward         -                2     688      11     702      10     709    1488    +    3.4e-153  505.9  17.3  -
Sulfuricellaceae                 -          B123_forward         -                2     689      11     702      10     716    1462    +    2.2e-152  503.2  17.8  -
Unclassified_Thiotrichales       -          B123_forward         -               22     698      10     693       3     703    1517    +    5.8e-152  501.7  16.8  -
Acidiferrobacteraceae            -          B123_forward         -                2     682      11     701      10     705    1456    +    8.5e-152  501.3  18.0  -
Methylophilaceae                 -          B123_forward         -                2     673      31     702      30     712    1430    +    4.8e-151  498.7  15.5  -
Hydrogenophilaceae               -          B123_forward         -                2     687      11     702      10     722    1462    +    1.2e-148  491.1  17.7  -
Zoogloeaceae                     -          B123_forward         -                8     693      10     701       4     710    1474    +    4.2e-147  485.6  17.3  -
Thiobacilliaceae                 -          B123_forward         -               21     706      11     702       3     712    1517    +    4.7e-146  482.3  17.2  -
Salinisphaeraceae                -          B123_forward         -                2     679      23     701      22     705    1432    +      8e-146  481.5  17.3  -
Nitrosomonadaceae                -          B123_forward         -                2     690      11     702      10     712    1463    +    7.7e-144  475.0  17.9  -
Acidithiobacillaceae             -          B123_forward         -                1     682      11     700      11     707    1457    +    1.9e-143  473.5  17.5  -
Azonexaceae                      -          B123_forward         -                3     691      11     702       9     715    1474    +    3.2e-142  469.7  17.7  -
Francisellaceae                  -          B123_forward         -               11     689      10     700       3     706    1509    +    8.9e-142  468.0  16.4  -
Geobacteraceae                   -          B123_forward         -               12     700      13     689       7     705    1485    +    8.9e-141  464.6  17.5  -
Thermithiobacillaceae            -          B123_forward         -                2     672      26     702      25     707    1419    +      1e-140  464.6  16.4  -
Sneathiellaceae                  -          B123_forward         -                9     633      13     684       9     701    1427    +    2.2e-139  460.2  15.1  -
Desulfohalobiaceae               -          B123_forward         -                7     720      12     702       8     709    1510    +    2.6e-139  459.8  17.5  -
Unclassified_Deltaproteobacteria -          B123_forward         -               19     724      12     702       5     710    1518    +    3.7e-139  459.4  17.7  -
