# target name                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP.g-Gut1_E07_055.seq -               26    1096       4    1077       1    1086    1475    +           0 1148.6  19.8  -
Unclassified_Alteromonadales     -          LKAP.g-Gut1_E07_055.seq -               29    1086       8    1077       3    1085    1467    +           0 1117.2  19.6  -
Hafniaceae                       -          LKAP.g-Gut1_E07_055.seq -               20    1086       4    1082       1    1086    1459    +           0 1106.1  19.6  -
Aeromonadaceae                   -          LKAP.g-Gut1_E07_055.seq -               40    1101       7    1078       2    1086    1496    +           0 1101.2  19.7  -
Budviciaceae                     -          LKAP.g-Gut1_E07_055.seq -               57    1082      54    1082      32    1086    1483    +           0 1077.0  19.6  -
Colwelliaceae                    -          LKAP.g-Gut1_E07_055.seq -               28    1088       7    1078       3    1085    1465    +           0 1076.8  19.9  -
Moritellaceae                    -          LKAP.g-Gut1_E07_055.seq -               42    1108       6    1081       3    1085    1501    +           0 1071.7  19.7  -
Idiomarinaceae                   -          LKAP.g-Gut1_E07_055.seq -               27    1093       6    1082       2    1085    1466    +           0 1071.1  19.5  -
Psychromonadaceae                -          LKAP.g-Gut1_E07_055.seq -               27    1091       6    1081       3    1085    1467    +           0 1066.2  19.5  -
Thorselliaceae                   -          LKAP.g-Gut1_E07_055.seq -               39    1061      57    1082      37    1086    1419    +           0 1045.0  19.4  -
Unclassified_Oceanospirillales   -          LKAP.g-Gut1_E07_055.seq -               32    1085       6    1077       3    1085    1483    +           0 1039.6  20.1  -
Orbaceae                         -          LKAP.g-Gut1_E07_055.seq -               91    1115      55    1082      22    1086    1538    +           0 1026.9  19.3  -
Celerinatantimonadaceae          -          LKAP.g-Gut1_E07_055.seq -               22    1095       6    1078       3    1085    1433    +    1.2e-307 1018.3  19.9  -
Alcanivoracaceae                 -          LKAP.g-Gut1_E07_055.seq -               50    1105       9    1077       3    1086    1504    +    8.9e-307 1015.2  20.0  -
Halieaceae                       -          LKAP.g-Gut1_E07_055.seq -               35    1086       6    1077       3    1086    1484    +    3.7e-305 1010.0  19.9  -
Succinivibrionaceae              -          LKAP.g-Gut1_E07_055.seq -               30    1063       6    1077       3    1086    1474    +    1.6e-301  997.9  19.2  -
Thioalkalispiraceae              -          LKAP.g-Gut1_E07_055.seq -               42    1103       8    1077       3    1086    1478    +    3.2e-301  996.8  19.6  -
Spongiibacteraceae               -          LKAP.g-Gut1_E07_055.seq -               58    1083      48    1077      26    1086    1462    +    3.4e-300  993.4  19.6  -
Litoricolaceae                   -          LKAP.g-Gut1_E07_055.seq -               35    1094       6    1078       3    1086    1474    +    5.3e-300  993.1  20.2  -
Halothiobacillaceae              -          LKAP.g-Gut1_E07_055.seq -               44    1105       6    1078       3    1085    1501    +    4.5e-299  989.8  19.9  -
Microbulbiferaceae               -          LKAP.g-Gut1_E07_055.seq -               30    1079       9    1077       3    1086    1478    +    4.1e-296  980.2  19.4  -
Kangiellaceae                    -          LKAP.g-Gut1_E07_055.seq -               37    1098       7    1077       3    1085    1479    +    1.7e-295  977.9  19.4  -
Saccharospirillaceae             -          LKAP.g-Gut1_E07_055.seq -               59    1080      47    1078      25    1085    1468    +    3.1e-295  977.1  20.0  -
Thermoleophilaceae               -          LKAP.g-Gut1_E07_055.seq -               20    1084       6    1077       2    1085    1486    +    1.5e-293  971.5  19.5  -
Cardiobacteriaceae               -          LKAP.g-Gut1_E07_055.seq -               37    1094       8    1082       4    1085    1462    +    1.7e-288  955.1  19.8  -
Nevskiaceae                      -          LKAP.g-Gut1_E07_055.seq -               65    1080      57    1077      35    1085    1470    +    2.1e-288  954.9  19.8  -
Arenicellaceae                   -          LKAP.g-Gut1_E07_055.seq -               60    1080      54    1078       9    1086    1488    +    3.8e-286  947.1  19.6  -
Coxiellaceae                     -          LKAP.g-Gut1_E07_055.seq -               27    1094       6    1078       3    1086    1473    +    7.7e-286  946.0  20.1  -
Unclassified_Thiotrichales       -          LKAP.g-Gut1_E07_055.seq -               92    1108      59    1081      37    1085    1517    +    4.4e-283  936.8  19.3  -
Salinisphaeraceae                -          LKAP.g-Gut1_E07_055.seq -               17    1076       7    1078       2    1085    1432    +    6.3e-277  916.5  19.8  -
Granulosicoccaceae               -          LKAP.g-Gut1_E07_055.seq -               67    1087      54    1077      31    1086    1471    +    7.3e-277  916.4  20.0  -
Acidiferrobacteraceae            -          LKAP.g-Gut1_E07_055.seq -               61    1079      57    1077      37    1085    1456    +    5.9e-276  913.3  19.8  -
Acidithiobacillaceae             -          LKAP.g-Gut1_E07_055.seq -               27    1079       7    1077       3    1086    1457    +    1.2e-269  892.2  19.4  -
Hydrogenophilaceae               -          LKAP.g-Gut1_E07_055.seq -               60    1084      53    1077      19    1085    1462    +    9.6e-269  889.6  20.2  -
Geobacteraceae                   -          LKAP.g-Gut1_E07_055.seq -               70    1110      55    1078      31    1085    1485    +    8.1e-268  886.3  19.7  -
Sutterellaceae                   -          LKAP.g-Gut1_E07_055.seq -               62    1085      51    1077      29    1086    1487    +    2.4e-267  884.6  19.9  -
Sulfuricellaceae                 -          LKAP.g-Gut1_E07_055.seq -               50    1085      42    1077      20    1085    1462    +    2.5e-267  884.7  20.0  -
Desulfobulbaceae                 -          LKAP.g-Gut1_E07_055.seq -               63    1104      56    1078      33    1085    1482    +    8.6e-266  879.6  19.5  -
Methylophilaceae                 -          LKAP.g-Gut1_E07_055.seq -               41    1070      48    1077      24    1085    1430    +    1.5e-265  878.8  19.9  -
Francisellaceae                  -          LKAP.g-Gut1_E07_055.seq -               43    1087      11    1077       3    1084    1509    +    5.5e-265  877.0  19.2  -
Syntrophaceae                    -          LKAP.g-Gut1_E07_055.seq -               80    1120      55    1078      33    1085    1556    +    8.1e-265  876.4  19.5  -
Thermithiobacillaceae            -          LKAP.g-Gut1_E07_055.seq -               13    1067       7    1077       3    1085    1419    +    2.3e-264  874.9  19.8  -
Unclassified_Deltaproteobacteria -          LKAP.g-Gut1_E07_055.seq -               68    1122      36    1077      13    1085    1518    +    4.1e-264  874.1  19.6  -
Desulfohalobiaceae               -          LKAP.g-Gut1_E07_055.seq -               31    1116       6    1078       3    1085    1510    +      4e-261  864.1  19.9  -
Nitrosomonadaceae                -          LKAP.g-Gut1_E07_055.seq -               65    1086      54    1077      31    1086    1463    +    4.3e-261  864.2  19.8  -
Hyphomonadaceae                  -          LKAP.g-Gut1_E07_055.seq -               52    1034      57    1078      33    1085    1399    +    3.1e-260  861.4  17.7  -
Unclassified_Alphaproteobacteria -          LKAP.g-Gut1_E07_055.seq -               55    1034      58    1078      36    1085    1412    +    6.5e-260  860.4  18.5  -
Thiobacilliaceae                 -          LKAP.g-Gut1_E07_055.seq -               80    1106      54    1080      32    1085    1517    +    6.6e-260  860.2  19.8  -
Desulfuromonadaceae              -          LKAP.g-Gut1_E07_055.seq -               69    1121      36    1077      11    1086    1519    +    2.1e-259  858.4  19.8  -
Wenzhouxiangellaceae             -          LKAP.g-Gut1_E07_055.seq -               70    1093      57    1078      36    1085    1472    +    3.8e-259  857.4  19.4  -
