# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0520_LKAP-FHGF1_A09_079 -               27    1265       7    1210       3    1211    1474    +           0 1388.7  22.0  -
Alteromonadales           -          A0520_LKAP-FHGF1_A09_079 -               28    1256       8    1210       3    1211    1468    +           0 1248.3  22.0  -
Ferrimonadaceae           -          A0520_LKAP-FHGF1_A09_079 -               27    1265       7    1210       2    1211    1475    +           0 1235.0  21.9  -
Enterobacteriaceae        -          A0520_LKAP-FHGF1_A09_079 -               27    1212       7    1172       3    1199    1465    +           0 1230.7  21.6  -
Pseudoalteromonadaceae    -          A0520_LKAP-FHGF1_A09_079 -               27    1251       7    1210       3    1211    1469    +           0 1227.8  21.4  -
Shewanellaceae            -          A0520_LKAP-FHGF1_A09_079 -               27    1252       7    1205       3    1211    1483    +           0 1225.3  21.7  -
Aeromonadaceae            -          A0520_LKAP-FHGF1_A09_079 -               39    1269       7    1210       3    1211    1496    +           0 1222.2  21.9  -
Gammaproteobacteria       -          A0520_LKAP-FHGF1_A09_079 -               27    1254       7    1210       3    1211    1481    +           0 1222.1  21.9  -
Erwiniaceae               -          A0520_LKAP-FHGF1_A09_079 -               23    1206       8    1171       3    1192    1483    +           0 1221.7  21.7  -
Pectobacteriaceae         -          A0520_LKAP-FHGF1_A09_079 -               24    1248       7    1206       3    1210    1477    +           0 1220.9  22.1  -
Yersiniaceae              -          A0520_LKAP-FHGF1_A09_079 -               27    1213       7    1172       3    1192    1473    +           0 1218.0  21.7  -
Alteromonadaceae          -          A0520_LKAP-FHGF1_A09_079 -               27    1253       7    1210       3    1211    1468    +           0 1217.3  22.2  -
Morganellaceae            -          A0520_LKAP-FHGF1_A09_079 -               30    1215       7    1171       3    1192    1487    +           0 1212.3  21.7  -
Hafniaceae                -          A0520_LKAP-FHGF1_A09_079 -               21    1207       7    1172       2    1192    1459    +           0 1210.2  21.8  -
Colwelliaceae             -          A0520_LKAP-FHGF1_A09_079 -               27    1256       7    1210       4    1211    1467    +           0 1198.7  22.1  -
Oceanospirillaceae        -          A0520_LKAP-FHGF1_A09_079 -               28    1256       8    1210       3    1211    1467    +           0 1196.0  21.9  -
Idiomarinaceae            -          A0520_LKAP-FHGF1_A09_079 -               27    1256       7    1210       3    1211    1466    +           0 1193.7  22.0  -
Moritellaceae             -          A0520_LKAP-FHGF1_A09_079 -               42    1272       7    1210       4    1211    1501    +           0 1188.7  22.1  -
Psychromonadaceae         -          A0520_LKAP-FHGF1_A09_079 -               27    1255       7    1210       3    1211    1467    +           0 1184.6  22.0  -
Budviciaceae              -          A0520_LKAP-FHGF1_A09_079 -               17    1202       7    1171       3    1192    1483    +           0 1183.7  21.8  -
Pasteurellaceae           -          A0520_LKAP-FHGF1_A09_079 -               27    1256       7    1210       4    1211    1422    +           0 1166.5  21.9  -
Thorselliaceae            -          A0520_LKAP-FHGF1_A09_079 -                6    1221      12    1208       8    1211    1419    +           0 1159.6  22.8  -
Chromatiaceae             -          A0520_LKAP-FHGF1_A09_079 -               27    1244       7    1210       3    1211    1455    +           0 1148.9  22.0  -
Cellvibrionaceae          -          A0520_LKAP-FHGF1_A09_079 -               27    1253       7    1209       3    1211    1472    +           0 1148.5  21.9  -
Oceanospirillales         -          A0520_LKAP-FHGF1_A09_079 -               33    1260       7    1210       3    1211    1489    +           0 1147.5  22.1  -
Celerinatantimonadaceae   -          A0520_LKAP-FHGF1_A09_079 -               22    1219       7    1171       3    1201    1433    +           0 1131.9  21.7  -
Pseudomonadaceae          -          A0520_LKAP-FHGF1_A09_079 -               34    1259       7    1210       3    1211    1491    +           0 1129.0  22.1  -
Piscirickettsiaceae       -          A0520_LKAP-FHGF1_A09_079 -               29    1256       7    1210       4    1211    1466    +           0 1128.3  22.2  -
Orbaceae                  -          A0520_LKAP-FHGF1_A09_079 -               54    1235       7    1171       4    1191    1539    +           0 1123.0  22.1  -
Alcanivoracaceae          -          A0520_LKAP-FHGF1_A09_079 -               47    1231       7    1172       3    1203    1504    +           0 1121.4  21.8  -
Methylococcaceae          -          A0520_LKAP-FHGF1_A09_079 -               41    1262       7    1210       4    1211    1481    +           0 1119.0  22.2  -
Halomonadaceae            -          A0520_LKAP-FHGF1_A09_079 -               27    1253       7    1210       3    1211    1466    +           0 1110.1  22.2  -
Hahellaceae               -          A0520_LKAP-FHGF1_A09_079 -               27    1252       7    1209       2    1211    1473    +           0 1108.0  22.1  -
Thioalkalispiraceae       -          A0520_LKAP-FHGF1_A09_079 -               40    1272       8    1210       3    1211    1479    +           0 1103.6  21.8  -
Litoricolaceae            -          A0520_LKAP-FHGF1_A09_079 -               35    1260       7    1210       4    1211    1474    +           0 1101.2  22.1  -
Succinivibrionaceae       -          A0520_LKAP-FHGF1_A09_079 -               30    1189       7    1171       4    1191    1473    +           0 1099.7  21.6  -
Moraxellaceae             -          A0520_LKAP-FHGF1_A09_079 -               24    1246       7    1210       3    1211    1468    +           0 1093.8  22.1  -
Ectothiorhodospiraceae    -          A0520_LKAP-FHGF1_A09_079 -               34    1260       7    1210       3    1211    1463    +           0 1093.7  22.0  -
Spongiibacteraceae        -          A0520_LKAP-FHGF1_A09_079 -               30    1251       7    1209       3    1211    1462    +           0 1090.7  21.8  -
Saccharospirillaceae      -          A0520_LKAP-FHGF1_A09_079 -               31    1205       9    1171       3    1192    1468    +           0 1089.0  21.6  -
Halieaceae                -          A0520_LKAP-FHGF1_A09_079 -               36    1255       8    1210       4    1211    1484    +           0 1087.7  22.2  -
Kangiellaceae             -          A0520_LKAP-FHGF1_A09_079 -               36    1265       7    1210       3    1211    1479    +           0 1084.2  21.9  -
Lysobacteraceae           -          A0520_LKAP-FHGF1_A09_079 -               28    1257       7    1210       3    1211    1484    +           0 1083.5  22.1  -
Halothiobacillaceae       -          A0520_LKAP-FHGF1_A09_079 -               44    1271       7    1209       4    1211    1500    +           0 1082.2  22.0  -
Thermoleophilaceae        -          A0520_LKAP-FHGF1_A09_079 -               20    1265       7    1210       3    1211    1494    +           0 1063.7  22.1  -
Thiotrichaceae            -          A0520_LKAP-FHGF1_A09_079 -               27    1211       7    1210       3    1211    1421    +           0 1057.7  21.4  -
Microbulbiferaceae        -          A0520_LKAP-FHGF1_A09_079 -               27    1205       7    1171       3    1191    1480    +           0 1055.6  21.8  -
Cardiobacteriaceae        -          A0520_LKAP-FHGF1_A09_079 -               35    1256       7    1208       4    1211    1464    +           0 1047.0  21.8  -
Legionellaceae            -          A0520_LKAP-FHGF1_A09_079 -               23    1223       7    1182       3    1203    1446    +           0 1042.1  21.8  -
Coxiellaceae              -          A0520_LKAP-FHGF1_A09_079 -               27    1262       7    1210       4    1211    1475    +           0 1034.0  22.1  -
Granulosicoccaceae        -          A0520_LKAP-FHGF1_A09_079 -               27    1240       7    1194       4    1211    1471    +           0 1023.2  22.1  -
Chromobacteriaceae        -          A0520_LKAP-FHGF1_A09_079 -               26    1246       7    1209       3    1211    1460    +    3.8e-308 1021.2  21.8  -
Nevskiaceae               -          A0520_LKAP-FHGF1_A09_079 -               67    1247      52    1210      32    1211    1470    +    3.1e-306 1015.0  22.1  -
Thiotrichales             -          A0520_LKAP-FHGF1_A09_079 -               47    1232       7    1173       4    1194    1519    +    4.2e-304 1007.4  21.0  -
Rhodanobacteraceae        -          A0520_LKAP-FHGF1_A09_079 -               28    1253       7    1206       3    1211    1473    +    3.3e-303 1004.8  21.8  -
Arenicellaceae            -          A0520_LKAP-FHGF1_A09_079 -               65    1243      52    1205      30    1211    1488    +    1.3e-301  999.6  22.2  -
Rhodocyclaceae            -          A0520_LKAP-FHGF1_A09_079 -               27    1248       7    1206       3    1211    1484    +    2.7e-301  998.4  21.9  -
Rhodospirillaceae         -          A0520_LKAP-FHGF1_A09_079 -               51    1206      45    1210      19    1211    1429    +    1.3e-299  993.0  21.3  -
Salinisphaeraceae         -          A0520_LKAP-FHGF1_A09_079 -               15    1236       7    1208       3    1211    1429    +    3.4e-297  984.9  21.9  -
Neisseriaceae             -          A0520_LKAP-FHGF1_A09_079 -               41    1213       7    1163       3    1184    1477    +    2.5e-296  982.0  22.3  -
Acidiferrobacteraceae     -          A0520_LKAP-FHGF1_A09_079 -               64    1244      53    1210      46    1211    1454    +    5.7e-293  970.9  22.6  -
Burkholderiaceae          -          A0520_LKAP-FHGF1_A09_079 -               27    1243       7    1210       3    1211    1482    +      2e-292  969.1  21.6  -
Hydrogenophilaceae        -          A0520_LKAP-FHGF1_A09_079 -               27    1238       7    1198       3    1211    1461    +    1.2e-291  966.6  21.7  -
Hyphomicrobiaceae         -          A0520_LKAP-FHGF1_A09_079 -               49    1199      45    1210      23    1211    1427    +    1.7e-289  959.4  21.3  -
Wenzhouxiangellaceae      -          A0520_LKAP-FHGF1_A09_079 -               28    1229       8    1182       3    1203    1472    +    4.3e-289  957.8  21.5  -
Desulfovibrionaceae       -          A0520_LKAP-FHGF1_A09_079 -               42    1278       7    1209       4    1211    1527    +    5.8e-289  957.6  21.6  -
Alcaligenaceae            -          A0520_LKAP-FHGF1_A09_079 -               27    1246       7    1210       3    1211    1467    +    1.3e-288  956.4  21.7  -
Desulfobacteraceae        -          A0520_LKAP-FHGF1_A09_079 -               41    1287       8    1210       5    1211    1516    +    1.5e-288  956.1  21.9  -
Methylophilaceae          -          A0520_LKAP-FHGF1_A09_079 -               10    1240       7    1210       3    1211    1431    +    5.5e-288  954.4  21.9  -
Francisellaceae           -          A0520_LKAP-FHGF1_A09_079 -               39    1241       9    1197       4    1210    1508    +    1.4e-287  953.0  22.0  -
Sulfuricellaceae          -          A0520_LKAP-FHGF1_A09_079 -               28    1253       7    1210       3    1211    1463    +    3.7e-287  951.6  22.0  -
Deltaproteobacteria       -          A0520_LKAP-FHGF1_A09_079 -               86    1289      53    1210      28    1211    1514    +    1.4e-286  949.8  21.9  -
Clostridiaceae            -          A0520_LKAP-FHGF1_A09_079 -               41    1248       7    1210       3    1211    1485    +    3.7e-286  948.1  21.7  -
