# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_H06_034_2018_2 -               25     860      13     844       6     844    1492    +           0 1055.1  20.3  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_H06_034_2018_2 -               16     850      14     844       5     844    1485    +           0 1035.7  20.3  -
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_H06_034_2018_2 -               16     850      14     844       6     844    1504    +    2.7e-293  973.9  20.2  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_H06_034_2018_2 -               15     852      13     844       4     844    1507    +    4.9e-288  956.5  20.4  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_H06_034_2018_2 -               15     852      13     844       5     844    1483    +    1.1e-285  948.7  20.3  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               18     854      12     844       3     844    1476    +    1.1e-285  948.7  20.5  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -               33     860      20     844       5     844    1503    +    2.3e-284  944.3  20.0  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_H06_034_2018_2 -               44     869      20     844       4     844    1544    +    1.6e-281  935.0  20.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_H06_034_2018_2 -                6     845      13     844       7     844    1481    +    3.9e-280  930.3  20.1  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_H06_034_2018_2 -               16     851      14     844       4     844    1476    +    1.2e-279  928.8  20.4  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               15     853      12     844       5     844    1495    +    3.3e-278  924.0  20.3  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               16     866      10     844       3     844    1508    +    6.8e-274  909.8  20.5  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               15     852      13     844       6     844    1505    +    1.5e-273  908.3  20.0  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -               15     848      13     844       4     844    1473    +    6.1e-273  906.5  20.2  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_H06_034_2018_2 -               14     837      24     844      12     844    1458    +    1.7e-272  905.2  19.5  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_H06_034_2018_2 -               16     852      14     844       4     844    1479    +    3.7e-270  897.1  20.5  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               33     868      27     844       7     844    1519    +    3.9e-270  897.4  20.1  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               17     848      27     844      14     844    1469    +    1.8e-268  891.8  19.4  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               11     829      24     844      16     844    1439    +      4e-268  890.5  19.4  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_H06_034_2018_2 -               42     883      13     844       6     844    1492    +    5.6e-268  889.9  20.1  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_H06_034_2018_2 -               15     864       9     844       3     844    1482    +      2e-266  885.0  20.5  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_H06_034_2018_2 -                8     844      14     844       6     844    1476    +    3.2e-266  884.3  20.3  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -               22     860      13     844       6     844    1497    +    4.6e-266  883.7  20.4  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_H06_034_2018_2 -               17     859      12     844       4     844    1525    +    8.5e-266  882.8  20.0  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_H06_034_2018_2 -               35     873      13     844       6     844    1547    +    1.7e-265  881.8  20.5  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_H06_034_2018_2 -               24     860      13     844       5     844    1484    +    2.5e-263  874.6  20.0  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               22     857      24     844       6     844    1472    +    1.4e-262  872.3  20.2  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               23     858      27     844       7     844    1470    +    3.6e-262  871.0  20.0  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_H06_034_2018_2 -               33     883      14     844       4     844    1524    +    3.7e-262  870.8  20.1  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               13     864      13     844       5     844    1471    +    1.9e-261  868.6  20.2  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_H06_034_2018_2 -               15     862      13     844       5     844    1472    +      2e-260  865.1  20.2  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_H06_034_2018_2 -               16     861      14     844       4     844    1502    +    5.9e-260  863.5  20.1  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_H06_034_2018_2 -               49     881      25     844       6     844    1520    +    1.8e-258  858.7  20.0  -
