# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          B1h_reverse          -              389    1450    1146      29    1166       8    1475    -    5.8e-276  913.2  22.5  -
Moritellaceae                    -          B1h_reverse          -              398    1474    1144      10    1165       3    1501    -    3.6e-275  910.7  22.8  -
Unclassified_Alteromonadales     -          B1h_reverse          -              380    1439    1145      30    1166      10    1467    -    3.2e-274  907.5  22.4  -
Colwelliaceae                    -          B1h_reverse          -              379    1438    1145      30    1166       9    1465    -    1.3e-264  875.9  22.5  -
Aeromonadaceae                   -          B1h_reverse          -              394    1453    1145      30    1166      10    1496    -    2.5e-264  874.6  22.2  -
Unclassified_Oceanospirillales   -          B1h_reverse          -              379    1438    1145      30    1165      10    1483    -    6.2e-260  860.1  22.6  -
Hafniaceae                       -          B1h_reverse          -              451    1434    1043      29    1089       9    1459    -    2.1e-258  855.2  21.6  -
Spongiibacteraceae               -          B1h_reverse          -              377    1437    1145      29    1166       9    1462    -    3.4e-258  854.4  22.3  -
Alcanivoracaceae                 -          B1h_reverse          -              417    1475    1118      10    1163       3    1504    -    4.1e-257  850.8  22.6  -
Idiomarinaceae                   -          B1h_reverse          -              382    1441    1143      29    1164       9    1466    -    4.2e-257  850.7  22.1  -
Budviciaceae                     -          B1h_reverse          -              370    1429    1145      30    1166      10    1483    -    1.7e-255  845.6  22.9  -
Psychromonadaceae                -          B1h_reverse          -              380    1431    1145      39    1166      19    1467    -    1.2e-252  836.2  21.9  -
Thioalkalispiraceae              -          B1h_reverse          -              384    1463    1163      20    1183       6    1478    -    7.7e-252  833.3  22.8  -
Halieaceae                       -          B1h_reverse          -              380    1440    1145      29    1166       9    1484    -    1.1e-250  829.6  23.1  -
Kangiellaceae                    -          B1h_reverse          -              391    1441    1145      38    1165      15    1479    -    2.8e-247  818.3  21.8  -
Celerinatantimonadaceae          -          B1h_reverse          -              380    1431    1145      46    1166      44    1433    -    3.1e-246  815.0  21.8  -
Litoricolaceae                   -          B1h_reverse          -              386    1444    1145      30    1165      10    1474    -    5.7e-244  807.5  22.5  -
Saccharospirillaceae             -          B1h_reverse          -              373    1426    1145      31    1165      10    1468    -    2.5e-242  801.9  21.2  -
Halothiobacillaceae              -          B1h_reverse          -              386    1457    1163      30    1181      10    1501    -    3.3e-242  801.5  22.9  -
Granulosicoccaceae               -          B1h_reverse          -              380    1442    1145      29    1166       9    1471    -    1.9e-241  799.1  22.8  -
Orbaceae                         -          B1h_reverse          -              500    1479    1016      10    1050       3    1538    -    9.9e-241  796.6  21.3  -
Thermoleophilaceae               -          B1h_reverse          -              379    1441    1142      36    1163      16    1486    -    8.9e-237  783.5  23.5  -
Microbulbiferaceae               -          B1h_reverse          -              446    1432    1048      30    1098      10    1478    -    1.3e-236  783.2  22.4  -
Coxiellaceae                     -          B1h_reverse          -              389    1445    1143      30    1165      10    1473    -    1.6e-236  782.7  22.7  -
Arenicellaceae                   -          B1h_reverse          -              409    1432    1087      30    1144       9    1488    -    3.9e-235  778.2  22.6  -
Succinivibrionaceae              -          B1h_reverse          -              426    1402    1077      45    1138      17    1474    -    4.7e-235  777.8  22.1  -
Wenzhouxiangellaceae             -          B1h_reverse          -              371    1463    1163       9    1183       2    1472    -    1.9e-232  769.1  23.4  -
Thorselliaceae                   -          B1h_reverse          -              421    1405    1049      32    1138      19    1419    -    4.8e-231  764.5  21.7  -
Hydrogenophilaceae               -          B1h_reverse          -              379    1432    1136      33    1163      12    1462    -    4.3e-228  755.0  22.5  -
Desulfohalobiaceae               -          B1h_reverse          -              396    1447    1154      39    1175      10    1510    -    9.4e-228  753.6  21.9  -
Acidiferrobacteraceae            -          B1h_reverse          -              370    1420    1146      40    1166      15    1456    -    2.7e-227  752.2  21.9  -
Nevskiaceae                      -          B1h_reverse          -              374    1449    1146      12    1166       3    1470    -      1e-225  747.2  22.3  -
Sulfuricellaceae                 -          B1h_reverse          -              380    1435    1137      31    1157      11    1462    -    2.1e-225  745.9  21.7  -
Cardiobacteriaceae               -          B1h_reverse          -              373    1432    1163      38    1181      12    1462    -    3.6e-225  745.4  22.0  -
Syntrophaceae                    -          B1h_reverse          -              419    1460    1131      41    1162      21    1556    -    1.6e-222  736.3  22.1  -
Desulfobulbaceae                 -          B1h_reverse          -              427    1450    1095      36    1138      17    1482    -    8.5e-221  730.6  22.8  -
Geobacteraceae                   -          B1h_reverse          -              435    1453    1095      38    1138      18    1485    -    8.1e-220  727.3  22.7  -
Salinisphaeraceae                -          B1h_reverse          -              367    1425    1144      31    1165      26    1432    -      2e-219  726.1  23.5  -
Acidithiobacillaceae             -          B1h_reverse          -              369    1429    1143      32    1163      11    1457    -    4.1e-219  724.9  23.1  -
Unclassified_Deltaproteobacteria -          B1h_reverse          -              446    1467    1082      38    1138      18    1518    -    4.6e-219  725.0  22.9  -
Unclassified_Thiotrichales       -          B1h_reverse          -              465    1454    1050      30    1143      10    1517    -      5e-217  718.0  23.2  -
Nitrosomonadaceae                -          B1h_reverse          -              376    1455    1142      10    1163       3    1463    -    5.5e-217  718.2  22.5  -
Methylothermaceae                -          B1h_reverse          -              473    1463    1048      32    1068      12    1491    -    4.2e-215  711.7  22.4  -
Desulfuromonadaceae              -          B1h_reverse          -              449    1464    1082      38    1126      18    1519    -    5.5e-215  711.4  22.8  -
Desulfomicrobiaceae              -          B1h_reverse          -              391    1454    1146      20    1166       1    1495    -      9e-215  710.7  22.8  -
Azonexaceae                      -          B1h_reverse          -              438    1437    1041      31    1079      10    1474    -    7.9e-214  707.7  22.4  -
Zoogloeaceae                     -          B1h_reverse          -              454    1441    1048      30    1069      10    1474    -    4.6e-213  705.0  21.7  -
Methylophilaceae                 -          B1h_reverse          -              364    1422    1137      30    1157      23    1430    -      1e-211  700.5  21.5  -
Thiobacilliaceae                 -          B1h_reverse          -              457    1448    1056      30    1137      10    1517    -    1.2e-209  693.7  22.0  -
Francisellaceae                  -          B1h_reverse          -              380    1416    1143      53    1164      33    1509    -    1.9e-209  693.0  21.7  -
Sutterellaceae                   -          B1h_reverse          -              397    1427    1118      34    1153      14    1487    -    2.1e-208  689.4  21.7  -
Sporolactobacillaceae            -          B1h_reverse          -              368    1419    1162      58    1182      36    1503    -    5.3e-208  688.2  22.8  -
Thermithiobacillaceae            -          B1h_reverse          -              348    1403    1163      48    1183      32    1419    -    1.3e-207  687.0  23.3  -
Desulfarculaceae                 -          B1h_reverse          -              474    1465    1053      30    1138      10    1516    -    1.5e-207  686.7  22.1  -
Unclassified_Acidobacteria       -          B1h_reverse          -              477    1459    1054      40    1098      20    1505    -      1e-205  681.1  23.2  -
Deferribacteraceae               -          B1h_reverse          -              388    1452    1142      37    1175      16    1514    -    8.5e-205  677.5  24.8  -
Heliobacteriaceae                -          B1h_reverse          -              450    1412    1048      57    1070      36    1502    -    1.4e-202  670.3  21.8  -
Nautiliaceae                     -          B1h_reverse          -              421    1393    1048      46    1069      25    1428    -    5.6e-202  668.5  21.7  -
Aerococcaceae                    -          B1h_reverse          -              374    1424    1162      56    1182      33    1474    -      6e-202  668.2  22.5  -
Spirillaceae                     -          B1h_reverse          -              409    1433    1118      49    1152      34    1447    -    8.4e-202  667.9  20.2  -
Unclassified_Alphaproteobacteria -          B1h_reverse          -              411    1377    1031      37    1067      16    1412    -    3.7e-200  662.6  22.5  -
Hyphomonadaceae                  -          B1h_reverse          -              409    1320    1031      74    1051      53    1399    -    2.6e-199  659.7  20.6  -
Bdellovibrionaceae               -          B1h_reverse          -              427    1399    1041      38    1061      17    1430    -    2.1e-198  656.4  21.6  -
Leptospiraceae                   -          B1h_reverse          -              451    1397    1015      40    1040      23    1433    -    2.3e-197  653.0  20.5  -
Unclassified_Calditrichaeota     -          B1h_reverse          -              430    1429    1095      44    1135      24    1483    -    5.3e-197  652.0  22.7  -
Desulfonatronaceae               -          B1h_reverse          -              390    1406    1143      76    1163      50    1495    -    7.9e-197  651.2  21.1  -
Nannocystaceae                   -          B1h_reverse          -              436    1442    1079      32    1100      20    1487    -    7.4e-196  648.1  23.4  -
