# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_A09_079_2018_2 -               29     999      23     993       7     996    1491    +           0 1170.9  17.5  -
Bacillales                -          LKAP-TSAKG2_A09_079_2018_2 -               36    1013      23     994       9     997    1503    +           0 1135.5  17.6  -
Bacillaceae               -          LKAP-TSAKG2_A09_079_2018_2 -               21    1006      18     994       5     996    1493    +           0 1114.0  17.6  -
Staphylococcaceae         -          LKAP-TSAKG2_A09_079_2018_2 -               31     998      23     993       7     996    1479    +           0 1097.3  17.6  -
Carnobacteriaceae         -          LKAP-TSAKG2_A09_079_2018_2 -               29    1001      23     993       8     996    1496    +           0 1077.5  17.6  -
Enterococcaceae           -          LKAP-TSAKG2_A09_079_2018_2 -               33    1007      26     994       8     996    1498    +           0 1069.6  17.6  -
Aerococcaceae             -          LKAP-TSAKG2_A09_079_2018_2 -               30    1001      24     993       9     996    1473    +           0 1068.5  17.7  -
Listeriaceae              -          LKAP-TSAKG2_A09_079_2018_2 -               20     980      26     989      10     995    1448    +           0 1057.1  17.9  -
Lactobacillaceae          -          LKAP-TSAKG2_A09_079_2018_2 -               32    1025      23     989       8     997    1522    +           0 1052.1  17.8  -
Sporolactobacillaceae     -          LKAP-TSAKG2_A09_079_2018_2 -               30     995      24     993       8     997    1503    +           0 1048.0  17.8  -
Paenibacillaceae          -          LKAP-TSAKG2_A09_079_2018_2 -               30    1004      23     993       7     996    1493    +           0 1035.0  17.5  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_A09_079_2018_2 -               38    1003      24     995       9     997    1495    +    1.2e-306 1016.1  18.2  -
Peptococcaceae            -          LKAP-TSAKG2_A09_079_2018_2 -               40     971      26     989       9     996    1479    +    1.1e-295  979.4  17.9  -
Clostridiaceae            -          LKAP-TSAKG2_A09_079_2018_2 -               45     974      25     989       9     996    1485    +    8.7e-293  969.8  18.0  -
Eubacteriaceae            -          LKAP-TSAKG2_A09_079_2018_2 -               47     986      26     990      14     996    1485    +    1.1e-290  962.9  18.0  -
Leuconostocaceae          -          LKAP-TSAKG2_A09_079_2018_2 -               27     992      25     982       8     996    1479    +    2.3e-289  958.7  17.9  -
Streptococcaceae          -          LKAP-TSAKG2_A09_079_2018_2 -               35    1008      23     993       8     996    1497    +    1.5e-287  952.6  17.7  -
Alicyclobacillaceae       -          LKAP-TSAKG2_A09_079_2018_2 -               49    1005      23     993       9     996    1512    +    1.6e-287  952.8  18.4  -
