# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-GutHK_B04_030   -               24    1006      13     996       2     998    1475    +           0 1075.7  23.5  -
Unclassified_Alteromonadales     -          LKAP-GutHK_B04_030   -               27     997      17     997       2     998    1467    +           0 1065.3  22.9  -
Aeromonadaceae                   -          LKAP-GutHK_B04_030   -               39    1008      17     994       2     998    1496    +           0 1039.8  22.9  -
Hafniaceae                       -          LKAP-GutHK_B04_030   -               14     987       9     993       1     998    1459    +           0 1029.4  23.0  -
Idiomarinaceae                   -          LKAP-GutHK_B04_030   -               26     997      16     996       2     999    1466    +    5.2e-306 1012.5  22.8  -
Budviciaceae                     -          LKAP-GutHK_B04_030   -               59     985      67     995      44     998    1483    +    5.1e-305 1009.4  22.1  -
Colwelliaceae                    -          LKAP-GutHK_B04_030   -               27     994      17     995       2     998    1465    +    4.4e-303 1003.1  22.9  -
Moritellaceae                    -          LKAP-GutHK_B04_030   -               42    1014      17     997       4     998    1501    +    7.9e-301  995.5  22.7  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_B04_030   -               32     995      17     996       2     998    1483    +    1.8e-298  987.6  23.1  -
Thorselliaceae                   -          LKAP-GutHK_B04_030   -               38     959      67     990      43     997    1419    +    3.1e-296  980.2  21.7  -
Psychromonadaceae                -          LKAP-GutHK_B04_030   -               27     993      17     993       2     998    1467    +    7.5e-296  979.1  22.6  -
Alcanivoracaceae                 -          LKAP-GutHK_B04_030   -               49    1016      19     997       2     998    1504    +    9.7e-295  975.2  23.1  -
Halieaceae                       -          LKAP-GutHK_B04_030   -               35     997      17     997       2     998    1484    +      2e-287  951.1  23.3  -
Thioalkalispiraceae              -          LKAP-GutHK_B04_030   -               40    1013      17     996       2     998    1478    +    3.7e-287  950.1  22.8  -
Orbaceae                         -          LKAP-GutHK_B04_030   -               93    1014      68     991      47     998    1538    +    6.5e-286  946.1  21.8  -
Microbulbiferaceae               -          LKAP-GutHK_B04_030   -               27     990      17     997       2     998    1478    +    1.1e-282  935.6  23.0  -
Halothiobacillaceae              -          LKAP-GutHK_B04_030   -               44    1015      17     997       2     998    1501    +    6.1e-281  929.6  23.1  -
Celerinatantimonadaceae          -          LKAP-GutHK_B04_030   -               22    1004      17     997       2     998    1433    +    1.4e-280  928.6  22.8  -
Spongiibacteraceae               -          LKAP-GutHK_B04_030   -               64     993      65     996      43     998    1462    +    5.9e-280  926.2  22.3  -
Saccharospirillaceae             -          LKAP-GutHK_B04_030   -               65     990      64     997      44     998    1468    +    1.8e-279  924.8  22.7  -
Succinivibrionaceae              -          LKAP-GutHK_B04_030   -               31     968      18     991       4     998    1474    +    3.3e-279  923.8  22.3  -
Litoricolaceae                   -          LKAP-GutHK_B04_030   -               35    1003      17     997       3     998    1474    +    1.4e-278  922.0  22.9  -
Kangiellaceae                    -          LKAP-GutHK_B04_030   -               36    1009      17     997       2     998    1479    +    1.6e-278  921.6  22.8  -
Thermoleophilaceae               -          LKAP-GutHK_B04_030   -               20     994      17     996       2     999    1486    +    4.1e-275  910.3  22.9  -
Cardiobacteriaceae               -          LKAP-GutHK_B04_030   -               35     998      17     996       1     998    1462    +    6.5e-271  896.7  23.2  -
Nevskiaceae                      -          LKAP-GutHK_B04_030   -               64     985      67     991      43     998    1470    +    4.9e-268  887.2  22.2  -
Coxiellaceae                     -          LKAP-GutHK_B04_030   -               27     997      17     991       1     998    1473    +    1.9e-265  878.3  23.3  -
Arenicellaceae                   -          LKAP-GutHK_B04_030   -               63     984      68     990      46     998    1488    +    1.7e-264  875.2  21.8  -
