# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          B1h_reverse          -              381    1442    1146      29    1166       9    1483    -    5.3e-304 1007.3  22.3  -
Vibrionaceae              -          B1h_reverse          -              390    1465    1145      11    1166       3    1474    -    4.7e-275  911.3  22.4  -
Moritellaceae             -          B1h_reverse          -              398    1474    1144      10    1165       3    1501    -    2.1e-274  909.1  22.8  -
Ferrimonadaceae           -          B1h_reverse          -              389    1450    1146      29    1166       8    1475    -    2.3e-274  908.9  22.5  -
Alteromonadales           -          B1h_reverse          -              380    1440    1145      30    1166      10    1468    -    7.8e-273  903.7  22.4  -
Gammaproteobacteria       -          B1h_reverse          -              379    1452    1145      14    1165       3    1481    -    2.1e-272  902.4  22.8  -
Alteromonadaceae          -          B1h_reverse          -              379    1453    1145      12    1165       3    1468    -    3.9e-271  898.3  22.3  -
Pseudoalteromonadaceae    -          B1h_reverse          -              376    1436    1145      29    1166       9    1469    -    3.3e-265  878.7  22.2  -
Oceanospirillaceae        -          B1h_reverse          -              382    1441    1144      30    1165       9    1467    -    2.1e-264  876.0  22.2  -
Colwelliaceae             -          B1h_reverse          -              381    1440    1145      30    1166       9    1467    -      3e-264  875.7  22.5  -
Pectobacteriaceae         -          B1h_reverse          -              377    1437    1145      29    1166       9    1477    -    1.1e-263  873.7  22.4  -
Yersiniaceae              -          B1h_reverse          -              381    1439    1144      30    1166      10    1473    -    1.1e-262  870.3  22.6  -
Aeromonadaceae            -          B1h_reverse          -              394    1453    1145      30    1166      10    1496    -    1.3e-262  869.9  22.2  -
Chromatiaceae             -          B1h_reverse          -              368    1446    1145      10    1166       3    1455    -    3.9e-261  865.3  22.7  -
Morganellaceae            -          B1h_reverse          -              455    1442    1049      30    1107      10    1487    -    5.1e-261  865.0  22.1  -
Oceanospirillales         -          B1h_reverse          -              384    1444    1145      30    1165      10    1489    -    9.5e-259  857.2  22.5  -
Cellvibrionaceae          -          B1h_reverse          -              378    1438    1145      30    1165      10    1472    -      1e-258  857.2  22.5  -
Hahellaceae               -          B1h_reverse          -              377    1437    1146      30    1166      10    1473    -    3.4e-258  855.6  22.6  -
Spongiibacteraceae        -          B1h_reverse          -              377    1437    1145      29    1166       9    1462    -    1.9e-257  852.9  22.3  -
Hafniaceae                -          B1h_reverse          -              451    1433    1043      30    1090      10    1459    -    5.6e-257  851.4  21.5  -
Erwiniaceae               -          B1h_reverse          -              448    1434    1048      29    1089       9    1483    -    6.4e-257  851.4  21.9  -
Enterobacteriaceae        -          B1h_reverse          -              457    1439    1043      29    1076       9    1465    -    1.1e-256  850.5  21.5  -
Methylococcaceae          -          B1h_reverse          -              386    1446    1145      30    1166      10    1481    -    1.3e-256  850.2  22.9  -
Idiomarinaceae            -          B1h_reverse          -              382    1456    1143      12    1165       3    1466    -    8.1e-256  847.4  22.2  -
Alcanivoracaceae          -          B1h_reverse          -              417    1458    1118      29    1163       8    1504    -    4.2e-255  845.1  22.2  -
Budviciaceae              -          B1h_reverse          -              370    1429    1145      30    1166      10    1483    -    4.5e-255  845.1  22.9  -
Piscirickettsiaceae       -          B1h_reverse          -              381    1441    1146      29    1166       9    1466    -      2e-252  836.3  22.9  -
Halomonadaceae            -          B1h_reverse          -              464    1436    1031      30    1068       9    1466    -    7.2e-252  834.5  22.2  -
Thioalkalispiraceae       -          B1h_reverse          -              385    1472    1163      13    1183       7    1479    -    8.3e-252  834.3  23.0  -
Psychromonadaceae         -          B1h_reverse          -              380    1431    1145      39    1166      19    1467    -    1.4e-251  833.6  21.9  -
Pseudomonadaceae          -          B1h_reverse          -              385    1442    1144      31    1165      10    1491    -    1.6e-251  833.3  22.3  -
Thiotrichaceae            -          B1h_reverse          -              359    1395    1146      30    1166      10    1421    -      4e-251  832.0  21.5  -
Halieaceae                -          B1h_reverse          -              380    1440    1145      29    1166       9    1484    -    1.8e-250  829.9  23.0  -
Ectothiorhodospiraceae    -          B1h_reverse          -              382    1443    1146      30    1166      10    1463    -    1.9e-249  826.7  23.6  -
Lysobacteraceae           -          B1h_reverse          -              383    1453    1143      17    1163       3    1484    -    3.1e-246  815.9  22.6  -
Kangiellaceae             -          B1h_reverse          -              391    1433    1145      47    1165      26    1479    -    7.7e-246  814.5  21.4  -
Celerinatantimonadaceae   -          B1h_reverse          -              380    1431    1145      46    1166      44    1433    -    3.3e-245  812.6  21.3  -
Moraxellaceae             -          B1h_reverse          -              390    1442    1118      16    1163       3    1468    -    1.2e-244  810.8  22.5  -
Litoricolaceae            -          B1h_reverse          -              386    1444    1145      30    1165      10    1474    -    1.2e-243  807.4  22.5  -
Pasteurellaceae           -          B1h_reverse          -              435    1418    1073      53    1163      49    1422    -    4.9e-243  805.3  21.0  -
Granulosicoccaceae        -          B1h_reverse          -              380    1442    1145      29    1166       9    1471    -    2.6e-241  799.7  22.8  -
Saccharospirillaceae      -          B1h_reverse          -              374    1414    1144      49    1165      28    1468    -    2.9e-241  799.4  21.6  -
Halothiobacillaceae       -          B1h_reverse          -              386    1457    1163      30    1181      10    1500    -    3.7e-241  799.1  23.0  -
Orbaceae                  -          B1h_reverse          -              502    1480    1015      10    1036       3    1539    -    5.7e-240  795.1  21.3  -
Thermoleophilaceae        -          B1h_reverse          -              382    1451    1142      33    1163      12    1494    -    2.6e-237  786.2  23.4  -
Chromobacteriaceae        -          B1h_reverse          -              372    1431    1146      30    1166      10    1460    -    1.1e-236  784.4  22.8  -
Microbulbiferaceae        -          B1h_reverse          -              446    1432    1048      30    1099      10    1480    -    1.1e-235  781.1  22.4  -
Coxiellaceae              -          B1h_reverse          -              390    1447    1143      30    1165      10    1475    -    1.3e-235  780.8  22.8  -
Arenicellaceae            -          B1h_reverse          -              409    1432    1087      30    1144       9    1488    -    7.4e-235  778.3  22.6  -
Succinivibrionaceae       -          B1h_reverse          -              396    1415    1118      32    1163      11    1473    -    9.3e-235  777.8  22.4  -
Wenzhouxiangellaceae      -          B1h_reverse          -              371    1463    1163       9    1183       2    1472    -    7.7e-232  768.1  23.4  -
Hydrogenophilaceae        -          B1h_reverse          -              379    1431    1136      33    1163      12    1461    -    8.8e-231  764.9  22.5  -
Thorselliaceae            -          B1h_reverse          -              421    1404    1049      33    1138      21    1419    -    2.5e-230  763.1  21.7  -
Legionellaceae            -          B1h_reverse          -              375    1436    1146      31    1166      20    1446    -    9.8e-229  758.0  23.2  -
Rhodocyclaceae            -          B1h_reverse          -              380    1436    1137      30    1157      10    1484    -      3e-228  756.3  22.1  -
Acidiferrobacteraceae     -          B1h_reverse          -              370    1418    1146      40    1166      15    1454    -    3.6e-227  752.8  21.8  -
Desulfohalobiaceae        -          B1h_reverse          -              395    1444    1154      41    1175      13    1509    -    6.4e-227  751.9  22.0  -
Desulfobacteraceae        -          B1h_reverse          -              447    1465    1094      37    1136      17    1516    -    1.4e-226  750.7  22.6  -
Rhodanobacteraceae        -          B1h_reverse          -              381    1439    1145      33    1166      12    1473    -    4.7e-226  749.1  23.2  -
Neisseriaceae             -          B1h_reverse          -              393    1450    1146      31    1166      10    1477    -    5.1e-226  749.0  22.3  -
Nevskiaceae               -          B1h_reverse          -              374    1449    1146      12    1166       3    1470    -    3.2e-225  746.5  22.3  -
Sulfuricellaceae          -          B1h_reverse          -              381    1436    1137      31    1157      11    1463    -    7.7e-225  745.0  21.7  -
Desulfovibrionaceae       -          B1h_reverse          -              390    1418    1157      76    1177      48    1527    -    3.9e-224  742.7  21.5  -
Cardiobacteriaceae        -          B1h_reverse          -              375    1422    1163      51    1182      29    1464    -    5.1e-224  742.6  21.6  -
Burkholderiaceae          -          B1h_reverse          -              373    1427    1146      30    1166      10    1482    -    2.6e-222  736.7  22.4  -
Syntrophaceae             -          B1h_reverse          -              418    1462    1132      39    1163      19    1551    -    4.8e-221  732.4  22.4  -
Geobacteraceae            -          B1h_reverse          -              435    1452    1095      39    1138      19    1487    -    2.1e-220  730.2  22.7  -
Desulfobulbaceae          -          B1h_reverse          -              429    1450    1095      38    1138      19    1483    -    2.1e-220  730.2  22.7  -
Alcaligenaceae            -          B1h_reverse          -              396    1430    1118      30    1138      10    1467    -    2.8e-220  730.0  22.4  -
Clostridiaceae            -          B1h_reverse          -              440    1418    1049      45    1070      25    1485    -    3.1e-220  729.6  22.4  -
Salinisphaeraceae         -          B1h_reverse          -              365    1422    1144      31    1165      26    1429    -    2.4e-219  726.9  23.6  -
Clostridiales             -          B1h_reverse          -              388    1423    1157      43    1178      23    1470    -    2.8e-219  726.5  22.9  -
Eubacteriaceae            -          B1h_reverse          -              405    1417    1142      54    1163      32    1485    -    3.7e-219  726.1  21.4  -
Deltaproteobacteria       -          B1h_reverse          -              447    1466    1081      38    1104      20    1514    -      4e-219  726.1  23.4  -
Acidithiobacillaceae      -          B1h_reverse          -              369    1429    1143      32    1163      11    1457    -      8e-219  724.9  23.1  -
