# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_H07_049   -               27     992      17     974       2     984    1474    +           0 1198.7  21.9  -
Alteromonadales           -          LKAP-GutHK_H07_049   -               27     980      17     971       2     981    1468    +           0 1068.4  21.7  -
Enterobacteriaceae        -          LKAP-GutHK_H07_049   -               27     981      17     973       2     983    1465    +           0 1064.2  21.9  -
Ferrimonadaceae           -          LKAP-GutHK_H07_049   -               14     991       8     973       2     983    1475    +           0 1063.4  22.0  -
Shewanellaceae            -          LKAP-GutHK_H07_049   -               27     983      17     973       2     983    1483    +           0 1060.3  21.6  -
Erwiniaceae               -          LKAP-GutHK_H07_049   -               22     977      17     974       2     983    1483    +           0 1054.6  21.8  -
Aeromonadaceae            -          LKAP-GutHK_H07_049   -               39     996      17     974       2     983    1496    +           0 1052.0  21.8  -
Pectobacteriaceae         -          LKAP-GutHK_H07_049   -               24     979      17     974       2     984    1477    +           0 1045.4  21.9  -
Gammaproteobacteria       -          LKAP-GutHK_H07_049   -               27     980      17     973       1     982    1481    +           0 1045.2  21.6  -
Hafniaceae                -          LKAP-GutHK_H07_049   -               20     976      16     974       1     984    1459    +           0 1045.2  22.1  -
Yersiniaceae              -          LKAP-GutHK_H07_049   -               27     981      17     973       2     983    1473    +           0 1043.4  21.9  -
Alteromonadaceae          -          LKAP-GutHK_H07_049   -               27     978      17     971       1     980    1468    +           0 1040.8  22.1  -
Morganellaceae            -          LKAP-GutHK_H07_049   -               30     985      17     974       2     984    1487    +           0 1039.6  21.8  -
Pseudoalteromonadaceae    -          LKAP-GutHK_H07_049   -               27     975      17     971       2     981    1469    +           0 1038.2  20.9  -
Oceanospirillaceae        -          LKAP-GutHK_H07_049   -               27     982      17     973       2     983    1467    +    1.5e-305 1012.1  21.7  -
Budviciaceae              -          LKAP-GutHK_H07_049   -               17     973      17     975       4     983    1483    +    1.1e-304 1009.2  21.9  -
Colwelliaceae             -          LKAP-GutHK_H07_049   -               27     982      17     973       2     982    1467    +    7.5e-304 1006.6  21.7  -
Idiomarinaceae            -          LKAP-GutHK_H07_049   -               20     981      10     972       1     981    1466    +    7.3e-303 1003.1  22.0  -
Psychromonadaceae         -          LKAP-GutHK_H07_049   -               27     981      17     973       2     982    1467    +    4.4e-302 1000.7  21.6  -
Moritellaceae             -          LKAP-GutHK_H07_049   -               42     997      17     972       2     983    1501    +    1.9e-300  995.1  21.7  -
