# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-GutHK_C04_028   -               16    1025      10    1019       1    1019    1475    +           0 1106.7  27.2  -
Aeromonadaceae                   -          LKAP-GutHK_C04_028   -               27    1025       9    1015       1    1019    1496    +           0 1080.7  26.6  -
Hafniaceae                       -          LKAP-GutHK_C04_028   -               16    1009      13    1019       1    1019    1459    +           0 1076.9  26.5  -
Unclassified_Alteromonadales     -          LKAP-GutHK_C04_028   -               22    1015      13    1019       1    1019    1467    +           0 1076.2  26.1  -
Budviciaceae                     -          LKAP-GutHK_C04_028   -               13    1005      14    1019       1    1019    1483    +           0 1069.8  25.7  -
Colwelliaceae                    -          LKAP-GutHK_C04_028   -               15    1013       9    1018       1    1019    1465    +           0 1033.5  26.3  -
Moritellaceae                    -          LKAP-GutHK_C04_028   -               38    1032      14    1019       1    1019    1501    +           0 1030.2  26.0  -
Idiomarinaceae                   -          LKAP-GutHK_C04_028   -               22    1016      13    1019       1    1019    1466    +           0 1028.0  26.3  -
Psychromonadaceae                -          LKAP-GutHK_C04_028   -               16    1015      10    1019       1    1019    1467    +      9e-305 1008.7  26.0  -
Thorselliaceae                   -          LKAP-GutHK_C04_028   -                1     984      19    1019      19    1019    1419    +    3.5e-302 1000.0  25.8  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_C04_028   -               19    1013       8    1018       1    1019    1483    +    7.7e-302  998.7  26.8  -
Orbaceae                         -          LKAP-GutHK_C04_028   -               41    1038       8    1019       1    1019    1538    +    8.7e-295  975.5  26.5  -
Alcanivoracaceae                 -          LKAP-GutHK_C04_028   -               43    1032      14    1017       1    1019    1504    +    1.1e-290  961.9  26.6  -
Succinivibrionaceae              -          LKAP-GutHK_C04_028   -               26     990      14    1017       1    1019    1474    +      7e-288  952.6  26.7  -
