# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillaceae_Salipaludibacillus                   -          LKAP-GUTHK2_H08_050_2017_1 -                7    1160      15    1150      11    1152    1480    +           0 1066.3  21.2  -
Bacillaceae_Alteribacillus                       -          LKAP-GUTHK2_H08_050_2017_1 -                3    1150      22    1150      20    1152    1440    +           0 1066.3  21.5  -
Bacillaceae_Alkalicoccus                         -          LKAP-GUTHK2_H08_050_2017_1 -               48    1205      19    1150       2    1152    1558    +           0 1063.3  22.6  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_H08_050_2017_1 -               26    1177      16    1150       1    1152    1519    +           0 1049.1  22.7  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_H08_050_2017_1 -               22    1175      12    1150       1    1152    1508    +           0 1035.0  22.8  -
Bacillaceae_Alkalibacillus                       -          LKAP-GUTHK2_H08_050_2017_1 -               16    1166      15    1150       2    1152    1492    +           0 1033.8  22.3  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_H08_050_2017_1 -               35    1184      18    1150       1    1152    1506    +           0 1030.9  22.7  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_H08_050_2017_1 -               15    1167      15    1150       2    1152    1470    +           0 1029.0  22.6  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_H08_050_2017_1 -               22    1173      12    1150       1    1152    1482    +           0 1025.9  22.7  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_H08_050_2017_1 -               24    1177      12    1150       1    1152    1511    +    7.6e-308 1022.8  23.0  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_H08_050_2017_1 -               12    1157      19    1150      11    1152    1469    +    9.6e-308 1022.4  21.2  -
Bacillaceae_Salibacterium                        -          LKAP-GUTHK2_H08_050_2017_1 -                2    1159      10    1150       9    1152    1485    +    2.9e-307 1020.8  21.7  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_H08_050_2017_1 -               48    1192      19    1150       2    1152    1553    +    3.3e-307 1020.7  22.2  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_H08_050_2017_1 -               45    1192      19    1150       1    1152    1524    +    4.9e-307 1020.0  22.4  -
Bacillaceae_Salimicrobium                        -          LKAP-GUTHK2_H08_050_2017_1 -               28    1178      19    1150       2    1152    1500    +    7.4e-307 1019.5  22.2  -
Bacillaceae_Halobacillus                         -          LKAP-GUTHK2_H08_050_2017_1 -               28    1177      19    1150       1    1152    1520    +    1.8e-306 1018.1  22.7  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_H08_050_2017_1 -               26    1179      16    1150       2    1152    1490    +    6.5e-306 1016.3  22.4  -
Bacillaceae_Salsuginibacillus                    -          LKAP-GUTHK2_H08_050_2017_1 -               52    1202      19    1150       2    1152    1505    +      1e-305 1015.7  22.3  -
Bacillaceae_Salisediminibacterium                -          LKAP-GUTHK2_H08_050_2017_1 -                2    1154      17    1150      16    1152    1449    +    1.4e-305 1015.3  21.4  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_H08_050_2017_1 -               10    1159      20    1150      13    1152    1478    +    2.3e-305 1014.5  21.2  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_H08_050_2017_1 -               26    1163      16    1150       1    1152    1507    +    6.7e-305 1012.8  21.3  -
