# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Aeromonadaceae                   -          B1h_forward          -               16     707       5     691       2     698    1496    +    1.1e-194  643.4  25.9  -
Unclassified_Alteromonadales     -          B1h_forward          -                4     693       5     691       3     694    1467    +    2.1e-181  599.5  26.2  -
Ferrimonadaceae                  -          B1h_forward          -                4     703       5     691       3     695    1475    +    2.4e-181  599.2  26.2  -
Moritellaceae                    -          B1h_forward          -               19     710       5     691       2     694    1501    +      4e-176  582.0  26.2  -
Unclassified_Oceanospirillales   -          B1h_forward          -                9     692       5     691       2     694    1483    +    5.7e-173  571.5  25.5  -
Idiomarinaceae                   -          B1h_forward          -                5     693       6     691       3     693    1466    +    1.9e-169  559.8  26.1  -
Colwelliaceae                    -          B1h_forward          -                4     691       5     690       3     710    1465    +    2.5e-168  556.4  25.4  -
Halieaceae                       -          B1h_forward          -               12     693       5     691       2     693    1484    +    7.4e-167  551.4  25.7  -
Alcanivoracaceae                 -          B1h_forward          -               24     711       5     691       2     694    1504    +    8.9e-166  547.7  25.9  -
Psychromonadaceae                -          B1h_forward          -                4     693       5     691       3     694    1467    +    2.3e-165  546.6  26.2  -
Spongiibacteraceae               -          B1h_forward          -                7     690       5     691       3     693    1462    +      1e-164  544.2  25.6  -
Budviciaceae                     -          B1h_forward          -                1     683      12     691      12     711    1483    +      2e-164  543.3  25.3  -
Thioalkalispiraceae              -          B1h_forward          -               16     708       5     691       2     693    1478    +    2.5e-164  542.9  26.1  -
Litoricolaceae                   -          B1h_forward          -               12     699       5     691       3     693    1474    +    8.2e-164  541.5  26.1  -
Succinivibrionaceae              -          B1h_forward          -                7     673       5     691       3     711    1474    +    2.2e-163  539.9  25.4  -
Microbulbiferaceae               -          B1h_forward          -                4     685       5     690       3     693    1478    +    1.3e-162  537.5  25.5  -
Hafniaceae                       -          B1h_forward          -                1     687       8     691       8     694    1459    +    7.3e-162  534.8  26.0  -
Granulosicoccaceae               -          B1h_forward          -                4     692       5     690       3     693    1471    +    1.5e-157  520.7  26.2  -
Halothiobacillaceae              -          B1h_forward          -               21     710       5     691       2     694    1501    +    2.2e-155  513.3  26.0  -
Orbaceae                         -          B1h_forward          -               31     716       5     691       3     694    1538    +    3.2e-154  509.4  25.2  -
Celerinatantimonadaceae          -          B1h_forward          -                2     698       8     691       7     695    1433    +    1.2e-153  507.8  25.7  -
Cardiobacteriaceae               -          B1h_forward          -               12     696       5     691       2     693    1462    +    4.7e-151  499.4  26.3  -
Saccharospirillaceae             -          B1h_forward          -                5     686       5     691       3     693    1468    +    4.2e-150  495.9  26.1  -
Sulfuricellaceae                 -          B1h_forward          -                4     689       5     691       2     696    1462    +    6.9e-150  495.2  25.5  -
Thermoleophilaceae               -          B1h_forward          -                2     689      10     691       9     695    1486    +    9.7e-150  494.6  25.0  -
Kangiellaceae                    -          B1h_forward          -               13     703       5     690       3     693    1479    +    4.2e-149  492.5  26.0  -
Acidiferrobacteraceae            -          B1h_forward          -                4     683       5     691       3     693    1456    +    1.1e-148  491.3  25.3  -
