# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          B2c_forward          -               77    1013      70    1010      50    1034    1491    +           0 1084.9  19.2  -
Oceanospirillaceae        -          B2c_forward          -               72    1015      69    1015      49    1035    1467    +    4.1e-303 1004.2  18.6  -
Cellvibrionaceae          -          B2c_forward          -               72    1013      70    1015      49    1035    1472    +    3.4e-302 1001.3  19.2  -
Thermoleophilaceae        -          B2c_forward          -               63    1008      71    1007      51    1035    1494    +    2.8e-300  994.9  18.9  -
Alcanivoracaceae          -          B2c_forward          -               91    1028      69    1010      49    1033    1504    +    1.4e-298  989.1  19.1  -
Microbulbiferaceae        -          B2c_forward          -               67    1004      70    1012      50    1035    1480    +    2.4e-298  988.7  19.1  -
Gammaproteobacteria       -          B2c_forward          -               72    1008      69    1010      49    1032    1481    +    2.6e-298  988.2  19.1  -
Alteromonadaceae          -          B2c_forward          -               70    1012      67    1014      45    1035    1468    +    8.4e-296  980.0  19.7  -
Oceanospirillales         -          B2c_forward          -               77    1019      69    1015      49    1035    1489    +    1.9e-294  975.4  19.4  -
Hahellaceae               -          B2c_forward          -               71    1009      69    1012      49    1035    1473    +    2.5e-293  971.9  19.5  -
Methylococcaceae          -          B2c_forward          -               79    1021      69    1015      48    1035    1481    +    1.2e-292  969.6  19.6  -
Halomonadaceae            -          B2c_forward          -               71    1017      69    1020      49    1041    1466    +      1e-289  959.8  19.2  -
Spongiibacteraceae        -          B2c_forward          -               70    1009      69    1013      49    1035    1462    +      2e-289  958.8  19.3  -
Thioalkalispiraceae       -          B2c_forward          -               88    1025      70    1008      50    1028    1479    +      9e-287  950.1  18.8  -
Halieaceae                -          B2c_forward          -               74    1014      70    1015      50    1035    1484    +    6.4e-286  947.3  19.2  -
Ectothiorhodospiraceae    -          B2c_forward          -               76    1013      69    1008      48    1028    1463    +    2.9e-285  945.3  19.6  -
Litoricolaceae            -          B2c_forward          -               79    1013      69    1008      49    1028    1474    +    3.3e-285  945.1  18.6  -
Alteromonadales           -          B2c_forward          -               74    1019      70    1020      51    1041    1468    +    3.9e-283  937.8  18.7  -
Moraxellaceae             -          B2c_forward          -               67    1008      71    1019      51    1041    1468    +    4.1e-283  938.2  19.5  -
Lysobacteraceae           -          B2c_forward          -               76    1009      71    1008      49    1034    1484    +    6.7e-282  934.1  19.4  -
Chromatiaceae             -          B2c_forward          -               64     999      69    1011      48    1033    1455    +    2.6e-281  932.1  19.5  -
Saccharospirillaceae      -          B2c_forward          -               72    1003      69    1011      49    1035    1468    +    1.4e-278  923.0  18.2  -
Piscirickettsiaceae       -          B2c_forward          -               75    1011      71    1009      51    1031    1466    +    3.8e-278  921.5  18.6  -
