# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          B0606_LKAP-FHGF1_B03_029 -               24    1045       5    1016       2    1016    1474    +           0 1203.2  20.5  -
Enterobacteriaceae        -          B0606_LKAP-FHGF1_B03_029 -               23    1035       4    1016       2    1016    1465    +           0 1075.4  20.3  -
Yersiniaceae              -          B0606_LKAP-FHGF1_B03_029 -               24    1035       5    1016       1    1016    1473    +           0 1071.4  20.5  -
Erwiniaceae               -          B0606_LKAP-FHGF1_B03_029 -               19    1030       5    1016       2    1016    1483    +           0 1067.4  20.3  -
Alteromonadales           -          B0606_LKAP-FHGF1_B03_029 -               24    1036       5    1016       2    1016    1468    +           0 1066.3  20.1  -
Aeromonadaceae            -          B0606_LKAP-FHGF1_B03_029 -               36    1049       5    1016       2    1016    1496    +           0 1065.0  20.2  -
Pectobacteriaceae         -          B0606_LKAP-FHGF1_B03_029 -               21    1032       5    1016       2    1016    1477    +           0 1060.4  20.6  -
Gammaproteobacteria       -          B0606_LKAP-FHGF1_B03_029 -               23    1034       4    1016       2    1016    1481    +           0 1052.1  20.1  -
Hafniaceae                -          B0606_LKAP-FHGF1_B03_029 -               18    1029       5    1016       2    1016    1459    +           0 1051.7  20.3  -
Ferrimonadaceae           -          B0606_LKAP-FHGF1_B03_029 -               24    1045       5    1016       1    1016    1475    +           0 1049.8  20.2  -
Shewanellaceae            -          B0606_LKAP-FHGF1_B03_029 -               23    1037       4    1016       1    1016    1483    +           0 1046.2  20.4  -
Morganellaceae            -          B0606_LKAP-FHGF1_B03_029 -               27    1038       5    1016       2    1016    1487    +           0 1043.6  20.5  -
Alteromonadaceae          -          B0606_LKAP-FHGF1_B03_029 -               24    1034       5    1016       2    1016    1468    +           0 1037.7  20.2  -
Pseudoalteromonadaceae    -          B0606_LKAP-FHGF1_B03_029 -               23    1031       4    1016       1    1016    1469    +           0 1036.6  19.4  -
Idiomarinaceae            -          B0606_LKAP-FHGF1_B03_029 -               23    1036       4    1016       2    1016    1466    +           0 1031.3  20.0  -
Budviciaceae              -          B0606_LKAP-FHGF1_B03_029 -               14    1025       5    1016       2    1016    1483    +           0 1030.3  20.6  -
Oceanospirillaceae        -          B0606_LKAP-FHGF1_B03_029 -               24    1036       5    1016       2    1016    1467    +    1.5e-305 1012.1  20.0  -
Psychromonadaceae         -          B0606_LKAP-FHGF1_B03_029 -               24    1035       5    1016       2    1016    1467    +    4.2e-303 1004.2  20.2  -
Colwelliaceae             -          B0606_LKAP-FHGF1_B03_029 -               24    1036       5    1016       2    1016    1467    +    4.8e-303 1004.0  20.1  -
Moritellaceae             -          B0606_LKAP-FHGF1_B03_029 -               39    1052       5    1016       2    1016    1501    +    9.2e-303 1002.9  20.2  -
Chromatiaceae             -          B0606_LKAP-FHGF1_B03_029 -               24    1024       5    1016       2    1016    1455    +    5.4e-301  997.2  20.0  -
Thorselliaceae            -          B0606_LKAP-FHGF1_B03_029 -                1    1004       9    1016       9    1016    1419    +    1.2e-300  995.9  21.1  -
Oceanospirillales         -          B0606_LKAP-FHGF1_B03_029 -               30    1040       5    1016       1    1016    1489    +    6.5e-296  980.1  20.2  -
Cellvibrionaceae          -          B0606_LKAP-FHGF1_B03_029 -               23    1034       4    1016       2    1016    1472    +    8.1e-295  976.6  19.9  -
Pasteurellaceae           -          B0606_LKAP-FHGF1_B03_029 -               24    1036       5    1016       2    1016    1422    +    8.3e-295  976.6  20.1  -
Piscirickettsiaceae       -          B0606_LKAP-FHGF1_B03_029 -               26    1038       5    1016       2    1016    1466    +      9e-295  976.4  20.0  -
Pseudomonadaceae          -          B0606_LKAP-FHGF1_B03_029 -               30    1039       4    1016       2    1016    1491    +    3.1e-293  971.4  19.6  -
Alcanivoracaceae          -          B0606_LKAP-FHGF1_B03_029 -               44    1054       5    1016       1    1016    1504    +    2.4e-291  965.0  19.9  -
Orbaceae                  -          B0606_LKAP-FHGF1_B03_029 -               51    1059       5    1016       2    1016    1539    +    1.8e-290  962.2  20.3  -
Methylococcaceae          -          B0606_LKAP-FHGF1_B03_029 -               38    1042       5    1016       2    1016    1481    +      2e-290  962.0  20.0  -
Lysobacteraceae           -          B0606_LKAP-FHGF1_B03_029 -               25    1037       5    1016       1    1016    1484    +    4.6e-288  954.3  20.4  -
Halothiobacillaceae       -          B0606_LKAP-FHGF1_B03_029 -               41    1053       5    1016       1    1016    1500    +    2.4e-287  951.9  20.2  -
Succinivibrionaceae       -          B0606_LKAP-FHGF1_B03_029 -               27    1012       5    1016       2    1016    1473    +    1.2e-285  946.2  20.1  -
Celerinatantimonadaceae   -          B0606_LKAP-FHGF1_B03_029 -               19    1042       5    1016       2    1016    1433    +    6.7e-285  943.8  20.3  -
Moraxellaceae             -          B0606_LKAP-FHGF1_B03_029 -               20    1026       4    1016       1    1016    1468    +    2.4e-284  942.1  20.2  -
Halomonadaceae            -          B0606_LKAP-FHGF1_B03_029 -               23    1034       4    1016       1    1016    1466    +    7.3e-283  936.9  20.2  -
Ectothiorhodospiraceae    -          B0606_LKAP-FHGF1_B03_029 -               31    1041       5    1016       2    1016    1463    +    1.8e-282  935.8  20.3  -
Halieaceae                -          B0606_LKAP-FHGF1_B03_029 -               32    1035       5    1016       2    1016    1484    +    4.9e-282  934.2  20.0  -
Thioalkalispiraceae       -          B0606_LKAP-FHGF1_B03_029 -               36    1053       5    1016       2    1016    1479    +    7.1e-282  933.7  20.2  -
Hahellaceae               -          B0606_LKAP-FHGF1_B03_029 -               24    1033       5    1016       1    1016    1473    +    8.6e-282  933.5  20.4  -
Kangiellaceae             -          B0606_LKAP-FHGF1_B03_029 -               33    1047       5    1016       2    1016    1479    +    2.1e-280  928.8  20.1  -
Thermoleophilaceae        -          B0606_LKAP-FHGF1_B03_029 -               17    1037       5    1016       2    1016    1494    +    3.2e-278  921.6  19.9  -
Spongiibacteraceae        -          B0606_LKAP-FHGF1_B03_029 -               26    1032       4    1016       1    1016    1462    +      2e-277  918.9  19.8  -
Microbulbiferaceae        -          B0606_LKAP-FHGF1_B03_029 -               24    1028       5    1016       1    1016    1480    +    3.2e-277  918.5  19.9  -
Saccharospirillaceae      -          B0606_LKAP-FHGF1_B03_029 -               24    1028       4    1016       1    1016    1468    +    1.1e-276  916.6  19.7  -
Litoricolaceae            -          B0606_LKAP-FHGF1_B03_029 -               31    1041       4    1016       2    1016    1474    +    2.1e-275  912.4  20.3  -
Rhodanobacteraceae        -          B0606_LKAP-FHGF1_B03_029 -               24    1037       4    1016       1    1016    1473    +    6.4e-274  907.5  20.4  -
Chromobacteriaceae        -          B0606_LKAP-FHGF1_B03_029 -               21    1029       3    1016       1    1016    1460    +    2.1e-273  905.8  20.1  -
Thiotrichaceae            -          B0606_LKAP-FHGF1_B03_029 -               24     991       5    1016       2    1016    1421    +    2.2e-272  902.3  18.7  -
Legionellaceae            -          B0606_LKAP-FHGF1_B03_029 -               19    1033       4    1016       2    1016    1446    +      2e-271  899.2  20.4  -
Nevskiaceae               -          B0606_LKAP-FHGF1_B03_029 -               33    1029       5    1016       2    1016    1470    +    7.2e-271  897.5  19.7  -
Cardiobacteriaceae        -          B0606_LKAP-FHGF1_B03_029 -               32    1039       5    1016       2    1016    1464    +    1.6e-270  896.5  19.9  -
Neisseriaceae             -          B0606_LKAP-FHGF1_B03_029 -               36    1049       3    1016       1    1016    1477    +    3.6e-268  888.4  20.1  -
Rhodocyclaceae            -          B0606_LKAP-FHGF1_B03_029 -               22    1034       3    1016       1    1016    1484    +    1.1e-267  886.8  20.3  -
Coxiellaceae              -          B0606_LKAP-FHGF1_B03_029 -               24    1042       5    1016       2    1016    1475    +    1.2e-267  886.7  20.4  -
Granulosicoccaceae        -          B0606_LKAP-FHGF1_B03_029 -               24    1036       5    1016       2    1016    1471    +    1.3e-267  886.6  20.3  -
Arenicellaceae            -          B0606_LKAP-FHGF1_B03_029 -               23    1028       4    1016       1    1016    1488    +    9.4e-265  877.2  20.1  -
Burkholderiaceae          -          B0606_LKAP-FHGF1_B03_029 -               23    1030       4    1016       2    1016    1482    +    9.3e-263  870.5  20.2  -
Hydrogenophilaceae        -          B0606_LKAP-FHGF1_B03_029 -               23    1032       4    1016       2    1016    1461    +    3.5e-261  865.4  20.0  -
Rhodospirillaceae         -          B0606_LKAP-FHGF1_B03_029 -               26     987       5    1016       1    1016    1429    +    1.5e-260  863.2  19.4  -
Alcaligenaceae            -          B0606_LKAP-FHGF1_B03_029 -               22    1033       3    1016       1    1016    1467    +    2.1e-259  859.4  20.2  -
Thiotrichales             -          B0606_LKAP-FHGF1_B03_029 -               44    1054       5    1016       2    1016    1519    +      1e-257  853.4  19.8  -
Acidiferrobacteraceae     -          B0606_LKAP-FHGF1_B03_029 -               24    1026       5    1016       2    1016    1454    +    7.7e-257  850.9  20.3  -
Oxalobacteraceae          -          B0606_LKAP-FHGF1_B03_029 -               23    1032       4    1016       1    1016    1459    +    3.1e-255  845.6  20.2  -
Sutterellaceae            -          B0606_LKAP-FHGF1_B03_029 -               22    1034       3    1016       1    1016    1487    +    4.7e-254  841.4  20.1  -
Salinisphaeraceae         -          B0606_LKAP-FHGF1_B03_029 -               11    1020       4    1016       1    1016    1429    +    1.7e-253  839.8  20.3  -
Sulfuricellaceae          -          B0606_LKAP-FHGF1_B03_029 -               23    1035       3    1016       1    1016    1463    +    9.8e-253  837.2  19.8  -
Nitrosomonadaceae         -          B0606_LKAP-FHGF1_B03_029 -               22    1033       3    1016       1    1016    1461    +    3.3e-252  835.6  20.0  -
Methylophilaceae          -          B0606_LKAP-FHGF1_B03_029 -                5    1022       3    1016       1    1016    1431    +    3.9e-251  832.0  20.1  -
Deltaproteobacteria       -          B0606_LKAP-FHGF1_B03_029 -               40    1070       5    1016       2    1016    1514    +    4.9e-251  831.7  19.9  -
Burkholderiales           -          B0606_LKAP-FHGF1_B03_029 -               23    1031       4    1016       2    1016    1463    +    1.7e-250  829.8  20.4  -
Desulfobacteraceae        -          B0606_LKAP-FHGF1_B03_029 -               37    1068       5    1016       2    1016    1516    +    2.6e-250  829.2  19.7  -
Thermithiobacillaceae     -          B0606_LKAP-FHGF1_B03_029 -                9    1016       5    1016       2    1016    1419    +    3.8e-250  828.7  20.1  -
Hyphomicrobiaceae         -          B0606_LKAP-FHGF1_B03_029 -               23     981       4    1016       2    1016    1427    +      4e-250  828.6  19.4  -
Geobacteraceae            -          B0606_LKAP-FHGF1_B03_029 -               32    1058       5    1016       2    1016    1487    +    1.3e-249  826.8  19.9  -
Syntrophaceae             -          B0606_LKAP-FHGF1_B03_029 -               41    1068       5    1016       2    1016    1551    +    2.6e-249  825.9  19.8  -
Desulfovibrionaceae       -          B0606_LKAP-FHGF1_B03_029 -               39    1059       5    1016       2    1016    1527    +    2.7e-249  825.9  19.8  -
Azonexaceae               -          B0606_LKAP-FHGF1_B03_029 -               24    1036       4    1016       2    1016    1474    +    1.5e-248  823.5  20.3  -
Acidithiobacillaceae      -          B0606_LKAP-FHGF1_B03_029 -               23    1028       5    1016       2    1016    1457    +    1.8e-247  819.7  20.4  -
Thiobacilliaceae          -          B0606_LKAP-FHGF1_B03_029 -               41    1051       3    1016       1    1016    1517    +      3e-246  815.8  20.3  -
Syntrophomonadaceae       -          B0606_LKAP-FHGF1_B03_029 -               41    1061       5    1016       2    1016    1515    +    5.4e-246  814.7  19.9  -
Clostridiaceae            -          B0606_LKAP-FHGF1_B03_029 -               38    1028       5    1016       2    1016    1485    +    1.2e-245  813.5  19.5  -
Francisellaceae           -          B0606_LKAP-FHGF1_B03_029 -               33    1036       4    1016       2    1016    1508    +    1.5e-245  813.5  19.7  -
Desulfobulbaceae          -          B0606_LKAP-FHGF1_B03_029 -               23    1056       3    1016       1    1016    1483    +    5.7e-245  811.4  19.7  -
Comamonadaceae            -          B0606_LKAP-FHGF1_B03_029 -               22    1030       3    1016       1    1016    1466    +    6.4e-245  811.1  20.2  -
Desulfohalobiaceae        -          B0606_LKAP-FHGF1_B03_029 -               30    1063       5    1016       2    1016    1509    +    1.3e-244  810.3  20.0  -
Methylothermaceae         -          B0606_LKAP-FHGF1_B03_029 -               45    1058       5    1016       2    1016    1491    +    2.2e-244  809.5  20.4  -
Clostridiales             -          B0606_LKAP-FHGF1_B03_029 -               31    1031       5    1016       2    1016    1470    +    4.3e-244  808.5  19.6  -
Rhodobiaceae              -          B0606_LKAP-FHGF1_B03_029 -               33     991       4    1016       1    1016    1440    +      1e-243  807.5  18.9  -
Eubacteriaceae            -          B0606_LKAP-FHGF1_B03_029 -               38    1037       5    1016       2    1016    1485    +    1.8e-243  806.5  20.0  -
Methylocystaceae          -          B0606_LKAP-FHGF1_B03_029 -               35     989       5    1016       2    1016    1424    +    2.8e-242  802.7  18.9  -
Desulfuromonadaceae       -          B0606_LKAP-FHGF1_B03_029 -               41    1069       5    1016       2    1016    1518    +    1.2e-241  800.5  20.0  -
Alphaproteobacteria       -          B0606_LKAP-FHGF1_B03_029 -               23     981       4    1016       2    1016    1409    +    2.3e-241  799.8  19.9  -
Acetobacteraceae          -          B0606_LKAP-FHGF1_B03_029 -               29     988       5    1016       2    1016    1438    +    3.7e-240  795.8  19.4  -
Zoogloeaceae              -          B0606_LKAP-FHGF1_B03_029 -               29    1039       3    1016       1    1016    1474    +    2.9e-239  792.5  20.5  -
Sphingomonadaceae         -          B0606_LKAP-FHGF1_B03_029 -               31     989       5    1016       1    1016    1434    +    3.3e-239  792.7  17.9  -
Wenzhouxiangellaceae      -          B0606_LKAP-FHGF1_B03_029 -               24    1040       5    1016       2    1016    1472    +    1.4e-237  786.8  19.8  -
Rhizobiales               -          B0606_LKAP-FHGF1_B03_029 -               33     990       4    1016       1    1016    1438    +    1.8e-237  786.8  19.3  -
Sneathiellaceae           -          B0606_LKAP-FHGF1_B03_029 -               29     996       5    1016       2    1016    1427    +    3.1e-237  785.9  18.4  -
Bdellovibrionaceae        -          B0606_LKAP-FHGF1_B03_029 -               20    1004       5    1016       2    1016    1430    +    2.5e-235  779.5  19.5  -
Peptococcaceae            -          B0606_LKAP-FHGF1_B03_029 -               31    1027       5    1016       2    1016    1479    +    2.7e-235  779.3  20.0  -
Xanthobacteraceae         -          B0606_LKAP-FHGF1_B03_029 -               24     978       5    1016       2    1016    1415    +    4.2e-235  778.9  19.0  -
Rhodobacteraceae          -          B0606_LKAP-FHGF1_B03_029 -               23     984       4    1016       1    1016    1402    +    4.7e-235  778.7  18.7  -
Syntrophobacteraceae      -          B0606_LKAP-FHGF1_B03_029 -               32    1060       5    1016       2    1016    1496    +      8e-235  778.0  20.1  -
Hyphomonadaceae           -          B0606_LKAP-FHGF1_B03_029 -               24     981       5    1016       2    1016    1400    +      2e-234  776.8  18.2  -
Rhizobiaceae              -          B0606_LKAP-FHGF1_B03_029 -               23     978       4    1016       1    1016    1422    +    2.3e-234  776.5  19.1  -
Ruminococcaceae           -          B0606_LKAP-FHGF1_B03_029 -               24    1028       5    1016       2    1016    1457    +    4.4e-234  775.3  19.7  -
Erythrobacteraceae        -          B0606_LKAP-FHGF1_B03_029 -               24     983       4    1016       2    1016    1433    +    1.1e-231  767.8  17.9  -
Acidobacteria             -          B0606_LKAP-FHGF1_B03_029 -               44    1064       5    1016       2    1016    1505    +    5.1e-231  765.7  19.7  -
Anaplasmataceae           -          B0606_LKAP-FHGF1_B03_029 -               35    1012       5    1016       2    1016    1441    +    8.8e-231  764.7  19.2  -
Aurantimonadaceae         -          B0606_LKAP-FHGF1_B03_029 -               41     994       5    1016       2    1016    1442    +    9.8e-231  764.5  18.7  -
Desulfomicrobiaceae       -          B0606_LKAP-FHGF1_B03_029 -               34    1052       5    1016       1    1016    1495    +    7.6e-230  761.3  19.9  -
Methylobacteriaceae       -          B0606_LKAP-FHGF1_B03_029 -               22     979       3    1016       1    1016    1426    +    8.9e-230  761.2  19.5  -
Phyllobacteriaceae        -          B0606_LKAP-FHGF1_B03_029 -               23     980       4    1016       1    1016    1424    +    1.9e-229  760.3  19.2  -
Thermoanaerobacteraceae   -          B0606_LKAP-FHGF1_B03_029 -               30    1046       5    1016       2    1016    1492    +    8.1e-229  757.8  20.9  -
Peptostreptococcaceae     -          B0606_LKAP-FHGF1_B03_029 -               24    1012       5    1016       2    1016    1441    +    4.7e-228  755.3  19.8  -
Deferribacteraceae        -          B0606_LKAP-FHGF1_B03_029 -               31    1052       5    1016       2    1016    1513    +    1.1e-227  754.1  19.9  -
Nautiliaceae              -          B0606_LKAP-FHGF1_B03_029 -               24    1008       5    1016       2    1016    1431    +    1.2e-227  754.3  20.3  -
Bacillales                -          B0606_LKAP-FHGF1_B03_029 -               31    1060       5    1016       2    1016    1503    +    1.8e-227  753.6  20.2  -
Lachnospiraceae           -          B0606_LKAP-FHGF1_B03_029 -               24    1026       5    1016       2    1016    1469    +    1.1e-226  750.8  19.8  -
Bradyrhizobiaceae         -          B0606_LKAP-FHGF1_B03_029 -               23     981       4    1016       1    1016    1428    +    1.1e-225  747.6  19.1  -
