# target name                    accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-Gut2_A07_063.seq -               31    1081       5    1055       1    1058    1475    +           0 1162.0  22.3  -
Unclassified_Alteromonadales     -          LKAP-Gut2_A07_063.seq -               31    1071       6    1055       1    1057    1467    +           0 1135.8  21.9  -
Hafniaceae                       -          LKAP-Gut2_A07_063.seq -               26    1065       6    1055       1    1058    1459    +           0 1126.5  22.4  -
Aeromonadaceae                   -          LKAP-Gut2_A07_063.seq -               43    1085       6    1055       1    1058    1496    +           0 1109.6  22.2  -
Budviciaceae                     -          LKAP-Gut2_A07_063.seq -               57    1061      50    1055      29    1058    1483    +           0 1094.9  22.1  -
Colwelliaceae                    -          LKAP-Gut2_A07_063.seq -               29    1070       4    1055       1    1058    1465    +           0 1092.1  22.2  -
Psychromonadaceae                -          LKAP-Gut2_A07_063.seq -               28    1071       3    1055       1    1058    1467    +           0 1091.1  22.0  -
Moritellaceae                    -          LKAP-Gut2_A07_063.seq -               42    1088       2    1055       1    1058    1501    +           0 1086.5  22.1  -
Idiomarinaceae                   -          LKAP-Gut2_A07_063.seq -               28    1072       3    1055       1    1058    1466    +           0 1084.8  22.0  -
Thorselliaceae                   -          LKAP-Gut2_A07_063.seq -               39    1040      53    1055      33    1058    1419    +           0 1066.5  22.0  -
Unclassified_Oceanospirillales   -          LKAP-Gut2_A07_063.seq -               32    1070       2    1055       1    1057    1483    +           0 1056.1  22.4  -
Orbaceae                         -          LKAP-Gut2_A07_063.seq -               92    1094      52    1055      28    1058    1538    +           0 1048.9  22.0  -
Celerinatantimonadaceae          -          LKAP-Gut2_A07_063.seq -               23    1078       3    1055       1    1058    1433    +           0 1032.0  22.2  -
Alcanivoracaceae                 -          LKAP-Gut2_A07_063.seq -               53    1090       7    1055       1    1057    1504    +           0 1029.6  22.4  -
Halieaceae                       -          LKAP-Gut2_A07_063.seq -               36    1071       3    1055       1    1057    1484    +           0 1025.9  22.3  -
Thioalkalispiraceae              -          LKAP-Gut2_A07_063.seq -               43    1088       5    1055       1    1057    1478    +    1.2e-305 1011.5  22.1  -
Spongiibacteraceae               -          LKAP-Gut2_A07_063.seq -               58    1068      44    1055      23    1057    1462    +    4.1e-305 1009.7  22.0  -
Succinivibrionaceae              -          LKAP-Gut2_A07_063.seq -               31    1048       3    1055       1    1058    1474    +    8.4e-305 1008.8  21.7  -
Litoricolaceae                   -          LKAP-Gut2_A07_063.seq -               35    1077       2    1055       1    1057    1474    +    1.3e-304 1008.3  22.4  -
Halothiobacillaceae              -          LKAP-Gut2_A07_063.seq -               44    1089       2    1055       1    1058    1501    +    3.1e-302 1000.3  22.2  -
Microbulbiferaceae               -          LKAP-Gut2_A07_063.seq -               33    1064       7    1055       1    1057    1478    +    7.7e-301  995.9  21.7  -
Saccharospirillaceae             -          LKAP-Gut2_A07_063.seq -               59    1064      43    1055      22    1057    1468    +    8.3e-301  995.5  22.3  -
Kangiellaceae                    -          LKAP-Gut2_A07_063.seq -               37    1083       3    1055       1    1057    1479    +    5.9e-300  992.7  21.8  -
Thermoleophilaceae               -          LKAP-Gut2_A07_063.seq -               20    1069       2    1055       1    1057    1486    +    2.2e-296  980.8  21.8  -
Nevskiaceae                      -          LKAP-Gut2_A07_063.seq -               65    1065      53    1055      31    1058    1470    +    3.2e-292  967.5  21.9  -
Cardiobacteriaceae               -          LKAP-Gut2_A07_063.seq -               42    1073       8    1055       2    1058    1462    +    3.6e-292  967.2  22.1  -
Coxiellaceae                     -          LKAP-Gut2_A07_063.seq -               27    1077       2    1055       1    1057    1473    +    3.6e-291  963.7  22.5  -
Arenicellaceae                   -          LKAP-Gut2_A07_063.seq -               60    1064      50    1055       6    1057    1488    +    2.7e-286  947.6  21.7  -
Unclassified_Thiotrichales       -          LKAP-Gut2_A07_063.seq -               92    1088      55    1055      33    1058    1517    +    5.4e-286  946.4  21.6  -
Salinisphaeraceae                -          LKAP-Gut2_A07_063.seq -               19    1058       5    1055       1    1058    1432    +    4.5e-281  930.3  22.3  -
Acidiferrobacteraceae            -          LKAP-Gut2_A07_063.seq -               61    1064      53    1055      33    1057    1456    +    8.9e-280  926.0  21.9  -
Granulosicoccaceae               -          LKAP-Gut2_A07_063.seq -               67    1072      50    1055      28    1057    1471    +    1.3e-279  925.5  22.2  -
Hydrogenophilaceae               -          LKAP-Gut2_A07_063.seq -               60    1069      49    1055      16    1058    1462    +    9.8e-273  902.8  22.0  -
Geobacteraceae                   -          LKAP-Gut2_A07_063.seq -               70    1094      51    1055      27    1058    1485    +    2.4e-271  897.9  22.0  -
Acidithiobacillaceae             -          LKAP-Gut2_A07_063.seq -               28    1064       4    1055       1    1058    1457    +    2.2e-269  891.3  21.7  -
Desulfobulbaceae                 -          LKAP-Gut2_A07_063.seq -               63    1088      52    1055      29    1058    1482    +    3.2e-269  890.9  21.8  -
Unclassified_Deltaproteobacteria -          LKAP-Gut2_A07_063.seq -               68    1107      32    1055      10    1058    1518    +    1.5e-268  888.8  21.7  -
Sulfuricellaceae                 -          LKAP-Gut2_A07_063.seq -               50    1070      38    1055      16    1058    1462    +    2.1e-268  888.3  22.0  -
Sutterellaceae                   -          LKAP-Gut2_A07_063.seq -               62    1070      47    1055      25    1058    1487    +      6e-268  886.5  21.9  -
Francisellaceae                  -          LKAP-Gut2_A07_063.seq -               43    1072       7    1055       2    1058    1509    +    8.9e-268  886.2  21.5  -
Syntrophaceae                    -          LKAP-Gut2_A07_063.seq -               80    1104      51    1055      29    1058    1556    +    1.5e-267  885.4  21.8  -
Methylophilaceae                 -          LKAP-Gut2_A07_063.seq -               41    1055      44    1055      21    1058    1430    +    1.7e-267  885.2  21.5  -
Thermithiobacillaceae            -          LKAP-Gut2_A07_063.seq -               13    1052       3    1055       1    1058    1419    +    2.2e-265  878.2  22.1  -
Desulfohalobiaceae               -          LKAP-Gut2_A07_063.seq -               32    1100       3    1055       1    1058    1510    +    1.3e-264  875.6  22.2  -
Nitrosomonadaceae                -          LKAP-Gut2_A07_063.seq -               65    1071      50    1055      28    1058    1463    +    2.7e-264  874.8  21.7  -
Wenzhouxiangellaceae             -          LKAP-Gut2_A07_063.seq -               70    1076      53    1055      32    1058    1472    +    1.9e-262  868.3  21.6  -
Desulfuromonadaceae              -          LKAP-Gut2_A07_063.seq -               78    1106      48    1055       9    1058    1519    +    1.9e-261  865.2  21.8  -
