# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F06_038   -               10     998       5     995       2    1009    1474    +           0 1168.8  22.2  -
Ferrimonadaceae           -          LKAP-GutHK_F06_038   -               10     998       5     995       2    1009    1475    +           0 1040.3  22.5  -
Enterobacteriaceae        -          LKAP-GutHK_F06_038   -               11     987       6     994       2    1009    1465    +    1.5e-306 1015.6  21.8  -
Erwiniaceae               -          LKAP-GutHK_F06_038   -               61     982      65     994      43    1008    1483    +    4.3e-305 1010.8  20.8  -
Yersiniaceae              -          LKAP-GutHK_F06_038   -               10     987       5     994       2    1008    1473    +    2.3e-304 1008.3  21.8  -
Aeromonadaceae            -          LKAP-GutHK_F06_038   -               22    1012       5    1007       2    1009    1496    +    8.9e-304 1006.1  21.9  -
Shewanellaceae            -          LKAP-GutHK_F06_038   -               11     989       6     994       2    1009    1483    +    1.1e-303 1006.1  21.8  -
Pectobacteriaceae         -          LKAP-GutHK_F06_038   -                8     985       6     995       2    1009    1477    +    1.6e-303 1005.4  21.8  -
Gammaproteobacteria       -          LKAP-GutHK_F06_038   -               12     987       7     995       3    1009    1481    +    3.7e-303 1004.1  21.8  -
Alteromonadales           -          LKAP-GutHK_F06_038   -               27     988      18     994       3    1007    1468    +    7.4e-303 1003.0  21.7  -
Morganellaceae            -          LKAP-GutHK_F06_038   -               13     991       5     995       2    1009    1487    +      7e-302 1000.2  22.1  -
Hafniaceae                -          LKAP-GutHK_F06_038   -                6     990       7    1003       3    1009    1459    +    1.8e-300  995.3  21.8  -
Alteromonadaceae          -          LKAP-GutHK_F06_038   -               10     986       5     994       2    1007    1468    +    7.2e-300  993.3  22.1  -
Pseudoalteromonadaceae    -          LKAP-GutHK_F06_038   -               10     983       5     994       2    1007    1469    +    2.7e-297  984.8  20.9  -
Moritellaceae             -          LKAP-GutHK_F06_038   -               26    1004       6     994       3    1008    1501    +    5.2e-296  980.5  21.7  -
Idiomarinaceae            -          LKAP-GutHK_F06_038   -               10     989       5     995       2    1009    1466    +    6.5e-291  963.5  22.0  -
Oceanospirillaceae        -          LKAP-GutHK_F06_038   -               10     988       5     994       2    1009    1467    +    2.6e-290  961.6  21.9  -
Colwelliaceae             -          LKAP-GutHK_F06_038   -               10     991       5     997       2    1009    1467    +    9.5e-290  959.9  22.0  -
Budviciaceae              -          LKAP-GutHK_F06_038   -               17     977      18     994       6    1007    1483    +    6.4e-289  957.1  21.4  -
Psychromonadaceae         -          LKAP-GutHK_F06_038   -               10     999       5    1006       2    1009    1467    +    1.1e-287  953.1  22.1  -
Oceanospirillales         -          LKAP-GutHK_F06_038   -               16     992       5     994       2    1009    1489    +    9.5e-287  949.7  22.1  -
Chromatiaceae             -          LKAP-GutHK_F06_038   -               26     984      17    1004       3    1009    1455    +    1.1e-286  949.8  22.3  -
Cellvibrionaceae          -          LKAP-GutHK_F06_038   -               10     986       5     994       2    1007    1472    +    1.8e-285  945.6  22.1  -
Thorselliaceae            -          LKAP-GutHK_F06_038   -               38     969      68    1009      44    1009    1419    +    6.4e-283  937.1  21.1  -
Piscirickettsiaceae       -          LKAP-GutHK_F06_038   -               14     991       7     995       3    1009    1466    +    3.3e-282  934.8  21.9  -
Pasteurellaceae           -          LKAP-GutHK_F06_038   -               11    1000       6    1008       2    1009    1422    +    1.7e-281  932.5  22.0  -
Alcanivoracaceae          -          LKAP-GutHK_F06_038   -               30    1006       5     994       2    1007    1504    +    1.9e-281  932.2  22.1  -
Pseudomonadaceae          -          LKAP-GutHK_F06_038   -               17     991       5     994       2    1008    1491    +    3.8e-281  931.3  22.1  -
Methylococcaceae          -          LKAP-GutHK_F06_038   -               40     996      17     996       3    1009    1481    +    1.1e-276  916.5  22.0  -
Orbaceae                  -          LKAP-GutHK_F06_038   -               38    1021       6    1006       2    1009    1539    +    1.3e-276  916.2  22.1  -
Hahellaceae               -          LKAP-GutHK_F06_038   -               10     985       5     994       2    1008    1473    +    1.3e-274  909.8  22.2  -
Halieaceae                -          LKAP-GutHK_F06_038   -               18     988       5     995       2    1009    1484    +    1.1e-273  906.6  22.5  -
Litoricolaceae            -          LKAP-GutHK_F06_038   -               18     993       5     994       2    1005    1474    +    5.4e-272  901.1  21.9  -
Moraxellaceae             -          LKAP-GutHK_F06_038   -                7     979       5     995       2    1009    1468    +    1.6e-271  899.7  22.1  -
Ectothiorhodospiraceae    -          LKAP-GutHK_F06_038   -               18     993       6     994       2    1008    1463    +      2e-271  899.2  22.1  -
Succinivibrionaceae       -          LKAP-GutHK_F06_038   -               14     964       6     994       2    1007    1473    +    2.4e-270  895.5  21.8  -
Halothiobacillaceae       -          LKAP-GutHK_F06_038   -               44    1006      18     995       3    1009    1500    +    3.6e-270  895.0  22.0  -
Thioalkalispiraceae       -          LKAP-GutHK_F06_038   -               40    1005      19     994       2    1008    1479    +    4.5e-270  894.5  21.7  -
Halomonadaceae            -          LKAP-GutHK_F06_038   -               10     987       5     995       2    1009    1466    +    2.4e-269  892.1  22.2  -
Celerinatantimonadaceae   -          LKAP-GutHK_F06_038   -                5     986       5     986       2    1002    1433    +    3.7e-269  891.7  21.8  -
Microbulbiferaceae        -          LKAP-GutHK_F06_038   -               10     980       5     994       2    1008    1480    +    3.8e-269  891.7  22.0  -
Spongiibacteraceae        -          LKAP-GutHK_F06_038   -               13     984       5     994       2    1007    1462    +    5.2e-269  891.0  21.8  -
Lysobacteraceae           -          LKAP-GutHK_F06_038   -               12     989       6     994       2    1008    1484    +    1.2e-268  889.9  22.1  -
Chromobacteriaceae        -          LKAP-GutHK_F06_038   -               26     981      18     996       3    1009    1460    +    1.9e-264  876.1  21.7  -
Kangiellaceae             -          LKAP-GutHK_F06_038   -               36    1000      18     995       4    1007    1479    +    2.6e-264  875.5  21.5  -
Thermoleophilaceae        -          LKAP-GutHK_F06_038   -               20     980      18     986       4    1004    1494    +    1.5e-263  872.9  21.7  -
Saccharospirillaceae      -          LKAP-GutHK_F06_038   -               12     980       6     994       2    1006    1468    +    9.1e-263  870.4  21.5  -
Thiotrichaceae            -          LKAP-GutHK_F06_038   -               27     954      18    1005       3    1009    1421    +    8.6e-259  857.2  21.0  -
Cardiobacteriaceae        -          LKAP-GutHK_F06_038   -               35     991      18     994       3    1008    1464    +    2.9e-257  852.5  21.3  -
Rhodocyclaceae            -          LKAP-GutHK_F06_038   -               27     985      18     995       3    1009    1484    +    3.8e-257  851.8  22.4  -
Nevskiaceae               -          LKAP-GutHK_F06_038   -               65     992      69    1007      48    1009    1470    +    1.4e-256  850.2  20.9  -
Coxiellaceae              -          LKAP-GutHK_F06_038   -               12     995       7     995       2    1009    1475    +    5.8e-255  844.6  22.0  -
Granulosicoccaceae        -          LKAP-GutHK_F06_038   -               68     990      67     997      46    1007    1471    +    1.1e-253  840.4  20.9  -
Rhodanobacteraceae        -          LKAP-GutHK_F06_038   -               28     990      18     995       3    1009    1473    +    4.6e-253  838.3  22.1  -
Legionellaceae            -          LKAP-GutHK_F06_038   -               63     986      66     995      41    1009    1446    +    2.5e-252  836.0  20.9  -
Burkholderiaceae          -          LKAP-GutHK_F06_038   -               56     983      61     997      32    1009    1482    +    6.2e-252  834.7  21.2  -
Arenicellaceae            -          LKAP-GutHK_F06_038   -               46     993      44    1008      12    1009    1488    +    3.6e-250  828.8  21.6  -
Rhodospirillaceae         -          LKAP-GutHK_F06_038   -               43     925      60     984      39    1004    1429    +    3.7e-250  828.8  20.1  -
Alcaligenaceae            -          LKAP-GutHK_F06_038   -               63     986      65     997      42    1009    1467    +    3.3e-249  825.6  21.1  -
Neisseriaceae             -          LKAP-GutHK_F06_038   -               80    1011      65    1004      42    1009    1477    +    1.9e-248  823.0  21.2  -
Thiotrichales             -          LKAP-GutHK_F06_038   -               47    1002      18     990       4    1005    1519    +    4.9e-248  821.3  21.0  -
Oxalobacteraceae          -          LKAP-GutHK_F06_038   -               27     983      18     995       3    1009    1459    +    2.8e-245  812.6  21.8  -
Acidiferrobacteraceae     -          LKAP-GutHK_F06_038   -               59     989      67    1007      46    1009    1454    +    3.3e-245  812.3  21.0  -
Hydrogenophilaceae        -          LKAP-GutHK_F06_038   -               12     982       7     994       2    1009    1461    +    6.8e-245  811.4  22.4  -
Burkholderiales           -          LKAP-GutHK_F06_038   -               27     984      18     997       3    1009    1463    +    7.8e-245  811.0  21.9  -
Methylophilaceae          -          LKAP-GutHK_F06_038   -               11     957      19     980      11    1000    1431    +    3.1e-244  809.1  21.1  -
Salinisphaeraceae         -          LKAP-GutHK_F06_038   -               15     972      18     994       6    1008    1429    +    4.7e-244  808.5  21.7  -
Sulfuricellaceae          -          LKAP-GutHK_F06_038   -               64     977      66     986      45    1001    1463    +      4e-243  805.4  20.6  -
Geobacteraceae            -          LKAP-GutHK_F06_038   -               35    1013      18     999       3    1008    1487    +    9.2e-243  804.1  21.7  -
Desulfovibrionaceae       -          LKAP-GutHK_F06_038   -               42    1021      18    1006       4    1009    1527    +    1.4e-242  803.5  22.0  -
Sutterellaceae            -          LKAP-GutHK_F06_038   -               27     993      18    1005       3    1009    1487    +    2.6e-242  802.5  21.7  -
Desulfobacteraceae        -          LKAP-GutHK_F06_038   -               41    1031      19    1006       4    1009    1516    +      1e-241  800.6  21.7  -
Francisellaceae           -          LKAP-GutHK_F06_038   -               43     988      23     994       5    1006    1508    +    2.2e-241  799.6  21.0  -
Deltaproteobacteria       -          LKAP-GutHK_F06_038   -               44    1020      19     995       4    1009    1514    +    4.3e-241  798.7  21.7  -
Hyphomicrobiaceae         -          LKAP-GutHK_F06_038   -               54     926      69     989      47    1004    1427    +    5.5e-240  795.0  20.3  -
Eubacteriaceae            -          LKAP-GutHK_F06_038   -               41     980      18     986       4    1006    1485    +    6.7e-240  794.6  21.8  -
Desulfuromonadaceae       -          LKAP-GutHK_F06_038   -               44    1026      18    1000       3    1009    1518    +    1.1e-239  794.0  21.8  -
Syntrophaceae             -          LKAP-GutHK_F06_038   -               69    1029      49    1005      13    1009    1551    +    1.9e-239  793.1  21.4  -
Clostridiaceae            -          LKAP-GutHK_F06_038   -               41     970      18     988       4    1007    1485    +    2.8e-239  792.5  21.4  -
Azonexaceae               -          LKAP-GutHK_F06_038   -               28     987      18     995       3    1009    1474    +    4.7e-239  792.0  22.0  -
Desulfobulbaceae          -          LKAP-GutHK_F06_038   -               28    1013      18    1007       4    1009    1483    +    9.5e-239  790.8  22.1  -
Rhodobiaceae              -          LKAP-GutHK_F06_038   -               21     925       6     980       2     997    1440    +    2.7e-238  789.6  20.1  -
Clostridiales             -          LKAP-GutHK_F06_038   -               34     973      18     987       4    1006    1470    +    4.8e-238  788.5  21.3  -
Thermithiobacillaceae     -          LKAP-GutHK_F06_038   -               12     967      18     995      12    1009    1419    +    2.2e-237  786.4  21.8  -
Comamonadaceae            -          LKAP-GutHK_F06_038   -               27     982      18     996       3    1009    1466    +    2.7e-237  785.8  21.8  -
Syntrophomonadaceae       -          LKAP-GutHK_F06_038   -               44    1023      18    1004       4    1009    1515    +    9.2e-237  784.1  22.0  -
Nitrosomonadaceae         -          LKAP-GutHK_F06_038   -               62     995      65    1006      39    1009    1461    +    3.1e-236  782.7  20.9  -
Thiobacilliaceae          -          LKAP-GutHK_F06_038   -               80    1002      66     995      44    1009    1517    +    8.8e-236  781.1  21.2  -
Acidithiobacillaceae      -          LKAP-GutHK_F06_038   -               26     979      18     995       3    1009    1457    +    1.1e-233  774.0  22.0  -
Desulfohalobiaceae        -          LKAP-GutHK_F06_038   -               33    1025      18    1008       4    1009    1509    +    1.7e-233  773.5  22.3  -
Alphaproteobacteria       -          LKAP-GutHK_F06_038   -               11     922       6     986       2    1005    1409    +    1.8e-233  773.6  21.0  -
Methylocystaceae          -          LKAP-GutHK_F06_038   -               22     940       6     993       2    1006    1424    +    4.1e-233  772.4  20.5  -
Methylothermaceae         -          LKAP-GutHK_F06_038   -               48    1008      18     994       3    1009    1491    +    5.1e-233  771.8  22.0  -
Acetobacteraceae          -          LKAP-GutHK_F06_038   -               58     926      70     983      47    1001    1438    +    1.9e-232  770.3  20.5  -
Hyphomonadaceae           -          LKAP-GutHK_F06_038   -               11     918       6     983       2    1000    1400    +    3.5e-232  769.4  19.9  -
Sphingomonadaceae         -          LKAP-GutHK_F06_038   -               44     926      56     983      36    1003    1434    +      5e-232  768.9  19.5  -
Peptococcaceae            -          LKAP-GutHK_F06_038   -               34     974      18     995       4    1008    1479    +    8.8e-232  767.6  22.1  -
Bdellovibrionaceae        -          LKAP-GutHK_F06_038   -               24     949      19     987       5    1006    1430    +    2.6e-231  766.2  21.0  -
Wenzhouxiangellaceae      -          LKAP-GutHK_F06_038   -               70     992      69     994      49    1007    1472    +    5.3e-231  765.0  20.6  -
Zoogloeaceae              -          LKAP-GutHK_F06_038   -               34     986      18     991       3    1006    1474    +    2.7e-230  762.8  21.8  -
Ruminococcaceae           -          LKAP-GutHK_F06_038   -               27     978      18     994       4    1007    1457    +    6.8e-230  761.4  21.8  -
Sneathiellaceae           -          LKAP-GutHK_F06_038   -               15     927       5     977       2     997    1427    +    2.3e-229  759.8  20.9  -
Syntrophobacteraceae      -          LKAP-GutHK_F06_038   -               38    1013      25     997       5    1009    1496    +      7e-229  758.3  21.6  -
Rhodobacteraceae          -          LKAP-GutHK_F06_038   -               11     922       6     985       2    1005    1402    +    5.1e-228  755.4  20.3  -
Erythrobacteraceae        -          LKAP-GutHK_F06_038   -               28     922      22     984       2    1002    1433    +    1.5e-227  754.0  20.1  -
Lachnospiraceae           -          LKAP-GutHK_F06_038   -               27     965      18     982       4    1001    1469    +    2.6e-227  752.9  21.5  -
Rhizobiales               -          LKAP-GutHK_F06_038   -               21     928       6     983       2    1003    1438    +    6.2e-227  751.9  20.8  -
Xanthobacteraceae         -          LKAP-GutHK_F06_038   -               52     915      71     982      51    1002    1415    +    7.2e-227  751.6  19.7  -
Rhizobiaceae              -          LKAP-GutHK_F06_038   -               50     927      68     992      35    1006    1422    +    6.9e-225  745.0  19.6  -
Phyllobacteriaceae        -          LKAP-GutHK_F06_038   -               51     913      69     979      48     995    1424    +    4.9e-224  742.3  19.4  -
Acidobacteria             -          LKAP-GutHK_F06_038   -               81     990      67     964      45     985    1505    +    1.2e-223  741.3  21.8  -
Peptostreptococcaceae     -          LKAP-GutHK_F06_038   -               27     950      18     983       3    1003    1441    +    6.9e-223  738.1  21.2  -
Deferribacteraceae        -          LKAP-GutHK_F06_038   -               35     998      19     995       4    1009    1513    +    7.1e-223  738.1  21.8  -
Anaplasmataceae           -          LKAP-GutHK_F06_038   -               22     944       6     977       2     994    1441    +    2.9e-222  736.5  20.7  -
Bacillales                -          LKAP-GutHK_F06_038   -               34    1009      18     992       4    1004    1503    +    2.7e-221  733.1  21.2  -
Desulfarculaceae          -          LKAP-GutHK_F06_038   -               19    1015       5     994       2    1005    1516    +    5.1e-221  732.2  21.7  -
Thermoanaerobacteraceae   -          LKAP-GutHK_F06_038   -               33     985      18     993       3    1009    1492    +    8.6e-221  731.1  22.1  -
Desulfomicrobiaceae       -          LKAP-GutHK_F06_038   -               69    1012      65    1006      25    1009    1495    +    2.6e-220  729.7  21.1  -
Methylobacteriaceae       -          LKAP-GutHK_F06_038   -               11     923       6     986       2    1005    1426    +    3.7e-220  729.3  20.8  -
Brucellaceae              -          LKAP-GutHK_F06_038   -               57     918      71     980      50    1000    1411    +    9.8e-220  728.0  19.9  -
Caulobacteraceae          -          LKAP-GutHK_F06_038   -               10     919       5     984       2     999    1415    +    1.8e-219  727.0  20.0  -
Nautiliaceae              -          LKAP-GutHK_F06_038   -               27     955      18     995       3    1009    1431    +    2.2e-219  727.0  22.1  -
Bacillaceae               -          LKAP-GutHK_F06_038   -               12    1003       7     993       2    1005    1493    +    6.1e-219  725.3  21.7  -
Lactobacillaceae          -          LKAP-GutHK_F06_038   -               30    1027      18     993       4    1005    1522    +    1.4e-218  724.1  21.6  -
Aurantimonadaceae         -          LKAP-GutHK_F06_038   -               69     944      69     992      47    1005    1442    +    2.8e-218  723.2  19.6  -
Streptomycetaceae         -          LKAP-GutHK_F06_038   -               62     957      69     986      24    1003    1479    +      3e-218  723.0  21.4  -
Beijerinckiaceae          -          LKAP-GutHK_F06_038   -               66     931      70     983      49    1001    1421    +    2.1e-217  720.1  19.9  -
Thermoanaerobacterales    -          LKAP-GutHK_F06_038   -               33     997      16    1005       2    1009    1472    +    2.4e-217  719.9  22.6  -
Kiloniellaceae            -          LKAP-GutHK_F06_038   -               46     944      18     980       2     998    1450    +    5.8e-217  718.5  21.0  -
Verrucomicrobiaceae       -          LKAP-GutHK_F06_038   -               28     975      18     981       3    1001    1470    +    1.1e-216  718.0  21.8  -
Synergistaceae            -          LKAP-GutHK_F06_038   -               27     946      18     980       3    1000    1450    +    1.5e-216  717.3  22.4  -
Paenibacillaceae          -          LKAP-GutHK_F06_038   -               28    1002      18     993       2    1005    1493    +    1.9e-216  717.0  21.6  -
Bacteroidaceae            -          LKAP-GutHK_F06_038   -               36     983      18     979       5    1000    1480    +    2.7e-216  716.4  22.1  -
Kordiimonadaceae          -          LKAP-GutHK_F06_038   -               11     925       6     979       2     989    1421    +    4.1e-216  716.1  20.8  -
Holophagaceae             -          LKAP-GutHK_F06_038   -               77     975      76     964      65     972    1502    +    9.8e-216  714.8  21.7  -
Heliobacteriaceae         -          LKAP-GutHK_F06_038   -               29     994       7    1007       2    1009    1500    +    1.6e-215  713.9  22.0  -
Bradyrhizobiaceae         -          LKAP-GutHK_F06_038   -               57     921      72     984      51    1001    1428    +    2.3e-215  713.3  19.6  -
Haliangiaceae             -          LKAP-GutHK_F06_038   -               43    1015      18     993       5    1009    1507    +    3.4e-215  712.9  22.1  -
Spirochaetaceae           -          LKAP-GutHK_F06_038   -               31     990      16     991       3    1007    1486    +    4.1e-215  712.6  22.0  -
Micrococcaceae            -          LKAP-GutHK_F06_038   -               36     972      18     987       3    1005    1476    +    4.2e-215  712.5  21.1  -
