# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-GutHK_E03_023   -               13     990       9     983       4     988    1475    +           0 1088.0  24.4  -
Aeromonadaceae                   -          LKAP-GutHK_E03_023   -               25     995       9     984       4     988    1496    +           0 1061.2  24.0  -
Unclassified_Alteromonadales     -          LKAP-GutHK_E03_023   -               26     978      18     981       4     985    1467    +           0 1057.6  23.2  -
Hafniaceae                       -          LKAP-GutHK_E03_023   -               20     975      18     984       5     988    1459    +           0 1054.9  24.0  -
Budviciaceae                     -          LKAP-GutHK_E03_023   -                5     968      11     981       7     987    1483    +           0 1047.0  23.7  -
Idiomarinaceae                   -          LKAP-GutHK_E03_023   -               14     980      10     982       4     986    1466    +      1e-306 1014.9  23.4  -
Colwelliaceae                    -          LKAP-GutHK_E03_023   -               13     978       9     982       5     987    1465    +    1.7e-306 1014.5  23.7  -
Moritellaceae                    -          LKAP-GutHK_E03_023   -               42     997      19     983       5     988    1501    +    1.2e-304 1008.1  23.6  -
Psychromonadaceae                -          LKAP-GutHK_E03_023   -               14     980      10     983       4     987    1467    +    2.6e-299  990.6  23.2  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_E03_023   -               18     978       9     982       4     988    1483    +    7.9e-296  978.8  24.1  -
Thorselliaceae                   -          LKAP-GutHK_E03_023   -                1     950      20     984      20     988    1419    +    1.1e-295  978.4  24.5  -
Orbaceae                         -          LKAP-GutHK_E03_023   -               40    1002       9     982       5     987    1538    +    8.8e-289  955.5  23.5  -
Alcanivoracaceae                 -          LKAP-GutHK_E03_023   -               33     997       9     981       4     986    1504    +    5.4e-286  946.2  23.6  -
Succinivibrionaceae              -          LKAP-GutHK_E03_023   -               16     955       9     981       5     987    1474    +    7.7e-284  939.2  23.7  -
Celerinatantimonadaceae          -          LKAP-GutHK_E03_023   -                8     986       9     982       5     986    1433    +    3.4e-281  930.6  23.5  -
Halothiobacillaceae              -          LKAP-GutHK_E03_023   -               44     997      19     982       5     988    1501    +    2.2e-280  927.7  23.9  -
Litoricolaceae                   -          LKAP-GutHK_E03_023   -               34     984      18     981       5     988    1474    +      2e-278  921.4  23.8  -
Thioalkalispiraceae              -          LKAP-GutHK_E03_023   -               40     997      19     983       4     987    1478    +    7.9e-278  919.2  23.8  -
Halieaceae                       -          LKAP-GutHK_E03_023   -               20     979       8     982       4     988    1484    +    2.6e-276  914.3  23.7  -
Microbulbiferaceae               -          LKAP-GutHK_E03_023   -               13     971       9     981       4     986    1478    +    3.5e-274  907.4  23.2  -
Spongiibacteraceae               -          LKAP-GutHK_E03_023   -               17     978      10     984       4     988    1462    +      4e-274  906.9  23.8  -
Saccharospirillaceae             -          LKAP-GutHK_E03_023   -               27     971      18     981       4     987    1468    +    7.5e-273  902.8  23.8  -
Kangiellaceae                    -          LKAP-GutHK_E03_023   -               36     990      19     981       6     986    1479    +    3.6e-269  890.6  23.2  -
Thermoleophilaceae               -          LKAP-GutHK_E03_023   -               59     975      74     980      52     987    1486    +    1.1e-265  878.9  22.5  -
Cardiobacteriaceae               -          LKAP-GutHK_E03_023   -               35     981      19     982       5     988    1462    +    4.4e-265  877.4  23.9  -
Coxiellaceae                     -          LKAP-GutHK_E03_023   -               27     987      19     984       4     988    1473    +    1.6e-262  868.6  24.3  -
Granulosicoccaceae               -          LKAP-GutHK_E03_023   -               27     972      19     974       6     985    1471    +    1.6e-260  862.0  23.1  -
Arenicellaceae                   -          LKAP-GutHK_E03_023   -               27     975      19     984       7     988    1488    +    1.1e-259  859.3  23.6  -
Nevskiaceae                      -          LKAP-GutHK_E03_023   -               36     975      19     984       6     988    1470    +    1.8e-259  858.8  23.6  -
Unclassified_Thiotrichales       -          LKAP-GutHK_E03_023   -               91     998      73     984      51     988    1517    +      2e-258  854.9  22.6  -
Sulfuricellaceae                 -          LKAP-GutHK_E03_023   -               27     973      19     979       7     987    1462    +    4.3e-254  840.7  23.7  -
Hydrogenophilaceae               -          LKAP-GutHK_E03_023   -               27     979      19     986       5     988    1462    +    4.4e-254  840.9  24.5  -
Salinisphaeraceae                -          LKAP-GutHK_E03_023   -               10     966      14     982       7     987    1432    +    1.3e-252  835.8  23.8  -
Methylophilaceae                 -          LKAP-GutHK_E03_023   -                6     953      18     975      14     987    1430    +    4.5e-249  824.0  22.9  -
Nitrosomonadaceae                -          LKAP-GutHK_E03_023   -               27     978      19     983       5     987    1463    +    1.1e-247  819.6  24.5  -
Sutterellaceae                   -          LKAP-GutHK_E03_023   -               27     974      19     980       5     988    1487    +    1.2e-247  819.1  24.2  -
Geobacteraceae                   -          LKAP-GutHK_E03_023   -               35     999      19     981       7     987    1485    +    1.1e-246  816.1  23.2  -
Azonexaceae                      -          LKAP-GutHK_E03_023   -               28     980      19     984       5     988    1474    +    2.8e-246  814.9  24.8  -
Acidiferrobacteraceae            -          LKAP-GutHK_E03_023   -               64     971      75     983      53     988    1456    +    1.6e-245  812.3  22.7  -
Unclassified_Deltaproteobacteria -          LKAP-GutHK_E03_023   -               43    1013      19     984       6     987    1518    +    1.6e-244  809.1  23.5  -
Thiobacilliaceae                 -          LKAP-GutHK_E03_023   -               46     991      19     980       6     988    1517    +    1.6e-244  809.0  23.7  -
Francisellaceae                  -          LKAP-GutHK_E03_023   -               37     979      19     981       7     984    1509    +    2.8e-244  808.1  23.1  -
Methylothermaceae                -          LKAP-GutHK_E03_023   -               48    1005      19     987       6     988    1491    +    1.8e-243  805.4  24.3  -
Desulfuromonadaceae              -          LKAP-GutHK_E03_023   -               45    1007      19     978       6     984    1519    +    5.9e-242  800.5  22.8  -
Desulfobulbaceae                 -          LKAP-GutHK_E03_023   -               27     993      19     983       6     987    1482    +    1.9e-241  798.7  23.2  -
Desulfohalobiaceae               -          LKAP-GutHK_E03_023   -               31    1008      19     984       6     988    1510    +    9.5e-241  796.4  23.5  -
Unclassified_Alphaproteobacteria -          LKAP-GutHK_E03_023   -               14     919      10     978       4     987    1412    +    9.8e-241  796.7  23.1  -
Thermithiobacillaceae            -          LKAP-GutHK_E03_023   -               12     957      19     981      13     988    1419    +    1.8e-240  795.6  23.6  -
Syntrophaceae                    -          LKAP-GutHK_E03_023   -               44    1009      19     981       7     988    1556    +      3e-240  794.8  23.1  -
Sneathiellaceae                  -          LKAP-GutHK_E03_023   -               17     927       8     973       5     985    1427    +    1.6e-239  792.5  22.5  -
Erythrobacteraceae               -          LKAP-GutHK_E03_023   -               42     917      48     977      24     987    1433    +    5.1e-239  790.8  21.3  -
Hyphomonadaceae                  -          LKAP-GutHK_E03_023   -               13     915       9     976       4     985    1399    +    4.9e-238  787.7  22.2  -
Bdellovibrionaceae               -          LKAP-GutHK_E03_023   -               23     945      19     979       9     987    1430    +    5.4e-237  784.0  23.0  -
Zoogloeaceae                     -          LKAP-GutHK_E03_023   -               34     974      19     975       5     987    1474    +    2.7e-236  781.7  23.6  -
Acidithiobacillaceae             -          LKAP-GutHK_E03_023   -               26     962      19     974       5     988    1457    +    7.2e-236  780.2  23.6  -
Wenzhouxiangellaceae             -          LKAP-GutHK_E03_023   -               71     979      73     977      52     987    1472    +    3.5e-235  777.9  21.8  -
Unclassified_Rhizobiales         -          LKAP-GutHK_E03_023   -               37     925      19     976       5     986    1437    +    7.3e-231  763.9  22.6  -
Kiloniellaceae                   -          LKAP-GutHK_E03_023   -               45     944      18     976       2     984    1450    +    2.9e-230  761.6  22.7  -
Brucellaceae                     -          LKAP-GutHK_E03_023   -               31     918      18     976       4     985    1412    +    3.3e-230  761.8  21.9  -
Unclassified_Acidobacteria       -          LKAP-GutHK_E03_023   -               47    1007      19     979       7     987    1505    +    1.5e-227  753.2  23.4  -
Aurantimonadaceae                -          LKAP-GutHK_E03_023   -               31     935      10     980       4     987    1444    +    6.2e-227  750.9  22.2  -
Nautiliaceae                     -          LKAP-GutHK_E03_023   -               27     948      19     984       6     988    1428    +      1e-226  750.2  25.0  -
Deferribacteraceae               -          LKAP-GutHK_E03_023   -               34     990      19     983       7     988    1514    +    7.7e-226  746.9  23.1  -
Anaplasmataceae                  -          LKAP-GutHK_E03_023   -               25     944      10     976       5     983    1438    +      8e-226  747.2  22.3  -
Holophagaceae                    -          LKAP-GutHK_E03_023   -               76     989      78     976      58     987    1502    +    1.3e-225  746.5  22.3  -
Kordiimonadaceae                 -          LKAP-GutHK_E03_023   -               27     925      19     975       5     983    1423    +    3.4e-225  745.1  21.8  -
Desulfarculaceae                 -          LKAP-GutHK_E03_023   -               35    1000      18     976       4     986    1516    +    3.2e-224  741.8  22.5  -
Desulfomicrobiaceae              -          LKAP-GutHK_E03_023   -               37     996      19     984       7     988    1495    +    5.9e-224  740.8  23.4  -
Beijerinckiaceae                 -          LKAP-GutHK_E03_023   -               26     927       9     975       5     985    1421    +    5.2e-223  737.7  22.4  -
Caulobacteraceae                 -          LKAP-GutHK_E03_023   -               13     914       9     975       4     987    1418    +    7.1e-223  737.3  21.6  -
Heliobacteriaceae                -          LKAP-GutHK_E03_023   -               44     978      19     983       6     988    1502    +    1.5e-221  732.9  23.7  -
Bartonellaceae                   -          LKAP-GutHK_E03_023   -               26     918      18     978       5     986    1410    +    4.1e-219  724.9  22.3  -
Parvularculaceae                 -          LKAP-GutHK_E03_023   -               46     936      18     977       5     984    1429    +    1.6e-218  723.1  21.3  -
Leptospiraceae                   -          LKAP-GutHK_E03_023   -               27     947      19     978       7     987    1433    +    6.7e-217  717.4  22.9  -
Halobacteriovoracaceae           -          LKAP-GutHK_E03_023   -               27     993      19     983       6     987    1480    +    9.5e-217  716.8  23.1  -
Rickettsiaceae                   -          LKAP-GutHK_E03_023   -               27     925      19     973       9     983    1430    +    1.1e-216  716.8  21.2  -
Cohaesibacteraceae               -          LKAP-GutHK_E03_023   -               57     936      43     977      22     985    1416    +    4.6e-216  714.8  21.4  -
Aerococcaceae                    -          LKAP-GutHK_E03_023   -               27     988      19     978       6     986    1474    +    6.9e-216  714.1  22.9  -
Desulfonatronaceae               -          LKAP-GutHK_E03_023   -               27     989      19     982       6     986    1495    +    1.5e-215  712.9  23.2  -
Haliangiaceae                    -          LKAP-GutHK_E03_023   -               43     988      19     961       5     980    1507    +    1.7e-215  712.8  23.8  -
Chelatococcaceae                 -          LKAP-GutHK_E03_023   -               24     923       9     973       4     982    1439    +      2e-215  712.8  22.4  -
Halanaerobiaceae                 -          LKAP-GutHK_E03_023   -               38    1008      19     978       6     984    1506    +    6.1e-215  710.8  23.6  -
Nannocystaceae                   -          LKAP-GutHK_E03_023   -               25     966       7     962       4     982    1487    +    7.9e-215  710.6  24.5  -
Spirillaceae                     -          LKAP-GutHK_E03_023   -               43    1000      19     984       5     988    1447    +    1.6e-213  706.5  23.2  -
Acidimicrobiaceae                -          LKAP-GutHK_E03_023   -               47     976      19     981       6     986    1463    +    1.6e-213  706.3  23.7  -
Rubrobacteraceae                 -          LKAP-GutHK_E03_023   -               27     976      19     976       5     987    1494    +    4.1e-213  704.9  23.4  -
Nitrospiraceae                   -          LKAP-GutHK_E03_023   -               33     958      19     976       8     986    1480    +    8.1e-213  703.9  24.1  -
Bacteriovoracaceae               -          LKAP-GutHK_E03_023   -               27     989      19     984       8     986    1473    +    7.3e-212  700.7  22.6  -
Caldicoprobacteraceae            -          LKAP-GutHK_E03_023   -               43     980      19     974       7     984    1531    +    2.2e-211  699.1  24.1  -
