# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          A0519_LKAP-FHGF1_C11_091 -               27     963       9     936       3     936    1466    +           0 1153.3  22.9  -
Vibrionaceae_Photobacterium                      -          A0519_LKAP-FHGF1_C11_091 -               27     963       9     936       3     936    1487    +           0 1104.9  22.9  -
Vibrionaceae_Aliivibrio                          -          A0519_LKAP-FHGF1_C11_091 -               51     977       9     936       3     936    1474    +           0 1081.6  22.9  -
Vibrionaceae_Enterovibrio                        -          A0519_LKAP-FHGF1_C11_091 -               27     957       9     936       3     936    1499    +           0 1056.8  22.9  -
Vibrionaceae_Grimontia                           -          A0519_LKAP-FHGF1_C11_091 -               27     963       9     936       3     936    1493    +           0 1039.8  22.9  -
Yersiniaceae_Serratia                            -          A0519_LKAP-FHGF1_C11_091 -               31     957       9     936       3     936    1491    +    1.1e-305 1015.2  23.0  -
Erwiniaceae_Erwinia                              -          A0519_LKAP-FHGF1_C11_091 -               27     953       9     936       3     936    1495    +    3.6e-305 1013.6  22.9  -
Pectobacteriaceae_Pectobacterium                 -          A0519_LKAP-FHGF1_C11_091 -               35     961       9     936       3     936    1499    +    7.3e-303 1005.9  23.0  -
Erwiniaceae_Tatumella                            -          A0519_LKAP-FHGF1_C11_091 -               27     953       9     936       3     936    1490    +      7e-302 1002.6  23.0  -
Enterobacteriaceae_Enterobacter                  -          A0519_LKAP-FHGF1_C11_091 -               25     949       9     936       3     936    1476    +    3.1e-299  993.8  22.9  -
Enterobacteriaceae_Citrobacter                   -          A0519_LKAP-FHGF1_C11_091 -               42     968       9     936       3     936    1517    +    5.2e-299  993.0  22.9  -
Pectobacteriaceae_Brenneria                      -          A0519_LKAP-FHGF1_C11_091 -                5     931       9     936       6     936    1457    +    1.1e-298  992.0  23.1  -
Enterobacteriaceae_Escherichia                   -          A0519_LKAP-FHGF1_C11_091 -               27     953       9     936       3     936    1480    +    4.9e-298  989.9  23.0  -
Hafniaceae_Hafnia                                -          A0519_LKAP-FHGF1_C11_091 -               26     953       8     936       2     936    1463    +      5e-298  989.7  22.9  -
Enterobacteriaceae_Klebsiella                    -          A0519_LKAP-FHGF1_C11_091 -               39     963       9     936       3     936    1436    +    9.8e-298  988.9  23.1  -
Enterobacteriaceae_Cronobacter                   -          A0519_LKAP-FHGF1_C11_091 -                4     930       9     936       7     936    1422    +    2.4e-297  987.6  23.2  -
Shewanellaceae_Shewanella                        -          A0519_LKAP-FHGF1_C11_091 -               27     955       9     936       3     936    1483    +    2.4e-297  987.5  22.9  -
Yersiniaceae_Yersinia                            -          A0519_LKAP-FHGF1_C11_091 -               27     953       9     936       3     936    1461    +    4.1e-297  986.8  23.0  -
Ferrimonadaceae_Ferrimonas                       -          A0519_LKAP-FHGF1_C11_091 -               23     963       7     936       2     936    1475    +    8.9e-297  985.4  22.7  -
Yersiniaceae_Rouxiella                           -          A0519_LKAP-FHGF1_C11_091 -               56     982       9     936       3     936    1551    +    3.5e-296  983.6  23.0  -
Pectobacteriaceae_Dickeya                        -          A0519_LKAP-FHGF1_C11_091 -               24     950       9     936       3     936    1421    +    4.7e-296  983.2  23.0  -
Enterobacteriaceae_Salmonella                    -          A0519_LKAP-FHGF1_C11_091 -               23     949       9     936       3     936    1457    +    4.8e-296  983.3  22.9  -
Enterobacteriaceae_Pluralibacter                 -          A0519_LKAP-FHGF1_C11_091 -               47     976       9     936       3     936    1532    +    2.5e-294  977.5  22.9  -
Enterobacteriaceae_Kluyvera                      -          A0519_LKAP-FHGF1_C11_091 -               15     939       9     936       3     936    1455    +    3.5e-294  977.0  23.1  -
Enterobacteriaceae_Trabulsiella                  -          A0519_LKAP-FHGF1_C11_091 -               20     947       9     936       2     936    1471    +    5.6e-294  976.5  22.9  -
Enterobacteriaceae_Kosakonia                     -          A0519_LKAP-FHGF1_C11_091 -                8     931      10     936       5     936    1422    +    4.5e-293  973.1  23.2  -
