# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_A10_080_2018_2 -               31     959      15     942       4     942    1526    +           0 1179.3  33.8  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -                6     932      17     942      12     942    1469    +    2.6e-296  984.2  33.0  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -               16     948      15     942       4     942    1471    +    3.4e-295  980.6  34.1  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -               15     952      10     942       3     942    1519    +    5.8e-295  979.8  34.3  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -               15     950      10     942       3     942    1508    +    1.1e-292  972.3  34.3  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_A10_080_2018_2 -               33     967      13     942       3     942    1524    +    1.1e-292  972.1  34.0  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_A10_080_2018_2 -               38     965      15     942       5     942    1553    +    1.9e-289  961.6  34.5  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_A10_080_2018_2 -               18     952      11     942       3     942    1511    +    5.4e-289  960.0  34.1  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_A10_080_2018_2 -               43     967      18     942       3     942    1555    +    1.1e-288  958.8  34.0  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -               19     937      15     942       4     942    1495    +    1.2e-288  958.7  31.9  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -                5     942      10     942       6     942    1470    +    1.1e-287  955.7  34.2  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_A10_080_2018_2 -               15     936      10     942       3     942    1479    +      4e-287  953.5  32.8  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_A10_080_2018_2 -               24     959      14     942       4     942    1506    +      4e-286  950.5  34.1  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_A10_080_2018_2 -                2     934      16     942      15     942    1478    +    8.2e-286  949.4  32.8  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -               19     952      16     942       4     942    1490    +    2.3e-285  947.9  33.9  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_A10_080_2018_2 -               17     948      12     942       3     942    1482    +    2.7e-285  947.7  34.3  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_A10_080_2018_2 -               18     935      13     942       3     942    1476    +    9.3e-285  945.9  32.6  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_A10_080_2018_2 -               25     944      15     942       4     942    1497    +    2.4e-284  944.5  31.8  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -               15     941      17     942       4     942    1472    +    3.2e-283  940.9  33.7  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_A10_080_2018_2 -                5     933      18     942      15     942    1480    +    6.7e-283  939.7  32.6  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_A10_080_2018_2 -               15     952      10     942       2     942    1520    +    1.1e-282  939.0  34.4  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_A10_080_2018_2 -               14     936       9     942       3     942    1507    +    2.2e-282  937.9  32.6  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_A10_080_2018_2 -               10     939      18     942       9     942    1491    +    2.9e-282  937.5  33.1  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_A10_080_2018_2 -               38     978      15     942       4     942    1558    +    6.1e-282  936.6  34.1  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -               18     938      13     942       3     942    1476    +    9.9e-282  935.7  32.3  -
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_A10_080_2018_2 -               23     934      18     942       5     942    1504    +    1.6e-281  935.1  31.9  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_A10_080_2018_2 -               15     932      10     942       3     942    1473    +    1.7e-281  934.9  32.2  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -                9     941      13     942       5     942    1492    +    1.9e-280  931.6  34.3  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_A10_080_2018_2 -               17     936      14     942       4     942    1483    +    1.1e-279  928.9  32.0  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_A10_080_2018_2 -               17     953      14     942       4     942    1511    +    1.4e-279  928.8  34.0  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_A10_080_2018_2 -               38     957      15     942       5     942    1547    +      5e-279  926.8  31.9  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_A10_080_2018_2 -                2     933      19     942      18     942    1488    +    1.8e-278  925.0  32.8  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -                4     913      18     942      16     942    1439    +    5.8e-278  923.3  31.0  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_A10_080_2018_2 -               20     927      15     942       5     942    1483    +    9.9e-278  922.5  31.0  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -                2     928      17     942      16     942    1520    +    1.2e-277  922.3  33.2  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_A10_080_2018_2 -               38     953      13     942       3     942    1544    +    1.7e-277  921.8  32.2  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_A10_080_2018_2 -               19     945      14     942       4     942    1502    +    3.3e-277  920.8  33.0  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_A10_080_2018_2 -               17     946      12     942       4     942    1472    +    2.5e-276  918.0  33.0  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_A10_080_2018_2 -               18     953      15     942       4     942    1500    +    3.4e-276  917.6  33.9  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_A10_080_2018_2 -               11     928      14     942       5     942    1476    +    6.3e-275  913.3  32.7  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_A10_080_2018_2 -               31     952      14     942       4     942    1527    +    2.3e-274  911.5  32.4  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_A10_080_2018_2 -                7     921      18     942      12     942    1458    +    1.7e-273  908.7  31.0  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_A10_080_2018_2 -               45     967      15     942       5     942    1492    +    1.4e-272  905.3  32.3  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_A10_080_2018_2 -                1     927      21     942      21     942    1449    +    1.5e-272  905.4  33.5  -
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_A10_080_2018_2 -               33     944      18     942       5     942    1492    +    2.2e-272  904.9  31.9  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_A10_080_2018_2 -               16     934      11     942       4     942    1485    +    2.8e-272  904.6  32.3  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_A10_080_2018_2 -               17     921      13     942       4     942    1486    +    3.4e-272  904.2  31.6  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -               18     936      15     942       5     942    1505    +    5.8e-272  903.2  31.8  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_A10_080_2018_2 -                9     922      18     942      10     942    1443    +    1.4e-271  902.2  31.1  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_A10_080_2018_2 -               27     944      15     942       4     942    1484    +      5e-271  900.3  32.0  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_A10_080_2018_2 -                1     923      28     942      28     942    1462    +    5.2e-271  900.2  33.6  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_A10_080_2018_2 -               13     926      17     942       6     942    1461    +    3.4e-270  897.5  31.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_A10_080_2018_2 -               11     929      15     942       6     942    1481    +    9.6e-270  896.0  31.7  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_A10_080_2018_2 -               20     942      14     941       4     942    1525    +    1.6e-269  895.3  32.2  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_A10_080_2018_2 -               42     965      18     942       4     942    1520    +    2.4e-269  894.9  32.5  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_A10_080_2018_2 -               30     944      18     942       4     942    1503    +    7.9e-269  892.9  31.7  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -                2     923      26     942      25     942    1440    +    2.1e-268  891.8  34.0  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_A10_080_2018_2 -               11     924      18     942       9     942    1494    +    2.6e-267  888.1  32.4  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -               37     955      15     942       5     942    1512    +    6.1e-267  886.7  31.3  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_A10_080_2018_2 -               46     977      17     942       3     942    1505    +    1.3e-265  882.5  33.7  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_A10_080_2018_2 -               19     934      14     942       3     942    1503    +    1.6e-265  882.1  32.8  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_A10_080_2018_2 -               37     956      14     942       4     942    1407    +    2.5e-265  881.4  32.5  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -               23     940      12     942       3     942    1493    +    2.2e-264  877.9  32.6  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_A10_080_2018_2 -               18     938      15     942       5     942    1501    +    6.2e-264  877.0  32.2  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_A10_080_2018_2 -               26     956      13     942       3     942    1506    +    2.1e-263  875.2  34.4  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_A10_080_2018_2 -               24     946      14     942       3     942    1518    +    6.2e-263  873.5  33.2  -
Bacillales_Gemella                               -          LKAP-TSAKG2_A10_080_2018_2 -               21     938      15     942       4     942    1511    +    1.2e-261  869.4  32.0  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_A10_080_2018_2 -               11     932      24     942      13     942    1485    +    4.5e-261  867.4  33.2  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_A10_080_2018_2 -               29     930      13     942       4     942    1493    +      7e-259  860.0  30.6  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_A10_080_2018_2 -               34     948      18     942       5     942    1537    +    7.9e-259  860.0  31.9  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_A10_080_2018_2 -               20     946      15     942       4     942    1513    +    1.2e-258  859.1  32.3  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_A10_080_2018_2 -               12     924      19     942      10     942    1511    +    1.8e-258  858.5  32.2  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_A10_080_2018_2 -               21     939      14     942       3     942    1482    +    2.3e-258  858.6  32.1  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_A10_080_2018_2 -               37     936      14     942       6     942    1476    +    1.1e-257  856.1  31.9  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_A10_080_2018_2 -               18     949      15     942       5     942    1486    +    1.5e-255  849.1  32.5  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_A10_080_2018_2 -               10     922      18     942       9     942    1421    +    2.2e-255  848.7  31.3  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_A10_080_2018_2 -               41     968      16     942       4     942    1535    +    5.6e-255  847.2  33.7  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_A10_080_2018_2 -               39     910      79     942      69     942    1432    +    7.5e-255  846.6  29.8  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_A10_080_2018_2 -               20     925      15     942       5     942    1497    +    1.2e-254  846.2  31.0  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_A10_080_2018_2 -               14     930      15     942       5     942    1466    +    3.1e-254  844.8  32.3  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_A10_080_2018_2 -               40     967      14     942       3     942    1546    +      4e-254  844.2  32.9  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_A10_080_2018_2 -                5     929       9     942       5     942    1453    +      5e-254  843.9  32.4  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_A10_080_2018_2 -               26     940      18     942       4     942    1498    +      2e-251  835.9  31.5  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_A10_080_2018_2 -               25     932      14     942       4     942    1489    +    1.8e-249  829.1  32.1  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_A10_080_2018_2 -               38     954      15     942       5     942    1510    +    4.5e-249  827.8  33.0  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_A10_080_2018_2 -               22     942      14     942       4     942    1487    +    9.6e-249  826.5  31.4  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_A10_080_2018_2 -               31     972      18     942       4     942    1526    +    2.2e-248  825.4  33.3  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_A10_080_2018_2 -                8     945      13     942       6     942    1503    +    3.8e-247  821.4  34.1  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_A10_080_2018_2 -               26     943      14     942       4     942    1495    +    6.9e-247  820.3  31.8  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_A10_080_2018_2 -               38     957      15     942       5     942    1517    +    5.8e-246  817.4  32.3  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_A10_080_2018_2 -               38     940      15     942       5     942    1509    +    1.1e-245  816.6  32.0  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_A10_080_2018_2 -               37     956      15     942       4     942    1548    +    4.3e-245  814.7  32.3  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_A10_080_2018_2 -               37     953      15     942       5     942    1553    +    1.9e-243  808.9  31.6  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_A10_080_2018_2 -               14     959      14     942       3     942    1485    +    4.1e-240  797.9  33.5  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_A10_080_2018_2 -               10     906      15     942       7     942    1465    +    4.9e-240  797.9  32.3  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_A10_080_2018_2 -               11     927      14     942       5     942    1477    +    2.5e-239  795.4  31.7  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_A10_080_2018_2 -               23     945      13     942       4     942    1497    +    4.1e-239  794.7  32.8  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_A10_080_2018_2 -               38     912      12     942       3     942    1464    +    4.8e-239  794.6  29.4  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_A10_080_2018_2 -               28     942      15     942       5     942    1439    +      7e-239  793.8  32.2  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_A10_080_2018_2 -               20     891      15     942       4     942    1428    +      1e-238  793.4  29.8  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_A10_080_2018_2 -               27     953      16     942       3     942    1523    +    2.5e-237  788.6  32.5  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_A10_080_2018_2 -               18     960      15     942       4     942    1521    +      3e-237  787.9  33.0  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_A10_080_2018_2 -               38     972      15     942       5     942    1599    +    7.6e-237  787.1  33.5  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_A10_080_2018_2 -               28     941      17     942       4     942    1492    +    2.8e-235  781.7  32.6  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_A10_080_2018_2 -               17     935      14     942       4     942    1485    +    1.1e-234  780.0  31.4  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_A10_080_2018_2 -               25     922      12     942       5     942    1485    +    2.1e-234  778.8  31.1  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_A10_080_2018_2 -               31     961      12     941       3     942    1546    +    4.7e-234  777.5  34.2  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_A10_080_2018_2 -               15     912      12     942       4     942    1467    +    8.7e-233  773.3  30.6  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_A10_080_2018_2 -               38     919      15     942       7     942    1510    +    1.3e-231  769.9  31.2  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_A10_080_2018_2 -               26     944      17     942       3     942    1493    +    7.6e-230  764.0  33.3  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-TSAKG2_A10_080_2018_2 -               36     960      14     942       5     942    1542    +    3.8e-229  761.7  32.4  -
Acetobacteraceae_Acetobacter                     -          LKAP-TSAKG2_A10_080_2018_2 -               20     872      17     942       6     942    1433    +    6.1e-229  761.0  29.6  -
Geobacteraceae_Geobacter                         -          LKAP-TSAKG2_A10_080_2018_2 -               16     940      13     942       4     942    1470    +      9e-229  760.2  32.4  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_A10_080_2018_2 -               10     903      17     942       8     942    1394    +    2.1e-228  759.0  31.7  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_A10_080_2018_2 -               26     957      12     941       3     942    1552    +    2.3e-228  758.7  34.2  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_A10_080_2018_2 -               24     944      12     942       5     942    1521    +    2.3e-228  759.0  32.7  -
Clostridiaceae_Brassicibacter                    -          LKAP-TSAKG2_A10_080_2018_2 -               16     913      13     942       3     942    1454    +    1.1e-227  756.6  32.1  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_A10_080_2018_2 -               47     934      19     942       7     942    1516    +    2.1e-227  756.1  31.6  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_A10_080_2018_2 -               36     968      12     942       5     942    1508    +    2.1e-227  755.7  32.1  -
Spirochaetaceae_Spirochaeta                      -          LKAP-TSAKG2_A10_080_2018_2 -               26     936      10     942       4     942    1495    +    7.8e-227  753.9  32.4  -
Clostridiales_Tissierella                        -          LKAP-TSAKG2_A10_080_2018_2 -               34     932      14     942       4     942    1415    +    9.9e-227  753.6  32.2  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_A10_080_2018_2 -               11     940      13     941       4     942    1491    +    2.1e-226  751.9  34.2  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_A10_080_2018_2 -               18     915      15     942       4     942    1465    +    2.5e-226  751.8  32.2  -
Bacillaceae_Caenibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -               17     947      12     941       3     942    1490    +    2.2e-225  748.8  34.3  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_A10_080_2018_2 -               37     974      12     941       3     942    1472    +    3.3e-225  748.1  34.0  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-TSAKG2_A10_080_2018_2 -               25     952      13     942       5     942    1512    +    4.6e-225  748.0  32.7  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-TSAKG2_A10_080_2018_2 -                1     884      24     942      24     942    1433    +    6.5e-225  747.7  32.2  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_A10_080_2018_2 -               34     966      14     942       4     942    1529    +    3.8e-224  744.9  33.0  -
Veillonellaceae_Megasphaera                      -          LKAP-TSAKG2_A10_080_2018_2 -               39     972      13     942       4     942    1528    +    1.5e-223  742.7  32.1  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_A10_080_2018_2 -               32     962      12     941       3     942    1441    +    2.3e-223  741.9  34.1  -
