# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          B1h_reverse          -              381    1442    1146      29    1166       9    1483    -      9e-304 1009.2  22.3  -
Vibrionaceae_Photobacterium                      -          B1h_reverse          -              390    1468    1145       9    1166       2    1487    -    2.7e-274  911.4  22.5  -
Moritellaceae_Paramoritella                      -          B1h_reverse          -              378    1438    1145      29    1166       9    1512    -    2.3e-270  898.3  22.9  -
Ferrimonadaceae_Ferrimonas                       -          B1h_reverse          -              389    1451    1146      28    1166       7    1475    -      9e-270  896.3  22.5  -
Vibrionaceae_Vibrio                              -          B1h_reverse          -              390    1451    1145      28    1166      12    1466    -    4.8e-267  887.4  22.3  -
Vibrionaceae_Enterovibrio                        -          B1h_reverse          -              386    1461    1143      10    1166       3    1499    -    3.9e-266  884.2  22.4  -
Vibrionaceae_Aliivibrio                          -          B1h_reverse          -              472    1464    1053      29    1109      19    1474    -    4.8e-264  877.8  22.3  -
Vibrionaceae_Grimontia                           -          B1h_reverse          -              471    1466    1033      11    1078       3    1493    -    6.9e-263  873.6  22.3  -
Moritellaceae_Moritella                          -          B1h_reverse          -              458    1459    1069      32    1137      10    1506    -    5.1e-262  870.7  22.4  -
Colwelliaceae_Colwellia                          -          B1h_reverse          -              380    1441    1145      29    1166       9    1485    -    1.8e-261  869.0  22.4  -
Yersiniaceae_Rouxiella                           -          B1h_reverse          -              487    1468    1042      30    1068      10    1551    -      1e-260  866.5  21.5  -
Pectobacteriaceae_Brenneria                      -          B1h_reverse          -              358    1417    1145      29    1166       9    1457    -    3.9e-260  864.5  22.5  -
Vibrionaceae_Salinivibrio                        -          B1h_reverse          -              509    1472    1016      29    1050       9    1502    -    5.5e-259  860.3  21.5  -
Gammaproteobacteria_Gallaecimonas                -          B1h_reverse          -              402    1477    1143      10    1164       2    1506    -    9.3e-259  859.9  22.3  -
Colwelliaceae_Thalassotalea                      -          B1h_reverse          -              378    1437    1145      30    1166      10    1463    -    4.4e-258  857.9  22.6  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          B1h_reverse          -              375    1433    1145      30    1166      10    1461    -    1.7e-257  855.7  22.1  -
Yersiniaceae_Serratia                            -          B1h_reverse          -              385    1442    1144      30    1166      10    1491    -    9.5e-257  853.3  22.7  -
Erwiniaceae_Erwinia                              -          B1h_reverse          -              417    1439    1093      30    1165      10    1495    -    1.2e-256  853.1  22.5  -
Alteromonadaceae_Agarivorans                     -          B1h_reverse          -              397    1446    1131      30    1165      23    1454    -    1.5e-256  852.7  22.1  -
Yersiniaceae_Rahnella                            -          B1h_reverse          -              316    1341    1123      50    1165      45    1345    -    2.1e-256  852.2  21.1  -
Pectobacteriaceae_Pectobacterium                 -          B1h_reverse          -              389    1446    1144      30    1166      10    1499    -    2.3e-256  852.1  22.2  -
Yersiniaceae_Yersinia                            -          B1h_reverse          -              382    1439    1143      30    1166      11    1461    -    1.8e-255  849.1  22.6  -
Aeromonadaceae_Oceanisphaera                     -          B1h_reverse          -              380    1438    1145      30    1166      10    1464    -    2.9e-255  848.3  22.1  -
Hafniaceae_Hafnia                                -          B1h_reverse          -              458    1439    1042      30    1068      12    1463    -    1.7e-254  845.8  21.6  -
Idiomarinaceae_Idiomarina                        -          B1h_reverse          -              387    1461    1143      12    1165       3    1471    -    5.4e-254  844.0  22.3  -
Colwelliaceae_Thalassomonas                      -          B1h_reverse          -              378    1436    1145      30    1166      15    1462    -    5.6e-254  844.2  22.4  -
Alteromonadaceae_Marinobacterium                 -          B1h_reverse          -              380    1457    1145      10    1165       3    1465    -    8.2e-254  843.6  22.5  -
Chromatiaceae_Rheinheimera                       -          B1h_reverse          -              370    1428    1144      30    1165      10    1472    -    2.2e-253  842.2  22.7  -
Morganellaceae_Xenorhabdus                       -          B1h_reverse          -              459    1441    1043      30    1069      10    1493    -    4.6e-253  841.3  21.6  -
Erwiniaceae_Pantoea                              -          B1h_reverse          -              394    1376    1043      29    1076       8    1416    -    3.2e-252  838.4  21.6  -
Enterobacteriaceae_Cronobacter                   -          B1h_reverse          -              434    1416    1043      30    1068      26    1422    -    6.2e-252  837.4  21.6  -
Pseudoalteromonadaceae_Algicola                  -          B1h_reverse          -              393    1451    1145      30    1166      10    1490    -    7.8e-252  837.0  23.0  -
Pseudoalteromonadaceae_Psychrosphaera            -          B1h_reverse          -              378    1434    1143      30    1166      14    1450    -    1.2e-251  836.4  22.6  -
Morganellaceae_Photorhabdus                      -          B1h_reverse          -              455    1443    1050      30    1091      10    1478    -    4.1e-251  835.0  22.3  -
Psychromonadaceae_Psychromonas                   -          B1h_reverse          -              380    1431    1145      39    1166      19    1467    -    8.6e-251  833.6  21.9  -
Enterobacteriaceae_Enterobacter                  -          B1h_reverse          -              453    1434    1043      30    1068      10    1476    -    1.2e-250  833.1  21.6  -
Morganellaceae_Proteus                           -          B1h_reverse          -              467    1449    1043      30    1067      10    1494    -    5.3e-250  831.0  21.4  -
Pectobacteriaceae_Lonsdalea                      -          B1h_reverse          -              378    1340    1043      51    1074      45    1345    -    5.9e-250  830.9  19.9  -
Enterobacteriaceae_Citrobacter                   -          B1h_reverse          -              472    1453    1043      30    1067      10    1517    -    1.8e-249  829.2  21.6  -
Enterobacteriaceae_Buttiauxella                  -          B1h_reverse          -              462    1442    1042      30    1063      10    1503    -    5.2e-249  827.7  21.8  -
Budviciaceae_Budvicia                            -          B1h_reverse          -              401    1460    1145      30    1166      10    1536    -    2.1e-248  825.6  23.1  -
Enterobacteriaceae_Escherichia                   -          B1h_reverse          -              417    1438    1093      30    1165       9    1480    -    2.2e-248  825.7  22.4  -
Enterobacteriaceae_Salmonella                    -          B1h_reverse          -              453    1435    1043      29    1073       9    1457    -    2.2e-248  825.7  21.5  -
Pseudomonadaceae_Pseudomonas                     -          B1h_reverse          -              384    1443    1145      30    1165      10    1502    -    6.8e-248  824.0  22.4  -
Pectobacteriaceae_Dickeya                        -          B1h_reverse          -              378    1415    1144      51    1166      44    1421    -    1.6e-247  822.8  21.3  -
Erwiniaceae_Tatumella                            -          B1h_reverse          -              454    1438    1047      30    1096       9    1490    -    2.7e-247  822.1  22.0  -
Halomonadaceae_Halomonas                         -          B1h_reverse          -              465    1437    1030      29    1058       9    1463    -    3.4e-247  821.6  22.3  -
Oceanospirillaceae_Amphritea                     -          B1h_reverse          -              378    1455    1145      10    1166       3    1463    -    4.5e-247  821.2  23.3  -
Idiomarinaceae_Aliidiomarina                     -          B1h_reverse          -              431    1405    1042      38    1089      33    1410    -    5.6e-247  820.8  21.2  -
Oceanospirillaceae_Oceanospirillum               -          B1h_reverse          -              379    1437    1145      30    1166      10    1462    -    7.7e-247  820.6  22.4  -
Oceanospirillaceae_Neptunomonas                  -          B1h_reverse          -              381    1457    1144      10    1165       3    1484    -    1.1e-246  819.9  22.3  -
Oceanospirillaceae_Marinospirillum               -          B1h_reverse          -              374    1429    1143      32    1165      12    1451    -    1.2e-246  819.9  22.7  -
Alteromonadaceae_Catenovulum                     -          B1h_reverse          -              372    1412    1145      49    1166      29    1451    -    2.1e-246  818.9  21.7  -
Enterobacteriaceae_Shimwellia                    -          B1h_reverse          -              435    1416    1043      30    1063      27    1422    -    2.2e-246  819.1  21.4  -
Hahellaceae_Hahella                              -          B1h_reverse          -              403    1461    1145      31    1166      10    1539    -      3e-246  818.6  23.0  -
Aeromonadaceae_Oceanimonas                       -          B1h_reverse          -              381    1438    1143      30    1165      10    1483    -    4.1e-246  818.0  22.7  -
Aeromonadaceae_Aeromonas                         -          B1h_reverse          -              401    1460    1145      30    1166      10    1503    -    4.8e-246  817.7  22.4  -
Alteromonadaceae_Alishewanella                   -          B1h_reverse          -              373    1425    1143      34    1164      33    1426    -    6.6e-246  817.4  23.0  -
Enterobacteriaceae_Cedecea                       -          B1h_reverse          -              380    1362    1042      28    1079       7    1403    -    5.5e-245  814.5  21.7  -
Morganellaceae_Providencia                       -          B1h_reverse          -              464    1444    1042      30    1062      10    1489    -    6.5e-245  814.1  21.2  -
Celerinatantimonadaceae_Celerinatantimonas       -          B1h_reverse          -              380    1431    1145      46    1166      44    1433    -      2e-244  812.6  21.3  -
Pectobacteriaceae_Sodalis                        -          B1h_reverse          -              453    1434    1043      30    1068      10    1511    -    2.4e-244  812.1  21.6  -
