# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_A12_096.seq -               27    1019       7     999       3     999    1402    +           0 1164.2  14.8  -
Hyphomonadaceae           -          LKAP-Gut2_A12_096.seq -               27    1016       7     999       3     999    1400    +           0 1045.3  14.9  -
Rhizobiaceae              -          LKAP-Gut2_A12_096.seq -               27    1013       7     999       3     999    1422    +           0 1029.1  15.0  -
Rhodobiaceae              -          LKAP-Gut2_A12_096.seq -               37    1026       7     999       3     999    1440    +           0 1025.4  15.1  -
Methylocystaceae          -          LKAP-Gut2_A12_096.seq -               38    1024       7     999       4     999    1424    +           0 1024.5  15.0  -
Phyllobacteriaceae        -          LKAP-Gut2_A12_096.seq -               27    1015       7     999       3     999    1424    +           0 1024.4  15.0  -
Hyphomicrobiaceae         -          LKAP-Gut2_A12_096.seq -               27    1016       7     999       3     999    1427    +           0 1023.8  14.9  -
Rhizobiales               -          LKAP-Gut2_A12_096.seq -               37    1025       7     999       3     999    1438    +    3.6e-303 1004.6  14.9  -
Alphaproteobacteria       -          LKAP-Gut2_A12_096.seq -               27    1016       7     999       3     999    1409    +    7.6e-303 1003.5  14.8  -
Aurantimonadaceae         -          LKAP-Gut2_A12_096.seq -               44    1029       7     999       4     999    1442    +    3.4e-301  998.0  15.0  -
Rhodospirillaceae         -          LKAP-Gut2_A12_096.seq -               29    1022       7     999       3     999    1429    +    3.4e-300  994.6  14.9  -
Brucellaceae              -          LKAP-Gut2_A12_096.seq -               33    1018       8     999       4     999    1411    +    1.3e-297  986.1  15.2  -
Xanthobacteraceae         -          LKAP-Gut2_A12_096.seq -               27    1013       7     999       4     999    1415    +    1.1e-296  983.0  15.3  -
Caulobacteraceae          -          LKAP-Gut2_A12_096.seq -               27    1012       7     999       3     999    1415    +    3.2e-295  978.1  14.9  -
Beijerinckiaceae          -          LKAP-Gut2_A12_096.seq -               40    1029       7     999       3     999    1421    +    2.6e-294  975.0  15.0  -
Bradyrhizobiaceae         -          LKAP-Gut2_A12_096.seq -               33    1016      12     999       4     999    1428    +    1.6e-290  962.4  14.8  -
Sneathiellaceae           -          LKAP-Gut2_A12_096.seq -               33    1031       8     999       4     999    1427    +    1.1e-288  956.4  15.0  -
Methylobacteriaceae       -          LKAP-Gut2_A12_096.seq -               27    1014       7     999       3     999    1426    +    1.7e-286  949.2  14.8  -
Parvularculaceae          -          LKAP-Gut2_A12_096.seq -               47    1035       7     999       4     999    1428    +    3.9e-284  941.6  14.9  -
Kordiimonadaceae          -          LKAP-Gut2_A12_096.seq -               27    1027       7     999       3     999    1421    +      8e-284  940.5  14.8  -
Sphingomonadaceae         -          LKAP-Gut2_A12_096.seq -               34    1024       7     999       3     999    1434    +    8.3e-283  937.2  14.8  -
Bartonellaceae            -          LKAP-Gut2_A12_096.seq -               27    1017       7     999       3     999    1410    +    1.8e-282  935.8  14.6  -
Cohaesibacteraceae        -          LKAP-Gut2_A12_096.seq -               43    1035       3     999       1     999    1425    +    2.3e-280  929.0  14.7  -
Erythrobacteraceae        -          LKAP-Gut2_A12_096.seq -               28    1018       7     999       3     999    1433    +    1.2e-279  926.7  14.9  -
Chelatococcaceae          -          LKAP-Gut2_A12_096.seq -               38    1027       7     999       3     999    1439    +    8.5e-278  920.5  14.9  -
Acetobacteraceae          -          LKAP-Gut2_A12_096.seq -               32    1023       7     999       4     999    1438    +    3.7e-266  881.9  15.0  -
Eubacteriaceae            -          LKAP-Gut2_A12_096.seq -               73    1072      25     999       5     999    1485    +    8.8e-266  880.4  15.2  -
Clostridiales             -          LKAP-Gut2_A12_096.seq -               87    1066      31     999      10     999    1470    +    8.9e-265  877.1  15.1  -
Kiloniellaceae            -          LKAP-Gut2_A12_096.seq -               53    1045      13     999       4     999    1450    +      4e-264  874.8  14.9  -
Clostridiaceae            -          LKAP-Gut2_A12_096.seq -               41    1063       7     999       3     999    1485    +    4.5e-263  871.3  15.0  -
Anaplasmataceae           -          LKAP-Gut2_A12_096.seq -               91    1047      35     999      15     999    1441    +    4.4e-260  861.8  14.7  -
Gammaproteobacteria       -          LKAP-Gut2_A12_096.seq -               28    1069       8     999       4     999    1481    +    1.8e-258  856.0  15.1  -
Thiotrichaceae            -          LKAP-Gut2_A12_096.seq -               27    1026       7     999       3     999    1421    +      3e-256  848.8  14.9  -
Peptostreptococcaceae     -          LKAP-Gut2_A12_096.seq -               28    1047       8     999       4     999    1441    +    2.4e-255  845.7  15.1  -
Ectothiorhodospiraceae    -          LKAP-Gut2_A12_096.seq -               34    1076       7     999       3     999    1463    +    7.6e-255  844.3  15.1  -
Chromatiaceae             -          LKAP-Gut2_A12_096.seq -               27    1059       7     999       3     999    1455    +    4.6e-253  838.3  15.0  -
Oceanospirillaceae        -          LKAP-Gut2_A12_096.seq -               39    1071      18     999       4     999    1467    +    1.7e-252  836.3  14.8  -
Thiotrichales             -          LKAP-Gut2_A12_096.seq -               81    1089      26     999       6     999    1519    +    5.1e-252  834.5  14.9  -
Ruminococcaceae           -          LKAP-Gut2_A12_096.seq -               83    1063      32     999      11     999    1457    +    1.1e-251  833.6  15.0  -
Oceanospirillales         -          LKAP-Gut2_A12_096.seq -               34    1075       8     999       4     999    1489    +    1.5e-251  833.0  14.8  -
Peptococcaceae            -          LKAP-Gut2_A12_096.seq -               36    1062       9     999       4     999    1479    +    7.5e-251  830.8  15.0  -
Cellvibrionaceae          -          LKAP-Gut2_A12_096.seq -               27    1069       7     999       3     999    1472    +    6.8e-250  827.7  15.0  -
Alteromonadaceae          -          LKAP-Gut2_A12_096.seq -               30    1069      10     999       3     999    1468    +    6.2e-249  824.5  14.9  -
Piscirickettsiaceae       -          LKAP-Gut2_A12_096.seq -               66    1073      27     999       6     999    1466    +    3.2e-248  822.1  15.1  -
Rickettsiaceae            -          LKAP-Gut2_A12_096.seq -               70    1029      35     999      15     999    1430    +    4.9e-248  821.7  14.5  -
Hahellaceae               -          LKAP-Gut2_A12_096.seq -               27    1068       7     999       2     999    1473    +    2.2e-247  819.5  14.9  -
Lachnospiraceae           -          LKAP-Gut2_A12_096.seq -               80    1061      31     999      10     999    1469    +    8.8e-247  817.4  15.1  -
Methylococcaceae          -          LKAP-Gut2_A12_096.seq -               41    1077       7     999       4     999    1481    +    9.9e-247  817.2  14.9  -
Spongiibacteraceae        -          LKAP-Gut2_A12_096.seq -               30    1067       7     999       3     999    1462    +    5.3e-246  814.7  14.9  -
Pseudomonadaceae          -          LKAP-Gut2_A12_096.seq -               36    1074       9     999       4     999    1491    +    2.3e-245  812.7  15.0  -
Kangiellaceae             -          LKAP-Gut2_A12_096.seq -               65    1082      17     999       2     999    1479    +    6.2e-245  811.2  14.9  -
Litoricolaceae            -          LKAP-Gut2_A12_096.seq -               75    1076      30     999       9     999    1474    +    8.8e-242  801.0  15.3  -
Chromobacteriaceae        -          LKAP-Gut2_A12_096.seq -               34    1064      14     999       4     999    1460    +    1.2e-241  800.5  15.0  -
Desulfovibrionaceae       -          LKAP-Gut2_A12_096.seq -               42    1094       7     999       4     999    1527    +    4.3e-241  798.6  15.1  -
Thermoanaerobacterales    -          LKAP-Gut2_A12_096.seq -               87    1077      35     999      14     999    1472    +    2.1e-240  796.3  14.8  -
Desulfobacteraceae        -          LKAP-Gut2_A12_096.seq -               79    1103      29     999       9     999    1516    +      7e-240  794.6  15.1  -
Syntrophomonadaceae       -          LKAP-Gut2_A12_096.seq -               47    1096      10     999       4     999    1515    +      8e-239  790.9  14.9  -
Microbulbiferaceae        -          LKAP-Gut2_A12_096.seq -               27    1063       7     999       3     999    1480    +    9.5e-239  791.0  15.0  -
Halieaceae                -          LKAP-Gut2_A12_096.seq -               35    1070       7     999       3     999    1484    +    3.7e-238  788.8  15.0  -
Alcanivoracaceae          -          LKAP-Gut2_A12_096.seq -               53    1089      12     999       4     999    1504    +    6.4e-238  787.9  15.2  -
Thermoleophilaceae        -          LKAP-Gut2_A12_096.seq -               20    1072       7     999       3     999    1494    +    2.1e-237  786.2  14.9  -
Geobacteraceae            -          LKAP-Gut2_A12_096.seq -               36    1093       8     999       4     999    1487    +    5.4e-237  785.0  15.0  -
Bacillales                -          LKAP-Gut2_A12_096.seq -               80    1095      28     999       8     999    1503    +      8e-237  784.6  15.2  -
Thioalkalispiraceae       -          LKAP-Gut2_A12_096.seq -               70    1088      22     999       5     999    1479    +    1.6e-236  783.3  15.1  -
Deltaproteobacteria       -          LKAP-Gut2_A12_096.seq -               45    1105       9     999       4     999    1514    +    3.9e-236  782.2  15.0  -
Thermoanaerobacteraceae   -          LKAP-Gut2_A12_096.seq -               40    1081      13     999       4     999    1492    +    6.3e-236  781.3  15.0  -
Lysobacteraceae           -          LKAP-Gut2_A12_096.seq -               59    1072      21     999       5     999    1484    +    1.4e-235  780.4  15.2  -
Bdellovibrionaceae        -          LKAP-Gut2_A12_096.seq -               23    1039       7     999       4     999    1430    +    2.1e-235  779.7  15.1  -
Lactobacillaceae          -          LKAP-Gut2_A12_096.seq -               92    1111      25     999       5     999    1522    +    1.3e-234  777.2  15.1  -
Desulfuromonadaceae       -          LKAP-Gut2_A12_096.seq -               46    1104       9     999       4     999    1518    +    3.1e-234  775.9  15.0  -
Nautiliaceae              -          LKAP-Gut2_A12_096.seq -               56    1043      25     999       6     999    1431    +    1.2e-233  774.2  15.1  -
Alteromonadales           -          LKAP-Gut2_A12_096.seq -               70    1071      31     999      10     999    1468    +    2.8e-232  769.1  15.0  -
Desulfobulbaceae          -          LKAP-Gut2_A12_096.seq -               30    1091       9     999       4     999    1483    +    3.7e-232  768.9  15.1  -
Desulfohalobiaceae        -          LKAP-Gut2_A12_096.seq -               33    1098       7     999       3     999    1509    +    7.2e-232  768.0  15.0  -
Acidiferrobacteraceae     -          LKAP-Gut2_A12_096.seq -               53    1061      23     999       5     999    1454    +    1.6e-231  766.9  15.1  -
Helicobacteraceae         -          LKAP-Gut2_A12_096.seq -               87    1053      31     999      10     999    1473    +      2e-231  766.2  15.1  -
Moraxellaceae             -          LKAP-Gut2_A12_096.seq -               26    1061       9     999       4     999    1468    +    3.4e-231  765.9  15.0  -
Streptomycetaceae         -          LKAP-Gut2_A12_096.seq -               27    1045       7     999       4     999    1479    +    1.1e-230  764.2  15.1  -
Alcaligenaceae            -          LKAP-Gut2_A12_096.seq -               58    1068      24     999       5     999    1467    +    2.4e-230  763.1  15.1  -
Syntrophaceae             -          LKAP-Gut2_A12_096.seq -               80    1103      29     999       9     999    1551    +    2.4e-230  762.9  15.2  -
Alicyclobacillaceae       -          LKAP-Gut2_A12_096.seq -               47    1086       7     999       3     999    1512    +    2.8e-230  763.0  15.1  -
Coxiellaceae              -          LKAP-Gut2_A12_096.seq -               57    1077      17     999       4     999    1475    +      9e-230  761.1  15.0  -
Saccharospirillaceae      -          LKAP-Gut2_A12_096.seq -               33    1063      11     999       3     999    1468    +    2.3e-229  759.7  14.9  -
Paenibacillaceae          -          LKAP-Gut2_A12_096.seq -               35    1086      13     999       4     999    1493    +    2.4e-229  759.8  15.3  -
Nevskiaceae               -          LKAP-Gut2_A12_096.seq -               68    1064      34     999      13     999    1470    +    2.9e-229  759.6  14.7  -
Halomonadaceae            -          LKAP-Gut2_A12_096.seq -               33    1069      12     999       3     999    1466    +    3.4e-229  759.0  14.9  -
Halothiobacillaceae       -          LKAP-Gut2_A12_096.seq -               68    1088      16     999       5     999    1500    +    5.3e-229  758.5  15.2  -
Peptoniphilaceae          -          LKAP-Gut2_A12_096.seq -               33    1032      21     999       6     999    1437    +    1.6e-228  757.2  15.0  -
Pseudoalteromonadaceae    -          LKAP-Gut2_A12_096.seq -               29    1066       9     999       3     999    1469    +    1.6e-228  756.8  14.9  -
Bacillaceae               -          LKAP-Gut2_A12_096.seq -               25    1089       7     999       3     999    1493    +    2.4e-228  756.5  15.0  -
Colwelliaceae             -          LKAP-Gut2_A12_096.seq -               60    1071      21     999       4     999    1467    +    2.6e-228  756.3  14.8  -
Rhodocyclaceae            -          LKAP-Gut2_A12_096.seq -               60    1069      25     999       5     999    1484    +    5.9e-228  755.0  15.1  -
Idiomarinaceae            -          LKAP-Gut2_A12_096.seq -               35    1071      14     999       2     999    1466    +    1.2e-227  753.7  14.8  -
Micrococcaceae            -          LKAP-Gut2_A12_096.seq -               36    1063       7     999       3     999    1476    +    1.8e-227  753.6  15.1  -
Ferrimonadaceae           -          LKAP-Gut2_A12_096.seq -               62    1080      14     999       3     999    1475    +    3.3e-227  752.3  14.9  -
Haliangiaceae             -          LKAP-Gut2_A12_096.seq -               50    1100      13     999       5     999    1507    +    5.5e-227  752.0  15.3  -
Burkholderiales           -          LKAP-Gut2_A12_096.seq -               34    1066      13     999       4     999    1463    +    1.7e-226  750.2  15.1  -
Synergistaceae            -          LKAP-Gut2_A12_096.seq -               80    1052      32     999      11     999    1450    +      5e-226  748.7  15.2  -
