# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_F04_021.seq -               27    1096       4    1067       2    1067    1402    +           0 1282.0  14.4  -
Hyphomonadaceae           -          LKAP-Gut2_F04_021.seq -               27    1092       4    1065       2    1067    1400    +           0 1153.0  14.2  -
Rhizobiaceae              -          LKAP-Gut2_F04_021.seq -               27    1087       4    1065       2    1067    1422    +           0 1128.0  14.2  -
Rhodobiaceae              -          LKAP-Gut2_F04_021.seq -               38    1100       5    1065       2    1067    1440    +           0 1125.9  14.2  -
Hyphomicrobiaceae         -          LKAP-Gut2_F04_021.seq -               27    1090       4    1065       2    1067    1427    +           0 1121.3  14.1  -
Methylocystaceae          -          LKAP-Gut2_F04_021.seq -               38    1098       4    1065       2    1067    1424    +           0 1121.0  14.1  -
Phyllobacteriaceae        -          LKAP-Gut2_F04_021.seq -               27    1089       4    1065       2    1067    1424    +           0 1120.0  14.2  -
Alphaproteobacteria       -          LKAP-Gut2_F04_021.seq -               27    1090       4    1065       2    1067    1409    +           0 1109.1  14.1  -
Rhizobiales               -          LKAP-Gut2_F04_021.seq -               37    1099       4    1065       2    1067    1438    +           0 1101.4  14.2  -
Rhodospirillaceae         -          LKAP-Gut2_F04_021.seq -               30    1097       5    1065       2    1067    1429    +           0 1099.4  14.3  -
Aurantimonadaceae         -          LKAP-Gut2_F04_021.seq -               44    1103       4    1065       2    1067    1442    +           0 1095.1  14.2  -
Brucellaceae              -          LKAP-Gut2_F04_021.seq -               33    1093       5    1066       2    1067    1411    +           0 1081.2  14.4  -
Xanthobacteraceae         -          LKAP-Gut2_F04_021.seq -               27    1087       4    1065       2    1067    1415    +           0 1078.6  14.4  -
Beijerinckiaceae          -          LKAP-Gut2_F04_021.seq -               40    1103       4    1065       2    1067    1421    +           0 1070.6  14.2  -
Caulobacteraceae          -          LKAP-Gut2_F04_021.seq -               27    1086       4    1065       2    1067    1415    +           0 1070.6  14.1  -
Sneathiellaceae           -          LKAP-Gut2_F04_021.seq -               33    1106       5    1065       2    1067    1427    +           0 1058.7  14.4  -
Bradyrhizobiaceae         -          LKAP-Gut2_F04_021.seq -               33    1090       9    1065       2    1067    1428    +           0 1057.3  14.0  -
Methylobacteriaceae       -          LKAP-Gut2_F04_021.seq -               27    1088       4    1065       2    1067    1426    +           0 1049.4  14.1  -
Sphingomonadaceae         -          LKAP-Gut2_F04_021.seq -               34    1098       4    1065       2    1067    1434    +           0 1037.9  14.0  -
Kordiimonadaceae          -          LKAP-Gut2_F04_021.seq -               28    1101       5    1065       2    1067    1421    +           0 1035.0  14.0  -
Parvularculaceae          -          LKAP-Gut2_F04_021.seq -               47    1109       4    1065       2    1067    1428    +           0 1031.7  14.1  -
Bartonellaceae            -          LKAP-Gut2_F04_021.seq -               28    1091       5    1065       2    1067    1410    +           0 1031.2  13.9  -
Erythrobacteraceae        -          LKAP-Gut2_F04_021.seq -               28    1092       4    1065       2    1067    1433    +           0 1023.2  14.1  -
Cohaesibacteraceae        -          LKAP-Gut2_F04_021.seq -               45    1109       2    1065       1    1067    1425    +      9e-308 1019.9  13.9  -
Chelatococcaceae          -          LKAP-Gut2_F04_021.seq -               38    1101       4    1065       2    1067    1439    +    1.4e-303 1006.0  14.1  -
Acetobacteraceae          -          LKAP-Gut2_F04_021.seq -               32    1099       4    1065       2    1067    1438    +    1.7e-297  985.9  14.1  -
Clostridiales             -          LKAP-Gut2_F04_021.seq -               87    1141      28    1064       7    1067    1470    +    2.3e-294  975.2  14.0  -
Eubacteriaceae            -          LKAP-Gut2_F04_021.seq -               73    1146      22    1064       3    1067    1485    +    1.7e-293  972.3  14.2  -
Anaplasmataceae           -          LKAP-Gut2_F04_021.seq -               91    1123      32    1065      12    1067    1441    +    5.7e-293  970.9  13.8  -
Kiloniellaceae            -          LKAP-Gut2_F04_021.seq -               53    1119      10    1065       3    1067    1450    +    7.7e-293  970.1  14.0  -
Clostridiaceae            -          LKAP-Gut2_F04_021.seq -               41    1139       4    1065       2    1067    1485    +    1.4e-291  965.9  14.2  -
Gammaproteobacteria       -          LKAP-Gut2_F04_021.seq -               29    1144       6    1064       2    1067    1481    +    1.5e-288  955.8  14.1  -
Thiotrichaceae            -          LKAP-Gut2_F04_021.seq -               27    1100       4    1063       2    1067    1421    +    5.1e-285  944.2  14.0  -
Thiotrichales             -          LKAP-Gut2_F04_021.seq -               81    1163      23    1065       3    1067    1519    +    7.4e-284  940.2  14.0  -
Chromatiaceae             -          LKAP-Gut2_F04_021.seq -               27    1134       4    1064       2    1067    1455    +      7e-283  937.2  14.1  -
Ectothiorhodospiraceae    -          LKAP-Gut2_F04_021.seq -               35    1150       5    1064       2    1067    1463    +    8.7e-283  937.0  14.2  -
Peptostreptococcaceae     -          LKAP-Gut2_F04_021.seq -               28    1122       5    1065       2    1067    1441    +    1.1e-282  936.4  14.2  -
