# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_E12_088.seq -               27    1161       8    1134       2    1140    1474    +           0 1360.1  22.0  -
Ferrimonadaceae           -          LKAP.g-Gut1_E12_088.seq -               27    1161       8    1134       2    1140    1475    +           0 1216.4  22.0  -
Enterobacteriaceae        -          LKAP.g-Gut1_E12_088.seq -               27    1150       8    1134       3    1140    1465    +           0 1189.8  21.8  -
Alteromonadales           -          LKAP.g-Gut1_E12_088.seq -               29    1152      10    1134       3    1140    1468    +           0 1187.0  21.6  -
Gammaproteobacteria       -          LKAP.g-Gut1_E12_088.seq -               27    1150       8    1134       3    1140    1481    +           0 1185.9  21.7  -
Shewanellaceae            -          LKAP.g-Gut1_E12_088.seq -               27    1153       8    1134       2    1140    1483    +           0 1183.3  22.1  -
Erwiniaceae               -          LKAP.g-Gut1_E12_088.seq -               58    1145      52    1134      30    1140    1483    +           0 1183.1  22.0  -
Morganellaceae            -          LKAP.g-Gut1_E12_088.seq -               31    1154       9    1134       3    1140    1487    +           0 1179.9  22.1  -
Hafniaceae                -          LKAP.g-Gut1_E12_088.seq -               21    1145       8    1134       3    1140    1459    +           0 1178.7  21.9  -
Pectobacteriaceae         -          LKAP.g-Gut1_E12_088.seq -               24    1148       8    1134       2    1140    1477    +           0 1178.6  22.1  -
Yersiniaceae              -          LKAP.g-Gut1_E12_088.seq -               28    1151       9    1134       3    1140    1473    +           0 1178.0  22.0  -
Alteromonadaceae          -          LKAP.g-Gut1_E12_088.seq -               27    1149       8    1134       2    1140    1468    +           0 1168.6  22.1  -
Aeromonadaceae            -          LKAP.g-Gut1_E12_088.seq -               40    1165       9    1134       2    1140    1496    +           0 1163.9  22.1  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_E12_088.seq -               27    1147       8    1134       3    1140    1469    +           0 1160.7  21.4  -
Budviciaceae              -          LKAP.g-Gut1_E12_088.seq -               57    1141      56    1134      34    1140    1483    +           0 1153.1  22.0  -
Colwelliaceae             -          LKAP.g-Gut1_E12_088.seq -               27    1152       8    1134       4    1140    1467    +           0 1149.3  22.1  -
Oceanospirillaceae        -          LKAP.g-Gut1_E12_088.seq -               28    1152       9    1134       3    1140    1467    +           0 1145.9  22.0  -
Psychromonadaceae         -          LKAP.g-Gut1_E12_088.seq -               27    1151       8    1134       3    1140    1467    +           0 1145.8  21.9  -
Moritellaceae             -          LKAP.g-Gut1_E12_088.seq -               42    1168       8    1134       4    1140    1501    +           0 1138.5  22.0  -
Chromatiaceae             -          LKAP.g-Gut1_E12_088.seq -               27    1140       8    1134       2    1140    1455    +           0 1131.3  22.3  -
Idiomarinaceae            -          LKAP.g-Gut1_E12_088.seq -               26    1152       7    1134       2    1140    1466    +           0 1130.0  21.7  -
Cellvibrionaceae          -          LKAP.g-Gut1_E12_088.seq -               27    1150       8    1134       3    1140    1472    +           0 1113.5  21.9  -
Thorselliaceae            -          LKAP.g-Gut1_E12_088.seq -               39    1119      59    1134      39    1140    1419    +           0 1110.9  21.7  -
Pseudomonadaceae          -          LKAP.g-Gut1_E12_088.seq -               34    1155       8    1134       3    1140    1491    +           0 1107.2  21.9  -
Pasteurellaceae           -          LKAP.g-Gut1_E12_088.seq -               29    1152      10    1134       5    1140    1422    +           0 1107.1  21.9  -
Oceanospirillales         -          LKAP.g-Gut1_E12_088.seq -               33    1156       8    1134       3    1140    1489    +           0 1104.3  21.8  -
Methylococcaceae          -          LKAP.g-Gut1_E12_088.seq -               41    1158       8    1134       4    1140    1481    +           0 1101.0  21.9  -
Orbaceae                  -          LKAP.g-Gut1_E12_088.seq -               91    1173      57    1133      24    1140    1539    +           0 1100.0  21.7  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_E12_088.seq -               22    1158       8    1134       3    1140    1433    +           0 1092.1  22.0  -
Piscirickettsiaceae       -          LKAP.g-Gut1_E12_088.seq -               30    1152       9    1134       3    1140    1466    +           0 1089.4  22.0  -
Hahellaceae               -          LKAP.g-Gut1_E12_088.seq -               27    1149       8    1134       2    1140    1473    +           0 1079.2  21.9  -
Halieaceae                -          LKAP.g-Gut1_E12_088.seq -               35    1151       8    1134       3    1140    1484    +           0 1078.4  21.9  -
Alcanivoracaceae          -          LKAP.g-Gut1_E12_088.seq -               47    1169       8    1134       2    1140    1504    +           0 1074.4  21.9  -
Halomonadaceae            -          LKAP.g-Gut1_E12_088.seq -               27    1149       8    1134       2    1140    1466    +           0 1064.4  22.0  -
Spongiibacteraceae        -          LKAP.g-Gut1_E12_088.seq -               30    1148       8    1134       2    1140    1462    +           0 1062.6  21.8  -
Ectothiorhodospiraceae    -          LKAP.g-Gut1_E12_088.seq -               34    1156       8    1134       2    1140    1463    +           0 1062.0  22.0  -
Moraxellaceae             -          LKAP.g-Gut1_E12_088.seq -               24    1141       8    1133       3    1140    1468    +           0 1062.0  22.1  -
Succinivibrionaceae       -          LKAP.g-Gut1_E12_088.seq -               30    1128       8    1134       4    1139    1473    +           0 1061.1  21.6  -
Litoricolaceae            -          LKAP.g-Gut1_E12_088.seq -               35    1156       8    1134       3    1140    1474    +           0 1056.3  22.1  -
Lysobacteraceae           -          LKAP.g-Gut1_E12_088.seq -               28    1153       8    1134       2    1140    1484    +           0 1053.3  22.1  -
Saccharospirillaceae      -          LKAP.g-Gut1_E12_088.seq -               31    1144      10    1134       2    1140    1468    +           0 1053.2  21.7  -
Thioalkalispiraceae       -          LKAP.g-Gut1_E12_088.seq -               45    1168      13    1134       3    1140    1479    +           0 1046.9  21.9  -
Microbulbiferaceae        -          LKAP.g-Gut1_E12_088.seq -               27    1144       8    1134       2    1140    1480    +           0 1045.4  21.5  -
Halothiobacillaceae       -          LKAP.g-Gut1_E12_088.seq -               45    1168       9    1134       4    1140    1500    +           0 1040.0  22.3  -
Thiotrichaceae            -          LKAP.g-Gut1_E12_088.seq -               27    1107       8    1134       3    1140    1421    +           0 1036.9  20.6  -
Kangiellaceae             -          LKAP.g-Gut1_E12_088.seq -               36    1161       8    1134       3    1140    1479    +           0 1036.5  21.6  -
Thermoleophilaceae        -          LKAP.g-Gut1_E12_088.seq -               20    1161       8    1134       2    1140    1494    +           0 1035.8  21.6  -
Coxiellaceae              -          LKAP.g-Gut1_E12_088.seq -               27    1158       8    1134       3    1140    1475    +    5.1e-307 1017.3  22.0  -
Legionellaceae            -          LKAP.g-Gut1_E12_088.seq -               24    1149       9    1134       4    1140    1446    +    4.1e-306 1014.4  21.8  -
Cardiobacteriaceae        -          LKAP.g-Gut1_E12_088.seq -               37    1154      10    1134       5    1140    1464    +    2.9e-305 1011.8  22.0  -
Chromobacteriaceae        -          LKAP.g-Gut1_E12_088.seq -               59    1143      55    1134      24    1140    1460    +    4.9e-304 1007.5  21.9  -
Nevskiaceae               -          LKAP.g-Gut1_E12_088.seq -               37    1143       9    1134       3    1140    1470    +    1.1e-302 1003.2  21.0  -
Arenicellaceae            -          LKAP.g-Gut1_E12_088.seq -               39    1144      27    1134       7    1140    1488    +    2.7e-301  998.4  21.4  -
Rhodanobacteraceae        -          LKAP.g-Gut1_E12_088.seq -               28    1153       8    1134       2    1140    1473    +    4.7e-300  994.3  21.9  -
Rhodocyclaceae            -          LKAP.g-Gut1_E12_088.seq -               29    1148      10    1134       3    1140    1484    +    8.4e-297  983.4  22.4  -
Thiotrichales             -          LKAP.g-Gut1_E12_088.seq -               47    1167       8    1133       4    1140    1519    +    4.9e-295  977.3  20.8  -
Granulosicoccaceae        -          LKAP.g-Gut1_E12_088.seq -               67    1152      56    1134      27    1140    1471    +    1.9e-294  975.7  22.1  -
Neisseriaceae             -          LKAP.g-Gut1_E12_088.seq -               77    1163      52    1134      30    1140    1477    +    2.7e-294  975.2  22.0  -
Salinisphaeraceae         -          LKAP.g-Gut1_E12_088.seq -               15    1134       8    1134       3    1140    1429    +    3.2e-294  974.9  21.9  -
Rhodospirillaceae         -          LKAP.g-Gut1_E12_088.seq -               53    1101      56    1133      34    1140    1429    +    5.6e-291  964.3  20.3  -
Acidiferrobacteraceae     -          LKAP.g-Gut1_E12_088.seq -               61    1140      59    1134      39    1140    1454    +    6.4e-291  964.0  21.8  -
Burkholderiaceae          -          LKAP.g-Gut1_E12_088.seq -               50    1139      44    1134      21    1140    1482    +    1.5e-287  952.9  22.0  -
Hydrogenophilaceae        -          LKAP.g-Gut1_E12_088.seq -               59    1146      54    1134      21    1140    1461    +    2.4e-285  945.6  22.1  -
Alcaligenaceae            -          LKAP.g-Gut1_E12_088.seq -               32    1142      17    1134       4    1140    1467    +    4.9e-285  944.5  21.9  -
Desulfovibrionaceae       -          LKAP.g-Gut1_E12_088.seq -               42    1171       8    1131       4    1140    1527    +    4.9e-285  944.5  21.5  -
Desulfobacteraceae        -          LKAP.g-Gut1_E12_088.seq -               74    1178      52    1130      26    1140    1516    +    6.6e-284  940.7  21.1  -
Geobacteraceae            -          LKAP.g-Gut1_E12_088.seq -               36    1172       9    1134       3    1140    1487    +    9.8e-284  940.1  21.8  -
Clostridiaceae            -          LKAP.g-Gut1_E12_088.seq -               41    1142       8    1132       3    1140    1485    +    1.8e-283  939.1  21.1  -
Desulfobulbaceae          -          LKAP.g-Gut1_E12_088.seq -               50    1171      36    1134      12    1140    1483    +    3.3e-282  935.0  21.6  -
Acidithiobacillaceae      -          LKAP.g-Gut1_E12_088.seq -               27    1143       9    1134       3    1140    1457    +    1.5e-281  932.8  21.4  -
Eubacteriaceae            -          LKAP.g-Gut1_E12_088.seq -               41    1148       8    1130       4    1140    1485    +    2.4e-281  932.2  21.2  -
Deltaproteobacteria       -          LKAP.g-Gut1_E12_088.seq -               50    1185      14    1134       3    1140    1514    +    2.5e-281  932.3  21.5  -
Clostridiales             -          LKAP.g-Gut1_E12_088.seq -               34    1147       8    1134       4    1140    1470    +    2.7e-281  932.0  20.7  -
