# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_E12_088   -               12     947       6     937       1     937    1474    +           0 1142.0  26.2  -
Ferrimonadaceae           -          LKAP-GutHK_E12_088   -                9     947       3     937       1     937    1475    +    1.6e-303 1005.2  26.4  -
Enterobacteriaceae        -          LKAP-GutHK_E12_088   -               27     937      17     937       1     937    1465    +    3.1e-297  984.6  25.6  -
Aeromonadaceae            -          LKAP-GutHK_E12_088   -               24     951       6     937       1     937    1496    +    1.3e-296  982.3  25.5  -
Alteromonadales           -          LKAP-GutHK_E12_088   -               71     938      69     937      47     937    1468    +    6.3e-296  979.9  24.6  -
Gammaproteobacteria       -          LKAP-GutHK_E12_088   -               27     936      17     937       1     937    1481    +    3.8e-295  977.4  25.6  -
Erwiniaceae               -          LKAP-GutHK_E12_088   -               62     932      65     937      43     937    1483    +    1.2e-294  976.1  25.0  -
Yersiniaceae              -          LKAP-GutHK_E12_088   -               12     937       6     937       1     937    1473    +    9.8e-294  972.9  25.6  -
Alteromonadaceae          -          LKAP-GutHK_E12_088   -               12     936       6     937       1     937    1468    +    2.7e-293  971.4  25.7  -
Shewanellaceae            -          LKAP-GutHK_E12_088   -               26     939      16     937       1     937    1483    +    1.3e-292  969.2  25.6  -
Pectobacteriaceae         -          LKAP-GutHK_E12_088   -               23     934      16     937       1     937    1477    +    1.9e-292  968.6  25.6  -
Pseudoalteromonadaceae    -          LKAP-GutHK_E12_088   -               12     933       6     937       1     937    1469    +    2.1e-289  958.5  24.8  -
Hafniaceae                -          LKAP-GutHK_E12_088   -               20     931      16     937       1     937    1459    +    2.2e-288  955.1  25.7  -
Morganellaceae            -          LKAP-GutHK_E12_088   -               16     940       7     937       1     937    1487    +    6.4e-288  953.8  25.9  -
Colwelliaceae             -          LKAP-GutHK_E12_088   -               12     938       6     937       1     937    1467    +    6.3e-284  940.5  25.5  -
Budviciaceae              -          LKAP-GutHK_E12_088   -               18     927      18     937       5     937    1483    +    1.1e-283  939.6  25.2  -
Idiomarinaceae            -          LKAP-GutHK_E12_088   -               13     938       7     937       1     937    1466    +    2.5e-283  938.3  25.5  -
Oceanospirillaceae        -          LKAP-GutHK_E12_088   -               13     938       7     937       1     937    1467    +    1.2e-282  936.1  25.5  -
Cellvibrionaceae          -          LKAP-GutHK_E12_088   -               11     936       5     937       1     937    1472    +    6.5e-278  920.5  25.9  -
Moritellaceae             -          LKAP-GutHK_E12_088   -               42     954      17     937       1     937    1501    +    1.1e-277  919.7  25.3  -
Oceanospirillales         -          LKAP-GutHK_E12_088   -               18     942       6     937       1     937    1489    +      2e-277  918.7  25.9  -
Chromatiaceae             -          LKAP-GutHK_E12_088   -               27     926      17     937       1     937    1455    +    6.1e-277  917.4  26.0  -
Psychromonadaceae         -          LKAP-GutHK_E12_088   -               27     937      17     937       1     937    1467    +    6.8e-277  917.2  25.4  -
Pseudomonadaceae          -          LKAP-GutHK_E12_088   -               19     941       6     937       1     937    1491    +    2.7e-276  915.1  25.6  -
Thorselliaceae            -          LKAP-GutHK_E12_088   -               38     906      67     937      44     937    1419    +    3.1e-276  914.9  24.9  -
Piscirickettsiaceae       -          LKAP-GutHK_E12_088   -               29     940      17     937       1     937    1466    +      2e-272  902.2  25.5  -
Alcanivoracaceae          -          LKAP-GutHK_E12_088   -               32     956       6     937       1     937    1504    +    2.2e-272  902.0  25.6  -
Methylococcaceae          -          LKAP-GutHK_E12_088   -               41     944      17     937       1     937    1481    +      1e-267  886.7  25.9  -
Halieaceae                -          LKAP-GutHK_E12_088   -               20     937       6     937       1     937    1484    +    3.6e-267  884.8  26.1  -
Hahellaceae               -          LKAP-GutHK_E12_088   -               12     935       6     937       1     937    1473    +    1.1e-266  883.3  25.7  -
Pasteurellaceae           -          LKAP-GutHK_E12_088   -               27     938      17     937       1     937    1422    +    2.5e-265  878.8  25.4  -
Orbaceae                  -          LKAP-GutHK_E12_088   -               93     961      68     937      45     937    1539    +    6.7e-265  877.3  24.8  -
Moraxellaceae             -          LKAP-GutHK_E12_088   -               10     928       7     937       1     937    1468    +    3.3e-264  875.2  25.7  -
Ectothiorhodospiraceae    -          LKAP-GutHK_E12_088   -               33     943      16     937       1     937    1463    +    1.3e-262  869.9  25.9  -
Celerinatantimonadaceae   -          LKAP-GutHK_E12_088   -                7     944       6     937       1     937    1433    +    1.8e-262  869.4  25.6  -
Succinivibrionaceae       -          LKAP-GutHK_E12_088   -               75     914      68     937      44     937    1473    +      4e-262  868.2  24.6  -
