# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          A0517_LKAP-FHGF1_B01_013 -               23     953       5     929       1     940    1466    +           0 1070.0  15.5  -
Vibrionaceae_Photobacterium                      -          A0517_LKAP-FHGF1_B01_013 -               22     953       4     929       1     940    1487    +           0 1024.2  15.4  -
Vibrionaceae_Aliivibrio                          -          A0517_LKAP-FHGF1_B01_013 -               47     967       5     929       1     940    1474    +    1.1e-301 1002.2  15.4  -
Vibrionaceae_Enterovibrio                        -          A0517_LKAP-FHGF1_B01_013 -               21     947       4     929       1     940    1499    +    2.9e-294  977.1  15.4  -
Vibrionaceae_Grimontia                           -          A0517_LKAP-FHGF1_B01_013 -               21     953       4     929       1     940    1493    +    1.4e-290  965.0  15.4  -
Yersiniaceae_Serratia                            -          A0517_LKAP-FHGF1_B01_013 -               25     947       4     929       1     940    1491    +    5.3e-281  933.3  15.5  -
Erwiniaceae_Erwinia                              -          A0517_LKAP-FHGF1_B01_013 -               23     943       5     929       1     940    1495    +    3.5e-280  930.8  15.4  -
Pectobacteriaceae_Pectobacterium                 -          A0517_LKAP-FHGF1_B01_013 -               31     951       5     929       1     940    1499    +    2.3e-278  924.7  15.5  -
Erwiniaceae_Tatumella                            -          A0517_LKAP-FHGF1_B01_013 -               23     943       5     929       1     940    1490    +    4.3e-277  920.4  15.5  -
Enterobacteriaceae_Citrobacter                   -          A0517_LKAP-FHGF1_B01_013 -               38     958       5     929       1     940    1517    +    1.3e-275  915.4  15.4  -
Enterobacteriaceae_Enterobacter                  -          A0517_LKAP-FHGF1_B01_013 -               21     939       5     929       1     940    1476    +    3.1e-275  914.2  15.4  -
Yersiniaceae_Rouxiella                           -          A0517_LKAP-FHGF1_B01_013 -               50     973       4     930       1     940    1551    +    1.3e-273  908.8  15.5  -
Enterobacteriaceae_Escherichia                   -          A0517_LKAP-FHGF1_B01_013 -               21     943       4     929       1     940    1480    +    1.7e-273  908.6  15.4  -
Hafniaceae_Hafnia                                -          A0517_LKAP-FHGF1_B01_013 -               23     943       5     929       1     940    1463    +    1.9e-273  908.2  15.6  -
Enterobacteriaceae_Klebsiella                    -          A0517_LKAP-FHGF1_B01_013 -               35     953       5     929       1     940    1436    +    2.3e-273  908.1  15.6  -
Enterobacteriaceae_Cronobacter                   -          A0517_LKAP-FHGF1_B01_013 -                1     920       6     929       6     940    1422    +    2.4e-273  908.0  15.7  -
Shewanellaceae_Shewanella                        -          A0517_LKAP-FHGF1_B01_013 -               22     945       4     929       1     940    1483    +    3.9e-273  907.3  15.4  -
Yersiniaceae_Yersinia                            -          A0517_LKAP-FHGF1_B01_013 -               23     944       5     930       1     940    1461    +    4.1e-273  907.2  15.5  -
Enterobacteriaceae_Trabulsiella                  -          A0517_LKAP-FHGF1_B01_013 -               15     938       4     930       1     940    1471    +    4.2e-273  907.4  15.3  -
Ferrimonadaceae_Ferrimonas                       -          A0517_LKAP-FHGF1_B01_013 -               23     953       5     929       1     940    1475    +    6.9e-273  906.2  15.6  -
Pectobacteriaceae_Brenneria                      -          A0517_LKAP-FHGF1_B01_013 -                2     921       6     929       5     940    1457    +    8.3e-273  906.1  15.7  -
Enterobacteriaceae_Salmonella                    -          A0517_LKAP-FHGF1_B01_013 -               19     939       5     929       1     940    1457    +    4.2e-272  904.0  15.4  -
Enterobacteriaceae_Pluralibacter                 -          A0517_LKAP-FHGF1_B01_013 -               41     966       4     929       1     940    1532    +    3.3e-271  900.9  15.4  -
Pectobacteriaceae_Dickeya                        -          A0517_LKAP-FHGF1_B01_013 -               20     940       5     929       1     940    1421    +    4.3e-271  900.5  15.6  -
Enterobacteriaceae_Kluyvera                      -          A0517_LKAP-FHGF1_B01_013 -               11     930       5     930       1     940    1455    +    9.8e-271  899.3  15.5  -
Enterobacteriaceae_Pseudocitrobacter             -          A0517_LKAP-FHGF1_B01_013 -               20     941       5     930       1     940    1459    +      3e-270  897.7  15.4  -
Enterobacteriaceae_Buttiauxella                  -          A0517_LKAP-FHGF1_B01_013 -               27     948       4     930       1     940    1503    +    6.1e-270  896.7  15.5  -
Enterobacteriaceae_Raoultella                    -          A0517_LKAP-FHGF1_B01_013 -               20     940       5     930       1     940    1452    +    7.2e-269  893.3  15.4  -
Enterobacteriaceae_Kosakonia                     -          A0517_LKAP-FHGF1_B01_013 -                3     921       5     929       3     940    1422    +    1.2e-268  892.1  15.6  -
Idiomarinaceae_Idiomarina                        -          A0517_LKAP-FHGF1_B01_013 -               28     956       5     936       2     940    1471    +    2.1e-268  891.4  15.2  -
Aeromonadaceae_Aeromonas                         -          A0517_LKAP-FHGF1_B01_013 -               42     964       5     929       1     940    1503    +    7.7e-268  889.5  15.4  -
Pectobacteriaceae_Sodalis                        -          A0517_LKAP-FHGF1_B01_013 -               17     939       4     929       1     940    1511    +    6.3e-267  886.6  15.5  -
Alteromonadaceae_Agarivorans                     -          A0517_LKAP-FHGF1_B01_013 -               31     950       6     929       2     940    1454    +    1.4e-266  885.7  15.4  -
Enterobacteriaceae_Lelliottia                    -          A0517_LKAP-FHGF1_B01_013 -               17     937       5     930       1     940    1449    +    1.5e-266  885.5  15.6  -
Erwiniaceae_Pantoea                              -          A0517_LKAP-FHGF1_B01_013 -                3     880      47     929      45     940    1416    +    1.8e-266  885.2  15.8  -
Enterobacteriaceae_Gibbsiella                    -          A0517_LKAP-FHGF1_B01_013 -                2     906      21     930      20     940    1396    +    2.1e-266  885.0  15.8  -
