# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_C01_011_2017_1 -               26     971       9     957       5     959    1526    +           0 1138.3  28.6  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               12     944      21     957      12     959    1469    +    2.6e-286  951.0  28.4  -
Bacillaceae_Salinibacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               10     960       8     957       5     959    1471    +    1.5e-285  948.7  28.6  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               13     963       9     956       4     959    1519    +    1.6e-283  942.0  28.6  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_C01_011_2017_1 -               32     977       8     957       5     959    1553    +    9.2e-282  936.1  28.8  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               15     961      11     956       5     959    1508    +    4.6e-281  933.7  28.6  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_C01_011_2017_1 -               29     979       8     957       3     959    1524    +    5.8e-281  933.3  28.6  -
Bacillaceae_Scopulibacillus                      -          LKAP-GUTHK2_C01_011_2017_1 -               39     979      15     957       4     959    1555    +    6.7e-281  933.0  28.6  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_C01_011_2017_1 -               14     964       8     957       4     959    1511    +    8.5e-278  922.9  28.5  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               14     949       9     957       5     959    1495    +    1.2e-277  922.3  27.0  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_C01_011_2017_1 -               13     948       9     957       4     959    1479    +    1.7e-277  921.7  27.2  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_C01_011_2017_1 -               19     971       8     957       5     959    1506    +    9.4e-277  919.5  28.6  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               14     954      18     957       7     959    1470    +    9.5e-277  919.5  28.5  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_C01_011_2017_1 -               15     960      11     957       4     959    1482    +    2.8e-276  917.9  28.4  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_C01_011_2017_1 -               13     947       9     957       4     959    1476    +    1.4e-275  915.5  27.1  -
Planococcaceae_Ureibacillus                      -          LKAP-GUTHK2_C01_011_2017_1 -               19     956       8     957       5     959    1497    +    3.1e-275  914.3  27.1  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_C01_011_2017_1 -                4     946      17     957      14     959    1478    +    5.2e-275  913.6  28.4  -
Bacillaceae_Salipaludibacillus                   -          LKAP-GUTHK2_C01_011_2017_1 -               10     945      21     957      14     959    1480    +    3.8e-274  910.8  28.4  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               13     964       9     957       4     959    1490    +    6.5e-274  910.0  28.5  -
Bacillaceae_Alkalicoccus                         -          LKAP-GUTHK2_C01_011_2017_1 -               32     985       8     951       4     959    1558    +    1.8e-273  908.5  28.7  -
Bacillaceae_Halobacillus                         -          LKAP-GUTHK2_C01_011_2017_1 -               12     963       8     956       4     959    1520    +      2e-273  908.4  28.5  -
Bacillaceae_Alkalibacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               17     948      19     951       7     959    1492    +    8.5e-273  906.3  28.7  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_C01_011_2017_1 -               13     948       9     957       5     959    1507    +    2.1e-272  904.9  26.9  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_C01_011_2017_1 -               12     945       8     956       5     959    1504    +    2.5e-272  904.6  26.8  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               16     950      12     957       4     959    1476    +      5e-272  903.5  26.9  -
Bacillaceae_Halolactibacillus                    -          LKAP-GUTHK2_C01_011_2017_1 -               15     951      21     957      10     959    1491    +      4e-271  900.6  28.4  -
Bacillaceae_Terribacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -                7     953       9     957       5     959    1472    +    8.3e-271  899.8  28.4  -
Bacillales_Rummeliibacillus                      -          LKAP-GUTHK2_C01_011_2017_1 -               13     944       9     957       4     959    1473    +    1.3e-270  898.9  26.8  -
Planococcaceae_Chryseomicrobium                  -          LKAP-GUTHK2_C01_011_2017_1 -               12     948       8     957       4     959    1483    +    1.7e-270  898.5  26.4  -
Bacillaceae_Piscibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -                2     940      16     957      15     959    1520    +    3.3e-270  897.7  28.3  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-GUTHK2_C01_011_2017_1 -               15     939       9     957       5     959    1483    +    1.7e-269  895.3  26.3  -
Bacillaceae_Paraliobacillus                      -          LKAP-GUTHK2_C01_011_2017_1 -               13     965       9     957       5     959    1511    +      2e-269  895.1  28.4  -
Staphylococcaceae_Macrococcus                    -          LKAP-GUTHK2_C01_011_2017_1 -               32     969       8     957       4     959    1547    +    2.9e-269  894.5  26.7  -
Bacillaceae_Fictibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               46     925      74     957      52     959    1439    +    9.9e-268  889.4  26.1  -
Enterococcaceae_Enterococcus                     -          LKAP-GUTHK2_C01_011_2017_1 -               13     957       9     957       5     959    1502    +    1.5e-267  888.8  27.5  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-GUTHK2_C01_011_2017_1 -                6     945      21     957      17     959    1488    +    3.8e-267  887.5  28.5  -
Enterococcaceae_Vagococcus                       -          LKAP-GUTHK2_C01_011_2017_1 -               12     958       8     957       4     959    1472    +    1.7e-266  885.5  27.5  -
Bacillaceae_Salimicrobium                        -          LKAP-GUTHK2_C01_011_2017_1 -               12     965       8     957       5     959    1500    +    1.8e-265  882.1  28.5  -
Bacillaceae_Salisediminibacterium                -          LKAP-GUTHK2_C01_011_2017_1 -                3     934      21     951      19     959    1449    +    1.5e-264  879.0  28.7  -
Staphylococcaceae_Salinicoccus                   -          LKAP-GUTHK2_C01_011_2017_1 -                7     939      11     956       6     959    1476    +    3.8e-264  877.6  27.3  -
Bacillaceae_Geobacillus                          -          LKAP-GUTHK2_C01_011_2017_1 -               27     964       9     957       5     959    1527    +    3.8e-264  877.7  27.2  -
Listeriaceae_Listeria                            -          LKAP-GUTHK2_C01_011_2017_1 -               55     933      77     957      55     959    1458    +      1e-263  876.3  25.7  -
Planococcaceae_Bhargavaea                        -          LKAP-GUTHK2_C01_011_2017_1 -               36     965      12     957       4     959    1544    +    1.1e-263  876.1  26.9  -
Paenibacillaceae_Brevibacillus                   -          LKAP-GUTHK2_C01_011_2017_1 -               11     933       8     957       5     959    1486    +    1.9e-263  875.3  26.5  -
Planococcaceae_Planococcus                       -          LKAP-GUTHK2_C01_011_2017_1 -               22     956       8     957       5     959    1492    +    3.2e-263  874.5  26.9  -
Planococcaceae_Planomicrobium                    -          LKAP-GUTHK2_C01_011_2017_1 -               12     946       8     957       4     959    1485    +    5.5e-263  873.8  26.9  -
Bacillaceae_Viridibacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               12     948       8     957       5     959    1505    +    8.1e-263  873.0  26.4  -
Bacillaceae_Pelagirhabdus                        -          LKAP-GUTHK2_C01_011_2017_1 -                1     934      26     956      26     959    1462    +    1.3e-262  872.4  28.8  -
Planococcaceae_Caryophanon                       -          LKAP-GUTHK2_C01_011_2017_1 -               40     979       9     957       5     959    1492    +    1.9e-261  868.4  27.1  -
Bacillaceae_Alteribacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -                2     930      24     951      23     959    1440    +    2.4e-261  868.4  29.2  -
Staphylococcaceae_Staphylococcus                 -          LKAP-GUTHK2_C01_011_2017_1 -               21     956       8     957       3     959    1484    +    8.8e-261  866.3  26.9  -
Bacillaceae_Psychrobacillus                      -          LKAP-GUTHK2_C01_011_2017_1 -               19     956       8     957       3     959    1503    +    1.1e-260  866.0  26.6  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-GUTHK2_C01_011_2017_1 -               12     934      20     957      10     959    1443    +      2e-260  865.2  26.5  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-GUTHK2_C01_011_2017_1 -               31     977       8     957       3     959    1520    +    5.5e-260  863.9  27.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-GUTHK2_C01_011_2017_1 -                5     941      10     957       7     959    1481    +    8.7e-260  863.0  26.5  -
Aerococcaceae_Aerococcus                         -          LKAP-GUTHK2_C01_011_2017_1 -                4     938       9     957       6     959    1461    +    1.3e-259  862.5  26.6  -
Bacillales_Solibacillus                          -          LKAP-GUTHK2_C01_011_2017_1 -               31     955      21     957       5     959    1525    +    4.9e-259  860.6  26.4  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-GUTHK2_C01_011_2017_1 -               13     946       9     957       4     959    1503    +    5.8e-258  857.0  27.4  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-GUTHK2_C01_011_2017_1 -               16     936      21     957       9     959    1494    +    2.4e-257  855.1  27.5  -
Bacillaceae_Anaerobacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               31     967       8     957       5     959    1512    +    3.3e-257  854.4  26.3  -
Bacillaceae_Tepidibacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               19     951       9     956       4     959    1493    +    1.9e-255  848.3  27.2  -
Carnobacteriaceae_Granulicatella                 -          LKAP-GUTHK2_C01_011_2017_1 -               32     970       8     959       4     959    1407    +    2.9e-255  848.1  27.3  -
Bacillaceae_Salsuginibacillus                    -          LKAP-GUTHK2_C01_011_2017_1 -               36     984       8     951       3     959    1505    +    5.8e-255  847.2  28.7  -
Bacillaceae_Salibacterium                        -          LKAP-GUTHK2_C01_011_2017_1 -                6     939      16     951      10     959    1485    +      8e-255  846.7  28.4  -
Aerococcaceae_Facklamia                          -          LKAP-GUTHK2_C01_011_2017_1 -               12     950       8     957       4     959    1501    +    1.2e-254  846.2  26.9  -
Enterococcaceae_Tetragenococcus                  -          LKAP-GUTHK2_C01_011_2017_1 -               18     958       9     957       4     959    1518    +    4.6e-253  840.8  28.0  -
Bacillales_Gemella                               -          LKAP-GUTHK2_C01_011_2017_1 -               16     950       9     957       5     959    1511    +    1.5e-252  839.2  27.1  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-GUTHK2_C01_011_2017_1 -               21     968       9     957       4     959    1506    +    2.7e-252  838.4  28.8  -
Bacillales_Geomicrobium                          -          LKAP-GUTHK2_C01_011_2017_1 -               23     955       8     951       5     959    1537    +    3.1e-251  834.8  27.2  -
Eubacteriaceae_Eubacterium                       -          LKAP-GUTHK2_C01_011_2017_1 -               32     948       8     957       5     959    1476    +    2.8e-249  828.3  26.9  -
Paenibacillaceae_Cohnella                        -          LKAP-GUTHK2_C01_011_2017_1 -               17     951       9     957       4     959    1482    +      3e-249  828.4  26.7  -
Carnobacteriaceae_Trichococcus                   -          LKAP-GUTHK2_C01_011_2017_1 -               79     958      78     957      48     959    1513    +    1.5e-248  825.7  25.7  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-GUTHK2_C01_011_2017_1 -               25     940       8     955       4     959    1493    +    1.7e-248  825.6  25.5  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-GUTHK2_C01_011_2017_1 -               16     936      21     957       9     959    1511    +    6.5e-248  823.6  27.5  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-GUTHK2_C01_011_2017_1 -               15     937       9     957       5     959    1497    +    7.6e-247  820.3  26.5  -
Bacillaceae_Calditerricola                       -          LKAP-GUTHK2_C01_011_2017_1 -               33     980       9     957       5     959    1535    +    1.8e-245  815.7  28.7  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-GUTHK2_C01_011_2017_1 -               13     961       9     957       5     959    1486    +    2.5e-245  815.2  27.6  -
